producto,marca,formato,cantidad,precio,supermercado
Maquillaje fluido Cover & Fix  01 beige claro,Deliplus,Bote,30 ml,"5,50 €",Mercadona
Maquillaje fluido Cover & Fix  02 beige rosado,Deliplus,Bote,30 ml,"5,50 €",Mercadona
Maquillaje fluido Cover & Fix  03 beige medio,Deliplus,Bote,30 ml,"5,50 €",Mercadona
Maquillaje fluido Cover & Fix  04 dorado,Deliplus,Bote,30 ml,"5,50 €",Mercadona
Maquillaje fluido Cover & Fix  05 moka,Deliplus,Bote,30 ml,"5,50 €",Mercadona
Maquillaje fluido Long Lasting  01 beige claro,Deliplus,Bote,30 ml,"5,50 €",Mercadona
Maquillaje fluido Long Lasting  02 beige claro medio,Deliplus,Bote,30 ml,"5,50 €",Mercadona
Maquillaje fluido Long Lasting  03 beige medio,Deliplus,Bote,30 ml,"5,50 €",Mercadona
Maquillaje fluido Long Lasting  04 beige dorado,Deliplus,Bote,30 ml,"5,50 €",Mercadona
Maquillaje fluido  Deliplus 01 beige claro,Hydra-Vital,Bote,30 ml,"5,50 €",Mercadona
Maquillaje fluido  Deliplus 02 beige rosado,Hydra-Vital,Bote,30 ml,"5,50 €",Mercadona
Maquillaje fluido  Deliplus 03 beige medio,Hydra-Vital,Bote,30 ml,"5,50 €",Mercadona
Maquillaje fluido  Deliplus 04 beige medio dorado,Hydra-Vital,Bote,30 ml,"5,50 €",Mercadona
Maquillaje fluido  Deliplus 05 beige dorado,Hydra-Vital,Bote,30 ml,"5,50 €",Mercadona
Maquillaje fluido  Deliplus 06 moka,Hydra-Vital,Bote,30 ml,"5,50 €",Mercadona
Maquillaje fluido  Maybelline 110 porcelain,Fit Me,Bote,30 ml,"7,00 €",Mercadona
Maquillaje fluido  Maybelline 115 ivory,Fit Me,Bote,30 ml,"7,00 €",Mercadona
Maquillaje fluido  Maybelline 118 nude,Fit Me,Bote,30 ml,"7,00 €",Mercadona
Maquillaje fluido  Maybelline 120 classic ivory,Fit Me,Bote,30 ml,"7,00 €",Mercadona
Maquillaje fluido  Maybelline 128 warm nude,Fit Me,Bote,30 ml,"7,00 €",Mercadona
Maquillaje fluido  130 buff beige,Fit Me,Bote,30 ml,"7,00 €",Mercadona
Maquillaje fluido  Maybelline 220 natural beige,Fit Me,Bote,30 ml,"7,00 €",Mercadona
Maquillaje fluido  Maybelline 250 sun beige,Fit Me,Bote,30 ml,"7,00 €",Mercadona
Maquillaje fluido Lasting Finish  London 100 Ivory,Rimmel,Bote,30 ml,"8,95 €",Mercadona
Maquillaje fluido Lasting Finish  London 170 Wheat,Rimmel,Bote,30 ml,"8,95 €",Mercadona
Maquillaje fluido Lasting Finish  London 200 Soft beige,Rimmel,Bote,30 ml,"8,95 €",Mercadona
Maquillaje fluido Lasting Finish  London 203 True beige,Rimmel,Bote,30 ml,"8,95 €",Mercadona
Maquillaje fluido Lasting Finish  London 210 Golden beige,Rimmel,Bote,30 ml,"8,95 €",Mercadona
Maquillaje fluido Lasting Finish  London 303 Honey,Rimmel,Bote,30 ml,"8,95 €",Mercadona
Maquillaje base Compacta  01 beige,Deliplus,Bote,1 ud.,"5,50 €",Mercadona
Pincel iluminador  01,Deliplus,Bote,1 ud.,"5,00 €",Mercadona
Pincel iluminador  02,Deliplus,Bote,1 ud.,"5,00 €",Mercadona
Corrector Stick  01,Deliplus,Bote,1 ud.,"3,50 €",Mercadona
Corrector Stick  02,Deliplus,Bote,1 ud.,"3,50 €",Mercadona
Corrector stick  03,Deliplus,Bote,1 ud.,"3,50 €",Mercadona
Corrector Cover & Fix  01,Deliplus,Bote,1 ud.,"4,00 €",Mercadona
Corrector Cover & Fix  02,Deliplus,Bote,1 ud.,"4,00 €",Mercadona
Corrector Cover & Fix  03,Deliplus,Bote,1 ud.,"4,00 €",Mercadona
Prebase de maquillaje matificante,Primer,Bote,1 ud.,"5,75 €",Mercadona
Corrector  Deliplus 01,Hydra-Vital,Bote,1 ud.,"5,00 €",Mercadona
Corrector  Deliplus 02,Hydra-Vital,Bote,1 ud.,"5,00 €",Mercadona
Prebase corrector  Deliplus 02 tono melocotón,Primer,Bote,1 ud.,"5,75 €",Mercadona
Prebase corrector  Deliplus 03 tono lila,Primer,Bote,1 ud.,"5,75 €",Mercadona
Multi corrector  20 fair,Rimmel,Bote,1 ud.,"6,95 €",Mercadona
Multi corrector  40 ivory,Rimmel,Bote,1 ud.,"6,95 €",Mercadona
Multi corrector  50 sand,Rimmel,Bote,1 ud.,"6,95 €",Mercadona
