producto,marca,formato,cantidad,precio,supermercado
Bebida energética,El diablo,Lata,250 ml,"0,40 €",Dia
Bebida energética zero,El diablo,Lata,250 ml,"0,40 €",Dia
Bebida energética green,Monster,Lata,500 ml,"1,79 €",Dia
Bebida energética de guaraná  de Dia,El diablo,Lata,500 ml,"0,99 €",Dia
Bebida energética ultra,Monster,Lata,500 ml,"1,79 €",Dia
Bebida energética,Burn,Lata,500 ml,"1,25 €",Dia
Bebida energética,Red bull,Lata,4 x 250 ml,"5,35 €",Dia
Bebida energética absolutely zero,Monster,Lata,500 ml,"1,79 €",Dia
Bebida energética mango loco,Monster,Lata,500 ml,"1,79 €",Dia
Bebida energética,Red bull,Lata,250 ml,"1,59 €",Dia
Bebida energética sin azúcar,Red bull,Lata,250 ml,"1,59 €",Dia
Bebida energética peach zero azúcar,Burn,Lata,500 ml,"1,25 €",Dia
Bebida energética zero azúcar Hamilton,Monster,Lata,500 ml,"1,79 €",Dia
Bebida energética green zero,Monster,Lata,500 ml,"1,79 €",Dia
Bebida energética ultra fiesta mango,Monster,Lata,500 ml,"1,79 €",Dia
Bebida energética ultra watermelon,Monster,Lata,500 ml,"1,79 €",Dia
Bebida energética sin azúcar,Red bull,Lata,4 x 250 ml,"5,35 €",Dia
Bebida energética fruit & power,San Benedetto,Botella,400 ml,"1,19 €",Dia
Bebida energética sabor sandía,Red bull,Lata,250 ml,"1,59 €",Dia
Bebida energética,Red bull,Lata,355 ml,"1,99 €",Dia
Bebida energética sabor pera y canela,Red bull,Lata,250 ml,"1,00 €",Dia
Bebida energética sabor killer mandarin,Rockstar,Lata,500 ml,"1,50 €",Dia
Bebida energética sin azúcar,Red bull,Lata,355 ml,"1,99 €",Dia
Bebida energética sabor albaricoque,Red bull,Lata,250 ml,"1,59 €",Dia
Bebida energética fruta del dragón,Red bull,Lata,250 ml,"1,59 €",Dia
Bebida energética monarch,Monster,Lata,500 ml,"1,79 €",Dia
Bebida energética zero,Red bull,Lata,250 ml,"1,59 €",Dia
Bebida energética sabor coco y arándanos,Red bull,Lata,250 ml,"1,59 €",Dia
Bebida energética sabor guayaba,Rockstar,Lata,500 ml,"1,50 €",Dia
Bebida energética sabor baya de junio,Red bull,Lata,250 ml,"1,59 €",Dia
Bebida energética,Red bull,Lata,473 ml,"2,59 €",Dia
