producto,marca,formato,cantidad,precio,supermercado
Bebida refrescante de limón,Aquarius,Botella,2 x 1.5 l,"3,89 €",Dia
Bebida refrescante de limón zero,Aquarius,Botella,1.5 l,"1,99 €",Dia
Bebida refrescante aromatizada cítrico  de Dia,Get move,Botella,1.5 l,"1,00 €",Dia
Bebida refrescante aromatizada cítrico zero  de Dia,Get move,Botella,1.5 l,"1,05 €",Dia
Refrescante aromatizada naranja  de Dia,Get move,Botella,1.5 l,"1,00 €",Dia
Bebida refrescante de limón,Aquarius,Lata,9 x 33 cl,"7,69 €",Dia
Bebida refrescante aromatizada azul  de Dia,Get move,Botella,500 ml,"0,60 €",Dia
Bebida refrescante de limón,Aquarius,Botella,1.5 l,"1,99 €",Dia
Bebida refrescante de naranja,Aquarius,Botella,1.5 l,"1,99 €",Dia
Bebida refrescante de naranja zero,Aquarius,Botella,1.5 l,"1,99 €",Dia
Bebida refrescante aromatizada cítrico,Get move,Lata,330 ml,"0,45 €",Dia
Bebida refrescante de limón,Aquarius,Lata,330 ml,"0,89 €",Dia
Bebida refrescante de naranja zero,Aquarius,Lata,330 ml,"0,89 €",Dia
Bebida refrescante de limón zero,Aquarius,Lata,330 ml,"0,89 €",Dia
Bebida refrescante de naranja,Aquarius,Lata,9 x 33 cl,"7,69 €",Dia
Bebida refrescante de naranja,Aquarius,Lata,330 ml,"0,89 €",Dia
Bebida refrescante aromatizada ice storm,Powerade,Botella,500 ml,"1,45 €",Dia
Bebida refrescante de limón,Aquarius,Botella,500 ml,"1,45 €",Dia
Refresco vitamin brainboost zero,Viwa,Botella,600 ml,"1,75 €",Dia
