producto,marca,formato,cantidad,precio,supermercado
Refresco de limón,Fanta,Botella,2 l,"1,79 €",Dia
Refresco de limón zero,Fanta,Botella,2 l,"1,79 €",Dia
Refresco de limón,Upss Dia,Botella,6% zumo con gas   2 l,"0,95 €",Dia
Refresco de limón,Upss Dia,Lata,33 cl,"0,35 €",Dia
Refresco de lima limón,Upss Dia,Botella,2 l,"0,95 €",Dia
Refresco de limón,Fanta,Lata,33 cl,"0,66 €",Dia
Refresco de limón sin gas,Upss Dia,Botella,1.5 l,"1,05 €",Dia
Refresco de limón zero,Fanta,Lata,33 cl,"0,75 €",Dia
Refresco de lima limón,Sprite,Lata,33 cl,"0,59 €",Dia
Refresco de lima limón zero,Seven up,Lata,33 cl,"0,59 €",Dia
Refresco de limón zero,Schweppes,Lata,33 cl,"0,95 €",Dia
Refresco de limón,Upss Dia,Botella,6% zumo con gas zero   1.5 l,"0,82 €",Dia
Refresco de lima limón,Sprite,Botella,2 l,"1,59 €",Dia
Refresco sin gas de limón,Upss Dia,Lata,33 cl,"0,49 €",Dia
Refresco de limón,Schweppes,Lata,33 cl,"0,95 €",Dia
Refresco en polvo sabor limón  bolsa,Tang,Polvo,30 g,"0,75 €",Dia
