producto,marca,formato,cantidad,precio,supermercado
Tónica,Toni Tónico de Dia,Lata,33 cl,"0,37 €",Dia
Tónica zero,Schweppes,Lata,33 cl,"0,95 €",Dia
Tónica,Toni Tónico de Dia,Botella,1.5 l,"0,95 €",Dia
Tónica,Schweppes,Lata,33 cl,"0,95 €",Dia
Tónica,Schweppes,Botella,1 l,"1,90 €",Dia
Tónica,Nordic Mist,Lata,25 cl,"0,65 €",Dia
Tónica premium bohemian berry sensation,Royal Bliss,Lata,25 cl,"0,75 €",Dia
Tónica de limón,Schweppes,Lata,33 cl,"0,95 €",Dia
Tónica zero,Schweppes,Botella,1 l,"1,90 €",Dia
Tónica premium yuzu,Royal Bliss,Lata,25 cl,"0,75 €",Dia
Tónica rosa zero,Schweppes,Lata,33 cl,"0,99 €",Dia
Refresco tónica,Organics,Lata,1 l,"5,99 €",Dia
Tónica con toque de lima,Schweppes,Botella,20 cl,"1,75 €",Dia
