producto,marca,formato,cantidad,precio,supermercado
Refresco de té al limón zero,Upss,Botella,1.5 l,"0,95 €",Dia
Refresco de té al limón,Upss,Botella,1.5 l,"0,95 €",Dia
Refresco de té al melocotón Upss,Dia,Botella,1.5 l,"0,95 €",Dia
Refresco de té al limón sin azúcar,Nestea,Botella,1.5 l,"1,99 €",Dia
Refresco de té al limón,Nestea,Botella,1.5 l,"1,75 €",Dia
Refresco de té al limón Upss,Dia,Lata,33 cl,"0,50 €",Dia
Refresco de té sabor hierbabuena y limón zero,Tetería,Botella,1.5 l,"1,05 €",Dia
Refresco de té rooibos sabor fresa bajo en calorías Tetería de,Dia,Botella,1.5 l,"1,05 €",Dia
Café cappuccino,Cafetería de Dia,Botella,230 ml,"0,95 €",Dia
Refresco de té verde,Upss,Lata,33 cl,"0,50 €",Dia
Refresco de té al limón sin azúcar,Nestea,Lata,33 cl,"0,99 €",Dia
Refresco de té al limón,Nestea,Lata,33 cl,"0,99 €",Dia
Refresco de té de melocotón e hibisco,Fuze tea,Botella,1.25 l,"1,99 €",Dia
Café latte macchiato,Cafetería de Dia,Botella,230 ml,"0,95 €",Dia
Café espresso,Cafetería de Dia,Botella,230 ml,"0,95 €",Dia
Refresco de té verde con aloe vera,San Benedetto,Botella,1.5 l,"1,15 €",Dia
Café cappuccino,Kaiku,Vaso,230 ml,"1,79 €",Dia
Café cappuccino,Kaiku,Vaso,370 ml,"2,49 €",Dia
Kombucha sabor limón y jengibre,Dia,Botella,37 cl,"1,79 €",Dia
Kombucha sabor frambuesa,Dia,Botella,37 cl,"1,79 €",Dia
Refresco de té verde con aloe vera zero,San Benedetto,Botella,50 cl,"0,62 €",Dia
Refresco de té de melocotón zero,San Benedetto,Botella,50 cl,"0,69 €",Dia
Refresco vitamin té negro con melocotón zero,Viwa,Botella,60 cl,"1,75 €",Dia
Batido de chocolate enriquecido con proteínas,Valio,Botella,260 g,"2,25 €",Dia
Café vainilla,Kaiku,Vaso,230 ml,"1,79 €",Dia
Café light,Kaiku,Vaso,230 ml,"1,79 €",Dia
Café espresso,Kaiku,Vaso,230 ml,"1,79 €",Dia
Refresco de té verde con granada,Arizona,Botella,50 cl,"1,35 €",Dia
Refresco de té verde con miel,Arizona,Botella,50 cl,"1,35 €",Dia
