producto,marca,formato,cantidad,precio,supermercado
Bebida de frutas con leche mediterráneo,Zumosfera de Dia,Brik,6 x 200 ml,"1,20 €",Dia
Zumo tropical sin azúcares añadidos,Zumosfera de Dia,Brik,1 l,"0,70 €",Dia
"Zumo de piña, manzana y uva",Zumosfera de Dia,Brik,   6 x 200 ml,"1,40 €",Dia
Zumo de piña sin azúcares añadidos,Zumosfera de Dia,Brik,1 l,"0,89 €",Dia
Bebida de frutas con leche tropical,Zumosfera de Dia,Brik,6 x 200 ml,"1,20 €",Dia
Zumo de naranja,Zumosfera de Dia,Brik,    1 l,"1,75 €",Dia
Zumo de melocotón y uva,Zumosfera de Dia,Brik,6 x 200 ml,"1,50 €",Dia
Zumo de manzana,Zumosfera de Dia,Brik,   1 l,"0,99 €",Dia
Zumo de naranja,Zumosfera de Dia,Brik,    1 l,"1,75 €",Dia
Zumo de naranja sin azúcares añadidos,Zumosfera de Dia,Brik,1 l,"0,95 €",Dia
Bebida con leche tropical  Bifrutas,Pascual,Brik,6 x 20 cl,"2,39 €",Dia
Zumo de melocotón sin azúcares añadidos,Zumosfera de Dia,Brik,1 l,"0,99 €",Dia
Zumo de manzana,Zumosfera de Dia,Brik,   6 x 200 ml,"1,12 €",Dia
Zumo de naranja,Zumosfera de Dia,Brik,    3 x 200 ml,"1,79 €",Dia
Bebida de frutas con leche tropical,Zumosfera de Dia,Brik,1 l,"0,95 €",Dia
Bebida de frutas con leche caribe,Zumosfera de Dia,Brik,6 x 20 cl,"1,29 €",Dia
Zumo de manzana sin azúcares añadidos,Zumosfera de Dia,Brik,1 l,"0,89 €",Dia
Limonada,Don Simón,Botella,1.5 l,"1,15 €",Dia
Zumo de naranja,Simon Life,Botella,1.5 l,"1,85 €",Dia
Zumo de piña y uva,Zumosfera de Dia,Brik,   3 x 200 ml,"1,29 €",Dia
Néctar light tropical  Disfruta,Juver,Brik,2 l,"3,35 €",Dia
Néctar de naranja y mango selección,Granini,Botella,1 l,"2,69 €",Dia
Zumo de piña,Zumosfera de Dia,Brik,   1 l,"1,25 €",Dia
Bebida de frutas con leche tropical,Zumosfera de Dia,Brik,3 x 330 ml,"1,00 €",Dia
Néctar de pera selección,Granini,Botella,1 l,"2,69 €",Dia
Mosto tinto,Greip,Botella,1 l,"2,59 €",Dia
Néctar piña,Granini,Botella,1 l,"2,69 €",Dia
Néctar melocotón,Granini,Botella,1 l,"2,99 €",Dia
Néctar naranja,Granini,Botella,1 l,"2,69 €",Dia
Bebida con leche tropical  Bifrutas,Pascual,Brik,3 x 330 ml,"2,49 €",Dia
Bebida de zumo de naranja y soja  Vivesoy,Pascual,Brik,1 l,"1,79 €",Dia
Néctar light piña  Disfruta,Juver,Brik,6 x 200 ml,"2,99 €",Dia
Néctar melocotón sin azúcares añadidos  Disfruta,Juver,Brik,6 x 200 ml,"2,32 €",Dia
Limonada natural con gas,Don Simón,Lata,33 cl,"0,75 €",Dia
Bebida de leche y zumo de frutas tropical  pack,Don Simón,Formato no encontrado,4 x 330 ml,"1,40 €",Dia
Néctar light de naranja y uva,Juver,Brik,1.5 l,"2,85 €",Dia
Néctar light de piña  Disfruta,Juver,Brik,1.5 l,"2,85 €",Dia
