producto,marca,formato,cantidad,precio,supermercado
Aceite refinado de girasol,Diasol,Botella,1 l,"1,49 €",Dia
Aceite refinado de girasol,Diasol,Garrafa,5 l,"6,99 €",Dia
Aceite de orujo de oliva  de Dia,La Almazara del Olivar,Botella,1 l,"5,24 €",Dia
Aceite de oliva virgen extra  de Dia,La Almazara del Olivar,Botella,1 l,"9,90 €",Dia
Aceite de oliva virgen extra  de Dia,La Almazara del Olivar,Garrafa,3 l,"29,55 €",Dia
Aceite de oliva suave  de Dia,La Almazara del Olivar,Botella,1 l,"8,99 €",Dia
Aceite de oliva virgen  de Dia,La Almazara del Olivar,Botella,1 l,"9,55 €",Dia
Aceite de oliva virgen extra  de Dia,La Almazara del Olivar,Botella,750 ml,"8,49 €",Dia
Aceite de girasol,Koipe,Botella,1 l,"2,59 €",Dia
Aceite de oliva suave  de Dia,La Almazara del Olivar,Garrafa,5 l,"42,99 €",Dia
Aceite de oliva virgen  de Dia,La Almazara del Olivar,Garrafa,3 l,"28,50 €",Dia
Aceite de oliva intenso  de Dia,La Almazara del Olivar,Botella,1 l,"8,99 €",Dia
Aceite de girasol especial para freír,Koipe,Botella,1 l,"1,80 €",Dia
Aceite de oliva intenso  de Dia,La Almazara del Olivar,Garrafa,5 l,"42,99 €",Dia
Aceite de oliva virgen extra hojiblanca,Coosur,Botella,1 l,"14,99 €",Dia
Aceite de oliva suave,La española,Botella,1 l,"12,99 €",Dia
Aceite de girasol,La masía,Garrafa,5 l,"8,75 €",Dia
Aceite de oliva virgen extra,Carbonell,Botella,750 ml,"10,89 €",Dia
Aceite de oliva virgen,Coosur,Botella,1 l,"14,50 €",Dia
Aceite de semillas especial freidora de aire,La española,Spray,200 ml,"2,49 €",Dia
Aceite de oliva virgen extra,Carbonell,Botella,1 l,"15,89 €",Dia
Aceite de oliva virgen extra,Hojiblanca,Botella,1 l,"15,89 €",Dia
Aceite de oliva virgen extra,Hojiblanca,Botella,500 ml,"7,95 €",Dia
Aceite de oliva suave,La masía,Botella,1 l,"10,49 €",Dia
Aceite de oliva virgen extra,Dcoop,Garrafa,3 l,"34,95 €",Dia
Aceite de oliva virgen extra,Dcoop,Botella,1 l,"12,45 €",Dia
Aceite de oliva virgen extra a la guindilla,La española,Botella,250 ml,"3,99 €",Dia
Aceite de oliva virgen extra,La española,Botella,500 ml,"7,69 €",Dia
Aceite de oliva virgen extra ecológico,Oro de Génave,Botella,500 ml,"7,99 €",Dia
Aceite de oliva virgen extra al ajo,La española,Botella,250 ml,"3,99 €",Dia
Aceite de oliva virgen extra a la trufa blanca,La española,Botella,250 ml,"3,99 €",Dia
Aceite de girasol,Coosol,Garrafa,5 l,"10,99 €",Dia
Aceite de coco virgen extra bio,Bio para todos,Frasco,225 ml,"3,99 €",Dia
Aceite de oliva virgen extra,Jaencoop,Botella,250 ml,"3,99 €",Dia
Aceite de oliva virgen extra,Jaencoop,Botella,1 l,"12,99 €",Dia
Aceite de oliva virgen extra,Carbonell,Spray,200 ml,"4,39 €",Dia
Aceite de orujo de oliva,La masía,Botella,1 l,"5,69 €",Dia
Aceite de oliva intenso,Carbonell,Botella,1 l,"13,89 €",Dia
Aceite oliva virgen,Carbonell,Botella,1 l,"14,89 €",Dia
Set aliño aceite de oliva y vinagre,Capricho andaluz,Bolsa,1 unidad,"1,99 €",Dia
Aceite de oliva intenso,La masía,Botella,1 l,"10,49 €",Dia
Aceite de oliva suave,Carbonell,Botella,1 l,"13,89 €",Dia
