producto,marca,formato,cantidad,precio,supermercado
Gel de afeitar Sensitive,Deliplus,Bote,200 ml,"1,60 €",Mercadona
Gel de afeitar Sensitive,Deliplus,Bote,75 ml,"1,15 €",Mercadona
Espuma de afeitar Sensitive  manteca de cacao,Deliplus,Bote,300 ml,"1,40 €",Mercadona
Gel de afeitar piel sensible  con aloe vera,Gillette,Bote,200 ml,"2,80 €",Mercadona
Espuma de afeitar piel sensible  con aloe vera,Gillette,Bote,250 ml,"1,95 €",Mercadona
Crema de afeitar piel sensible Original  uso con brocha,Lea,bote,100 g,"1,75 €",Mercadona
Bálsamo after shave SensitiveMen 0% alcohol, Nivea ,Frasco,100 ml,"5,95 €",Mercadona
Bálsamo after shave Sensitive  0% alcohol antiedad,Deliplus,Bote,100 ml,"1,85 €",Mercadona
Gel after shave Sensitive  con aloe vera y 0% alcohol,Deliplus,Bote,100 ml,"1,30 €",Mercadona
Lote corporalMen, Nivea , caja,1 ud.,"11,00 €",Mercadona
Loción after shave Fresh  con alcohol,Deliplus,Bote,150 ml,"1,35 €",Mercadona
Maquinillas de afeitar desechables  Fix 2 hojas,Deliplus,Paquete,10 ud.,"1,10 €",Mercadona
Maquinillas de afeitar desechables  Blue Plus 2 hojas,Gillette,Paquete,6 ud.,"3,40 €",Mercadona
Maquinillas de afeitar desechables  Active 3 hojas,Deliplus,Paquete,4 ud.,"1,95 €",Mercadona
Maquinillas de afeitar desechables  Sensor Comfort 3 hojas,Gillette,Paquete,5 ud.,"5,75 €",Mercadona
Maquinillas de afeitar desechables  Blue Plus 2 hojas,Gillette,Paquete,20 ud.,"8,00 €",Mercadona
Maquinilla de afeitar recargable  Precision System 3 hojas,Deliplus,Caja,1 ud.,"2,90 €",Mercadona
Maquinilla de afeitar recargable  Precision System 5 hojas,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Maquinillas de afeitar desechables  Active 2 hojas,Deliplus,Paquete,10 ud.,"1,95 €",Mercadona
Maquinilla de afeitar recargable  Precision System 6 hojas,Deliplus,Caja,1 ud.,"5,15 €",Mercadona
Maquinilla de afeitar recargable  Fusion Sport 5 hojas,Gillette,Caja,1 ud.,"8,75 €",Mercadona
Maquinilla de afeitar recargable  Mach Sport 3 hojas,Gillette,Caja,1 ud.,"7,95 €",Mercadona
Maquinilla de afeitar recargable  Labs 5 hojas,Gillette,Caja,1 ud.,"15,00 €",Mercadona
Recambios maquinilla de afeitar  Precision System 5 hojas,Deliplus,Caja,4 ud.,"4,40 €",Mercadona
Recambios maquinilla de afeitar  Precision System 6 hojas,Deliplus,Caja,4 ud.,"5,30 €",Mercadona
Recambios maquinilla de afeitar  Fusion Sport 5 hojas,Gillette,Caja,4 ud.,"13,95 €",Mercadona
Recambios maquinilla de afeitar  Mach Sport 3 hojas,Gillette,Caja,4 ud.,"7,95 €",Mercadona
Recambios maquinilla de afeitar  Labs 5 hojas,Gillette,Caja,4 ud.,"18,95 €",Mercadona
"Crema cara, cuerpo y manosMen", Nivea ,Lata,150 ml,"4,00 €",Mercadona
Cuidado hidratante Hydra energetic  men expert anti-fatiga 24h,L'Oréal,Bote,50 ml,"6,95 €",Mercadona
Gel reductor de abdomen  Men Care,Deliplus,Bote,150 ml,"3,70 €",Mercadona
Gel crema facial revitalizante e hidratante  Men Care Vital,Deliplus,Bote,50 ml,"5,00 €",Mercadona
Contorno de ojos Men Care Regen Skin,Deliplus,Tubo,15 ml,"5,00 €",Mercadona
Crema facial Power Age  men expert hidratante anti-edad,L'Oréal,Bote,50 ml,"8,95 €",Mercadona
Lote corporalMen, Nivea ,bote,1 ud.,"11,00 €",Mercadona
