producto,marca,formato,cantidad,precio,supermercado
Agua mineral natural,Dia,Garrafa,5 l,"0,65 €",Dia
Agua mineral natural,Dia,Botella,1.5 l,"0,25 €",Dia
Agua mineral con gas,Dia,Botella,1.5 l,"0,41 €",Dia
Agua mineral natural,Aquarel,Botella,1.5 l,"0,59 €",Dia
Agua mineral natural,Font Vella,Botella,1.5 l,"0,73 €",Dia
Agua mineral natural,Solán de Cabras,Botella,1.5 l,"0,89 €",Dia
Agua mineral natural,Bezoya,Botella,6 x 1.5 l,"4,44 €",Dia
Agua mineral natural,Dia,Botella,50 cl,"0,22 €",Dia
Agua mineral natural,Dia,Botella,33 cl,"0,24 €",Dia
Agua mineral natural,Aquabona,Botella,1.5 l,"0,65 €",Dia
Agua mineral natural,Font Vella,Garrafa,6.25 l,"2,29 €",Dia
Agua mineral con gas,Dia,Botella,50 cl,"0,27 €",Dia
Agua mineral natural,Aquarel,Garrafa,5 l,"1,70 €",Dia
Agua mineral natural,Solán de Cabras,Botella,50 cl,"0,79 €",Dia
Agua mineral natural,Aquarel,Botella,33 cl,"0,53 €",Dia
Agua mineral con gas,Vichy,Botella,1 l,"1,49 €",Dia
Agua mineral natural,Font Vella,Botella,1 l,"0,76 €",Dia
Agua mineral natural,Fuente primavera,Botella,1 l,"0,49 €",Dia
Agua mineral natural,Cabreiroá,Botella,1.5 l,"0,79 €",Dia
Agua mineral natural,Font Vella,Botella,2 l,"0,97 €",Dia
Agua mineral natural,Solán de Cabras,Garrafa,5 l,"2,65 €",Dia
Agua mineral natural,Aquarel,Botella,50 cl,"0,59 €",Dia
Agua mineral natural,Font Vella,Botella,50 cl,"0,66 €",Dia
Agua mineral con gas,Fonter,Botella,1 l,"1,14 €",Dia
Agua mineral natural,Lanjarón,Botella,1.5 l,"0,73 €",Dia
Agua mineral natural,Bezoya,Botella,1.5 l,"0,74 €",Dia
Agua con gas,San Pellegrino,Botella,50 cl,"1,09 €",Dia
Agua mineral zero sodio,Fontarel,Botella,1.5 l,"0,65 €",Dia
Agua con gas,Font Vella,Botella,50 cl,"0,94 €",Dia
Agua mineral natural alcalina ph,Ursu9,Botella,9   1.5 l,"0,75 €",Dia
Agua mineral natural,Aquarel,Botella,75 cl,"0,73 €",Dia
Agua mineral con gas,Perrier,Botella,50 cl,"1,15 €",Dia
Agua con gas,Solán de Cabras,Botella,33 cl,"1,25 €",Dia
Agua mineral natural,Aquabona,Botella,500 ml,"0,59 €",Dia
Agua mineral con gas,San Pellegrino,Botella,1 l,"1,36 €",Dia
