producto,marca,formato,cantidad,precio,supermercado
Salmón ahumado,Selección Mundial de Dia,Sobre,100 g,"3,80 €",Dia
Salmón ahumado,Selección Mundial de Dia,Sobre,200 g,"7,20 €",Dia
Boquerones al vinagre MSC,Mari Marinera de Dia,Bandeja,80 g,"2,39 €",Dia
Anchoa del Cantábrico en aceite de oliva,Mari Marinera de Dia,Pack,3 x 25 g,"2,99 €",Dia
Filetes de anchoa del Cantábrico en aceite de girasol,Mari Marinera de Dia,Pack,3 x 25 g,"2,69 €",Dia
Trucha ahumada,Mari Marinera de Dia,Bandeja,100 g,"3,69 €",Dia
Boquerones al vinagre con ajo y perejil MSC,Mari Marinera de Dia,Bandeja,80 g,"2,49 €",Dia
Bacalao desmigado desalado MSC,Mari Marinera de Dia,Bandeja,250 g,"4,79 €",Dia
Filetes de sardina anchoada en salazón,Kiele,Bandeja,50 g,"1,79 €",Dia
Filetes de anchoa en aceite de oliva,Consorcio,Lata,23 g,"1,99 €",Dia
Filetes de anchoa en aceite de oliva reducido sal MSC,Mari Marinera de Dia,Lata,29 g,"1,89 €",Dia
Aceituna gordal rellena de boquerón del Cantábrico MSC,Kiele,Bandeja,150 g,"2,99 €",Dia
Bacalao desmigado salado MSC,Mari Marinera de Dia,Bandeja,250 g,"4,99 €",Dia
Colas de langostino al ajillo,Aguinamar,Bolsa,105 g,"3,19 €",Dia
Anchoas en aceite de oliva MSC,Mari Marinera de Dia,Lata,50 g,"3,89 €",Dia
Bacalao ahumado,Nuchar,Bandeja,80 g,"3,69 €",Dia
Huevas de capelán,Royal,Frasco,50 g,"2,29 €",Dia
Salmón ahumado marinado,Nuchar,Sobre,80 g,"3,99 €",Dia
Filetón de bacalao salado MSC,Selección Mundial de Dia,Bolsa,700 g,"11,99 €",Dia
Crema de bacalao,Royal,Tarrina,100 g,"2,75 €",Dia
