producto,marca,formato,cantidad,precio,supermercado
Cebolla,Marca Día,malla,750 g,"1,79 €",Dia
Ajos,Marca Día,malla,250 g,"1,69 €",Dia
Cebolla,Marca Día,malla,1.5 Kg,"1,99 €",Dia
Puerro,Marca Día,Sin formato,250 g,"0,65 €",Dia
Puerros,Marca Día,bandeja,500 g,"2,39 €",Dia
Cebolla morada,Marca Día,malla,500 g,"1,49 €",Dia
Cebolla dulce granel,Marca Día,Sin formato,1 Kg .,"2,49 €",Dia
Cebolla dulce,Marca Día,malla,1 Kg,"2,49 €",Dia
Ajo morado,Marca Día,malla,400 g,"2,19 €",Dia
Cebolla tierna,Marca Día,Sin formato,1 unidad,"0,49 €",Dia
Ajo unidad aprox.,Marca Día,Sin formato,60 g,"0,49 €",Dia
Ajo bio,Marca Día,malla,200 g,"1,49 €",Dia
