producto,marca,formato,cantidad,precio,supermercado
Churros lazo,Al Punto Dia,Bolsa,500 g,"1,49 €",Dia
Porras fritas,Al Punto Dia,Bolsa,250 g,"1,90 €",Dia
Frutos rojos,Congelados de Navarra,Bolsa,300 g,"1,59 €",Dia
Fresas congeladas,La cuerva,Bolsa,300 g,"1,65 €",Dia
Tarta bombón,San Martín,Bandeja,1 Kg,"10,95 €",Dia
Tarta de queso con frambuesas,Philadelphia,Caja,390 g,"7,35 €",Dia
Tarta de zanahoria,San Martín,Bandeja,770 g,"10,59 €",Dia
Tarta bombón infantil niño,San Martín,Bandeja,500 g,"6,25 €",Dia
Tarta de queso con galletas oreo,Oreo,Caja,350 g,"7,49 €",Dia
Brazo de chocolate,Sietem,Bandeja,500 g,"6,99 €",Dia
