producto,marca,formato,cantidad,precio,supermercado
Refresco de cola zero,Coca-Cola,Lata,12 x 33 cl,"10,44 €",Dia
Refresco de cola clásica,Coca-Cola,Lata,12 x 33 cl,"10,44 €",Dia
Refresco de cola zero,Coca-Cola,Botella,2 x 2 l,"3,90 €",Dia
Refresco de cola clásica,Coca-Cola,Botella,2 x 2 l,"3,90 €",Dia
Refresco de cola zero,Hola Cola,Botella,6 x 50 cl,"2,34 €",Dia
Refresco de cola zero,Hola Cola,Botella,2 l,"0,65 €",Dia
Refresco de cola zero sin cafeína,Hola Cola,Botella,4 x 2 l,"2,60 €",Dia
Refresco de cola zero sin cafeína,Hola Cola,Lata,6 x 33 cl,"1,92 €",Dia
Refresco de cola,Hola Cola,Botella,4 x 2 l,"3,16 €",Dia
Refresco de cola zero,Pepsi,Botella,2 x 1.75 l,"3,30 €",Dia
Refresco de cola zero,Hola Cola,Lata,12 x 33 cl,"3,84 €",Dia
Refresco de cola clásica,Coca-Cola,Lata,33 cl,"0,89 €",Dia
Refresco de cola zero zero,Coca-Cola,Lata,33 cl,"0,89 €",Dia
Refresco de cola,Hola Cola,Botella,2 l,"0,79 €",Dia
Refresco de cola zero,Coca-Cola,Lata,33 cl,"0,89 €",Dia
Refresco de cola,Hola Cola,Lata,12 x 33 cl,"4,44 €",Dia
Refresco de cola zero zero,Coca-Cola,Botella,2 x 2 l,"3,90 €",Dia
Refresco de cola clásica,Coca-Cola,Botella,2 l,"1,99 €",Dia
Refresco de cola clásica,Coca-Cola,Botella,1.25 l,"1,49 €",Dia
Refresco de cola zero,Hola Cola,Botella,6 x 2 l,"3,90 €",Dia
Refresco de cola zero sin cafeína,Hola Cola,Botella,2 l,"0,65 €",Dia
Refresco de cola zero,Coca-Cola,Botella,500 ml,"1,45 €",Dia
Refresco de cola zero,Coca-Cola,Botella,1.25 l,"1,49 €",Dia
Refresco de cola clásica,Pepsi,Botella,1.75 l,"1,69 €",Dia
Refresco de cola clásica,Pepsi,Lata,33 cl,"0,79 €",Dia
Refresco de cola sin cafeína,Coca-Cola,Lata,33 cl,"0,89 €",Dia
Refresco de cola light,Coca-Cola,Lata,33 cl,"0,89 €",Dia
Refresco de cola clásica,Pepsi,Botella,2 x 1.75 l,"3,30 €",Dia
Refresco de cola,Hola Cola,Lata,33 cl,"0,37 €",Dia
Refresco de cola zero,Pepsi,Lata,33 cl,"0,79 €",Dia
Refresco de cola zero,Pepsi,Botella,1.75 l,"1,69 €",Dia
Refresco zero sabor lima,Pepsi,Lata,33 cl,"0,79 €",Dia
Refresco de cola zero,Coca-Cola,Botella,2 l,"1,99 €",Dia
Refresco de cola zero,Coca-Cola,Botella,2 x 1.25 l,"2,90 €",Dia
Refresco de cola zero zero,Coca-Cola,Botella,1.25 l,"1,49 €",Dia
Refresco de cola zero azúcar,Green cola,Lata,33 cl,"0,85 €",Dia
Refresco de cola zero,Pepsi,Botella,1 l,"1,25 €",Dia
Refresco de cola zero sin cafeína,Pepsi,Lata,33 cl,"0,79 €",Dia
Refresco de cola clásica,Pepsi,Botella,1 l,"1,25 €",Dia
Refresco de cola zero,Coca-Cola,Lata,6 x 200 ml,"3,99 €",Dia
Refresco de cola zero zero,Coca-Cola,Lata,12 x 33 cl,"10,44 €",Dia
Refresco de cola clásica,Coca-Cola,Lata,6 x 200 ml,"3,99 €",Dia
Refresco de cola zero zero,Coca-Cola,Botella,500 ml,"1,45 €",Dia
Refresco de cola zero sin cafeína,Hola Cola,Lata,33 cl,"0,32 €",Dia
Refresco de cola light,Pepsi,Botella,1.75 l,"1,69 €",Dia
Refresco de cola light sin cafeína,Coca-Cola,Lata,33 cl,"0,89 €",Dia
Refresco de cola zero,Hola Cola,Botella,500 ml,"0,39 €",Dia
Refresco de cola,Hola Cola,Botella,500 ml,"0,58 €",Dia
Refresco de cola sin cafeína,Coca-Cola,Botella,2 l,"1,99 €",Dia
Refresco de cola light,Coca-Cola,Botella,2 l,"1,99 €",Dia
Refresco de cola light,Coca-Cola,Botella,1.25 l,"1,49 €",Dia
Refresco de cola clásica,Coca-Cola,Botella,500 ml,"1,45 €",Dia
Refresco de cola zero zero,Coca-Cola,Botella,2 l,"1,99 €",Dia
Refresco de cola zero,Hola Cola,Lata,33 cl,"0,32 €",Dia
