producto,marca,formato,cantidad,precio,supermercado
Colorete compacto Blush Mate  01 rosa,Deliplus,caja,1 ud.,"4,85 €",Mercadona
Colorete compacto Blush Mate  02 coral,Deliplus,caja,1 ud.,"4,85 €",Mercadona
Colorete compacto Blush Mate  03 rojo,Deliplus,caja,1 ud.,"4,85 €",Mercadona
Colorete compacto Blush Luminoso  01 rosa,Deliplus,caja,1 ud.,"4,85 €",Mercadona
Colorete compacto Blush Luminoso  02 coral,Deliplus,caja,1 ud.,"4,85 €",Mercadona
Colorete compacto Blush Luminoso  03 dorado,Deliplus,caja,1 ud.,"4,85 €",Mercadona
Colorete compacto Blush Satin  02 natural,Deliplus,caja,1 ud.,"4,85 €",Mercadona
Colorete compacto Blush Satin  03 rosa vivo,Deliplus,caja,1 ud.,"4,85 €",Mercadona
Polvo compacto Sol  claro,Deliplus,caja,1 ud.,"7,50 €",Mercadona
Polvo compacto Sol  oscuro,Deliplus,caja,1 ud.,"7,50 €",Mercadona
Polvo compacto Matificante,Deliplus,caja,1 ud.,"5,40 €",Mercadona
Polvo suelto Translúcido  01,Deliplus,caja,1 ud.,"5,50 €",Mercadona
Polvo Compacto 24H Long Lasting  01 beige,Deliplus,caja,1 ud.,"6,00 €",Mercadona
Polvo Compacto 24H Long Lasting  02 beige rosado,Deliplus,caja,1 ud.,"6,00 €",Mercadona
Polvo Compacto 24H Long Lasting  03 dorado,Deliplus,caja,1 ud.,"6,00 €",Mercadona
Polvo Compacto 24H Long Lasting  04 dorado oscuro,Deliplus,caja,1 ud.,"6,00 €",Mercadona
