producto,marca,formato,cantidad,precio,supermercado
Mini empanadillas de atún,Al Punto Dia,Bolsa,400 g,"1,49 €",Dia
Croquetas de jamón,Al Punto Dia,Bolsa,500 g,"1,25 €",Dia
Gyozas de pollo,Vici,Bolsa,400 g,"3,99 €",Dia
Empanadillas de atún MSC,La cocinera,Caja,312 g,"4,99 €",Dia
Empanadillas de atún,Al Punto Dia,Bolsa,500 g,"1,89 €",Dia
Palitos de mozzarella,Al Punto Dia,Bolsa,300 g,"2,59 €",Dia
Croquetas de pollo,Al Punto Dia,Bolsa,450 g,"1,49 €",Dia
Croquetas de cocido,Al Punto Dia,Bolsa,350 g,"1,89 €",Dia
Rollitos de primavera,Al Punto Dia,Caja,450 g,"2,99 €",Dia
Croquetas de jamón ibérico,Al Punto Dia,Bolsa,350 g,"2,49 €",Dia
Tequeños de queso,Amaizin,Caja,190 g,"2,99 €",Dia
Croquetas artesanas de jamón ibérico,La cocinera,Bolsa,400 g,"4,99 €",Dia
