producto,marca,formato,cantidad,precio,supermercado
Crema corporal nutritiva  con aceite de oliva,Deliplus,Tarro,250 ml,"1,50 €",Mercadona
Loción corporal aloe vera,Deliplus,Bote,400 ml,"1,10 €",Mercadona
Crema corporal Nivea,deliplus,Lata,250 ml,"4,00 €",Mercadona
Aceite corporal aloe vera,Deliplus,Bote,400 ml,"1,65 €",Mercadona
Gel corporal aloe vera,Deliplus,Bote,390 ml,"3,75 €",Mercadona
Loción corporal 10% urea pura,Deliplus,Bote,400 ml,"1,95 €",Mercadona
Crema corporal nutritiva  con aceite de argán,Deliplus,Tarro,250 ml,"1,50 €",Mercadona
"Loción corporal con omegas 3, 6 y 9",Deliplus,Bote,400 ml,"2,20 €",Mercadona
Loción corporal reafirmante Q10y vitamina C, Nivea ,Bote,400 ml,"5,75 €",Mercadona
Exfoliante corporal mineral  Mar Muerto,Deliplus,Tarro,400 g,"4,50 €",Mercadona
Aceite en crema corporal oriental,Deliplus,Bote,250 ml,"3,00 €",Mercadona
Aceite corporal de almendras  100% natural,Deliplus,Bote,200 ml,"3,40 €",Mercadona
Crema corporal anticelulítica,Deliplus,Tarro,250 ml,"2,00 €",Mercadona
Gel corporal aloe vera puro,Atlantia,Bote,200 ml,"5,95 €",Mercadona
Leche corporal nutritivacon aceite de almendras y vitamina E, Nivea ,Bote,500 ml,"5,50 €",Mercadona
Aceite corporal de romero  100% natural,Deliplus,Bote,200 ml,"3,20 €",Mercadona
Gel anticelulítico efecto frío,Deliplus,Bote,200 ml,"3,80 €",Mercadona
Tratamiento crema reductor intensivo noche,Deliplus,Bote,200 ml,"4,90 €",Mercadona
Spray refrescante mentol  para pies y piernas,Deliplus,Bote,200 ml,"3,95 €",Mercadona
Gel refrescante mentol  para pies y piernas,Deliplus,Bote,300 ml,"2,50 €",Mercadona
Loción corporal de almendras,Deliplus,Bote,400 ml,"1,95 €",Mercadona
Manteca corporal con aroma de coco,Deliplus,Tarro,250 ml,"3,50 €",Mercadona
Aceite corporal rosa mosqueta,Deliplus,Bote,30 ml,"4,80 €",Mercadona
Exfoliante corporal con partículas de coco,Deliplus,Tarro,250 ml,"4,00 €",Mercadona
Tratamiento corporal intensivo Meso-Anticelulítico concentrado,Deliplus,Caja,15 ampollas (75 ml),"8,50 €",Mercadona
Crema corporal hidratante  vainilla,Deliplus,Tarro,250 ml,"1,80 €",Mercadona
Crema corporal hidratante Esferas VIT-E  con ácido hialurónico,Deliplus,Tarro,250 ml,"2,50 €",Mercadona
Lote corporal mujer,deliplus,bote,1 ud.,"10,95 €",Mercadona
Rodillo intensivo reductor  con creatina y cafeína combate la celulitis,Deliplus,bote,150 ml,"6,50 €",Mercadona
Aceite corporal tacto seco  con aceite de argán,Deliplus,Bote,200 ml,"3,20 €",Mercadona
Crema corporal hidratante sorbete Mango,Deliplus,Tarro,250 ml,"2,50 €",Mercadona
Bruma capilar y corporal Daily Love con brillo,Deliplus,Spray,250 ml,"4,00 €",Mercadona
Crema de manos flor de Japón,Deliplus,Tubo,30 ml,"1,00 €",Mercadona
Crema de manos hidratante con aloe vera,Deliplus,Bote,75 ml,"1,00 €",Mercadona
Crema de manos reparadora,Deliplus,Bote,75 ml,"1,30 €",Mercadona
"Crema de manos, cara y cuerpoSoft hidratante intensiva", Nivea ,Bote,75 ml,"1,95 €",Mercadona
Crema de manos anti-manchas  FPS 20,Deliplus,Bote,75 ml,"1,30 €",Mercadona
Crema de manos nutritiva  intensiva,Dove,Bote,75 ml,"2,00 €",Mercadona
Mascarilla de manos nutritiva,Sence,Paquete,1 ud.,"2,50 €",Mercadona
Crema de manos Karitesse,Deliplus,Bote,290 ml,"2,70 €",Mercadona
Crema de manos nutritiva,Deliplus,Bote,75 ml,"1,30 €",Mercadona
Crema para pies 10% urea pura,Deliplus,Bote,125 ml,"1,20 €",Mercadona
Crema hidratante para pies  anti-sequedad,Deliplus,Bote,125 ml,"1,50 €",Mercadona
Crema exfoliante para pies  anti-durezas,Deliplus,Bote,125 ml,"1,90 €",Mercadona
Tratamiento para pies  durezas y callos,Deliplus,Bote,50 ml,"2,00 €",Mercadona
Stick para pies anti-rozaduras,Deliplus,Caja,4 ml,"2,50 €",Mercadona
Papel higiénico húmedo WC,Bosque Verde,Paquete,100 ud.,"1,55 €",Mercadona
Papel higiénico húmedo WC,Bosque Verde,Paquete,15 ud.,"0,80 €",Mercadona
Toallitas desmaquillantes cara y ojos  piel normal-mixta,Deliplus,Paquete,25 ud.,"1,15 €",Mercadona
Toallitas desmaquillantes cara y ojos  piel seca y sensible,Deliplus,Paquete,25 ud.,"1,15 €",Mercadona
Toallitas Refrescantes,Deliplus,Paquete,25 ud.,"1,25 €",Mercadona
Toallitas Refrescantes,Deliplus,Paquete,20 ud.,"0,80 €",Mercadona
Toallitas Dermo Higiene Corporal  tamaño gigantes,Deliplus,Paquete,60 ud.,"3,95 €",Mercadona
Toallitas Refrescantes  monodosis,Deliplus,Caja,20 sobres,"1,75 €",Mercadona
Toallitas de manos hidroalcohólicas  75% Alcohol,Deliplus,Paquete,15 ud.,"0,90 €",Mercadona
Toallitas desmaquillantes Micelar & Oil  para todo tipo de pieles,Deliplus,Paquete,25 ud.,"1,60 €",Mercadona
Toallitas autobronceadoras  monodosis,Deliplus,Caja,6 ud.,"4,00 €",Mercadona
