producto,marca,formato,cantidad,precio,supermercado
Discos desmaquillantes  redondos algodón 100%,Deliplus,Paquete,150 ud.,"1,10 €",Mercadona
Toallitas desmaquillantes cara y ojos  piel normal-mixta,Deliplus,Paquete,25 ud.,"1,15 €",Mercadona
Toallitas desmaquillantes cara y ojos  piel seca y sensible,Deliplus,Paquete,25 ud.,"1,15 €",Mercadona
Discos desmaquillantes  ovalados algodón 100%,Deliplus,Paquete,100 ud.,"1,60 €",Mercadona
Agua Micelar cara y ojos Facial Clean,Deliplus,Bote,400 ml,"3,00 €",Mercadona
Mascarilla facial peeling de alga negra,Montagne Jeunesse,bote,2 ud. x 8 ml,"1,75 €",Mercadona
Desmaquillador de ojos y labios bifásico Waterproof Facial Clean,Deliplus,Bote,150 ml,"2,00 €",Mercadona
Leche facial limpiadora Facial Clean,Deliplus,Bote,250 ml,"1,50 €",Mercadona
Esponja facial desmaquillante  vegetal,Deliplus,Paquete,2 ud.,"1,00 €",Mercadona
Gel facial limpiador Facial Clean,Deliplus,Bote,250 ml,"2,50 €",Mercadona
"Limpiador, exfoliante y mascarilla Arcilla Blanca Facial Clean",Deliplus,Bote,100 ml,"3,50 €",Mercadona
Tiras faciales limpia poros,Doctor San,Caja,6 ud.,"3,00 €",Mercadona
Mousse facial limpiadora purificante  Oil Free,Deliplus,Bote,200 ml,"4,00 €",Mercadona
Agua facial de avena,Deliplus,Spray,300 ml,"2,90 €",Mercadona
Aceite facial limpiador espumoso  Facial Clean,Deliplus,Bote,175 ml,"3,75 €",Mercadona
Toallitas desmaquillantes Micelar & Oil  para todo tipo de pieles,Deliplus,Paquete,25 ud.,"1,60 €",Mercadona
Gel facial limpiador Sensitive  Facial Clean,Deliplus,Bote,100 ml,"4,00 €",Mercadona
Tónico facial árbol de té y prebióticos  Facial Clean,Deliplus,Bote,255 ml,"3,50 €",Mercadona
Mascarilla facial Hidra Boom Mask  con Camelias de Jeju y ácido hialurónico,Deliplus,Paquete,1 ud.,"1,75 €",Mercadona
Tónico facial vitamina C y niacinamida  Facial Clean iluminador y antioxidante,Deliplus,Bote,255 ml,"3,50 €",Mercadona
Discos impregnados ácido salicílico  Oil Free purificantes y seborreguladores,Deliplus,Caja,50 ud.,"4,50 €",Mercadona
Láminas faciales reabsorbibles efecto lifting,Deliplus,Caja,1 ud.,"5,00 €",Mercadona
Crema facial Revitaliza y Reestructura Sisbela Reafirm  con ácido ribonucleico RNA,Deliplus,Tarro,50 ml,"5,00 €",Mercadona
Crema facial Textura Ligera Prevent Age Skin,Deliplus,Tarro,50 ml,"7,00 €",Mercadona
Recambio crema facial Texura Ligera Prevent Age Skin,Deliplus,bote,50 ml,"4,00 €",Mercadona
Hidratante facial BB cream  01 claro FPS 20,Deliplus,Bote,50 ml,"4,50 €",Mercadona
Hidratante facial BB cream  02 medio FPS 20,Deliplus,Bote,50 ml,"4,50 €",Mercadona
Recambio crema facial día Textura Rica Regen Skin,Deliplus,bote,50 ml,"4,00 €",Mercadona
Crema facial Dragon's Blood Anti Ox  FPS 12,Deliplus,Tarro,50 ml,"5,00 €",Mercadona
Crema facial hidratante día Revitalift  antiarrugas extra firmeza,L'Oréal,Tarro,50 ml,"9,50 €",Mercadona
Crema facial noche Textura Rica Regen Skin,Deliplus,Tarro,50 ml,"7,00 €",Mercadona
Recambio crema facial noche Textura Rica Regen Skin,Deliplus,bote,50 ml,"4,00 €",Mercadona
Crema facial fluida hidratante  Oil Free,Deliplus,Tubo,50 ml,"4,80 €",Mercadona
Crema facial hidratante y fortalecedora  Sensitive con vitamina K Ox,Deliplus,Tarro,50 ml,"7,00 €",Mercadona
Gel facial secante de imperfecciones  Oil Free,Deliplus,Tubo,15 ml,"4,25 €",Mercadona
Crema facial Vitamina C Viseger Pharma FPS 50+,Viseger Pharma,Tarro,50 ml,"7,00 €",Mercadona
Crema facial noche  aclarante anti-manchas,Deliplus,Bote,50 ml,"6,00 €",Mercadona
Crema facial protectora anti-manchas  FPS 50+,Deliplus,Bote,50 ml,"6,00 €",Mercadona
Gel facial Hidrata  ácido hialurónico,Deliplus,Tarro,50 ml,"5,00 €",Mercadona
Crema facial Hidrata  ácido hialurónico y aloe vera,Deliplus,Tarro,50 ml,"5,00 €",Mercadona
Recambio crema facial Green Caviar Prevent Age Skin,Deliplus,bote,1 ud.,"4,00 €",Mercadona
Tarro vacío para recambio crema facial,Deliplus,bote,50 ml,"4,00 €",Mercadona
Gel facial Matifica  sebo-regulador,Deliplus,Bote,15 ml,"6,00 €",Mercadona
Contorno de ojos Antiarrugas e Iluminador  Sisbela Reafirm,Deliplus,Tarro,5 ud. (10 ml),"4,50 €",Mercadona
Sérum reductor instantáneo de bolsas y ojeras  Sisbela Reafirm,Deliplus,Caja,15 ml,"5,00 €",Mercadona
Crema contorno de ojos y párpados Dragon's blood  Anti Ox,Deliplus,Bote,15 ml,"4,50 €",Mercadona
Contorno de ojos arrugas y bolsas  Prevent Age Skin,Deliplus,Tubo,1 ud.,"5,00 €",Mercadona
Láminas faciales reabsorbibles efecto lifting,Deliplus,Caja,7 ud.,"5,00 €",Mercadona
Perlas faciales Q10  concentrado reafirmante antiarrugas,Khanya,Paquete,2 ud. (4 ml),"1,50 €",Mercadona
Ampollas faciales spray flash Tensor Effect  Sisbela Reafirm,Deliplus,Caja,7 ampollas (14 ml),"2,50 €",Mercadona
Ampollas faciales Ácido Hialurónico Hidrata  concentrado,Deliplus,Caja,30 ml,"3,50 €",Mercadona
Sérum facial potenciador 12% silicio  Sisbela Reafirm,Deliplus,Frasco,30 ml,"6,00 €",Mercadona
Aceite facial Licopeno  Anti Ox,Deliplus,Frasco,30 ml,"6,00 €",Mercadona
Sérum facial Retinol  Regen Skin,Deliplus,Frasco,30 ml,"6,00 €",Mercadona
Sérum facial Despigmentante  Anti-manchas,Deliplus,Frasco,30 ml,"6,00 €",Mercadona
Sérum facial Sebo-regulador  Equilibrio,Deliplus,bote,30 ml,"6,00 €",Mercadona
Sérum facial Ácido Hialurónico y Ceramidas  Hidrata,Deliplus,Frasco,10 ml,"6,00 €",Mercadona
Sérum facial Q10 Antiarrugas,Deliplus,Frasco,30 ml,"3,50 €",Mercadona
Aceite de Ricino,Deliplus,Bote,1 ud.,"3,95 €",Mercadona
Sérum de pestañas SOS cuida y refuerza,Deliplus,bote,1ud,"5,00 €",Mercadona
