producto,marca,formato,cantidad,precio,supermercado
Café en cápsula extra fuerte,Hacendado,Caja,20 cápsulas (104 g),"3,50 €",Mercadona
Café en cápsula descafeinado,Hacendado,Caja,20 cápsulas (104 g),"3,50 €",Mercadona
Café en cápsula Colombia,Hacendado,Caja,20 cápsulas (104 g),"3,55 €",Mercadona
Café en cápsula espresso,Hacendado,Caja,20 cápsulas (104 g),"3,50 €",Mercadona
Café en cápsula ristretto,Hacendado,Caja,20 cápsulas (106 g),"3,50 €",Mercadona
Café en cápsula descafeinado espresso,Hacendado,Caja,20 cápsulas (104 g),"3,50 €",Mercadona
Café en cápsula espresso intenso, Dolce Gusto,Caja,16 cápsulas (112 g),"4,25 €",Mercadona
Café en cápsula extra forte,Hacendado,Caja,16 cápsulas (112 g),"3,20 €",Mercadona
Café en cápsula forte,Hacendado,Caja,16 cápsulas (112 g),"3,20 €",Mercadona
Café en cápsula classic,Hacendado,Caja,16 cápsulas (112 g),"3,20 €",Mercadona
Café en cápsula descafeinado espresso intenso, Dolce Gusto,Caja,16 cápsulas (992 g),"4,25 €",Mercadona
Café con leche en cápsula, Dolce Gusto,Caja,16 cápsulas (160 g),"4,25 €",Mercadona
Café con leche en cápsula,Hacendado,Caja,16 cápsulas (152 g),"3,20 €",Mercadona
Café en cápsula ristretto napoli, Dolce Gusto,Caja,16 cápsulas (128 g),"4,25 €",Mercadona
Café en cápsula cortado, Dolce Gusto,Caja,"16 cápsulas (100,8 g)","4,25 €",Mercadona
Café en cápsula descafeinado,Hacendado,Caja,16 cápsulas (112 g),"3,20 €",Mercadona
Café cortado en cápsula,Hacendado,Caja,"16 cápsulas (92,8 g)","3,20 €",Mercadona
Café en cápsula cappuccino, Dolce Gusto,Caja,8 cápsulas (186 g),"4,89 €",Mercadona
Café con leche en cápsula descafeinado,Hacendado,Caja,16 cápsulas (152 g),"3,20 €",Mercadona
Cortado en cápsula descafeinado,Hacendado,Caja,16 cápsulas (91 g),"3,20 €",Mercadona
Café en cápsula doble espresso,Hacendado,Caja,16 cápsulas (128 g),"3,20 €",Mercadona
Café en cápsula cappuccino,Hacendado,Caja,"8 cápsulas (185,6 g)","3,20 €",Mercadona
Café en cápsula espresso,Tassimo,Paquete,16 cápsulas (118 g),"5,30 €",Mercadona
Café en cápsula largo,Tassimo,Paquete,16 cápsulas (133 g),"5,30 €",Mercadona
Café en cápsula cortado,Tassimo,Paquete,16 cápsulas (184 g),"5,30 €",Mercadona
Café en cápsula descafeinado,Tassimo,Paquete,16 cápsulas (118 g),"5,30 €",Mercadona
Café con leche en cápsula,Tassimo,Paquete,16 cápsulas (184 g),"5,30 €",Mercadona
Café monodosis natural,Hacendado,Paquete,32 dosis (224 g),"2,30 €",Mercadona
Café monodosis mezcla,Hacendado,Paquete,32 dosis (224 g),"2,70 €",Mercadona
Café monodosis intenso,Hacendado,Paquete,32 dosis (224 g),"3,05 €",Mercadona
Café monodosis descafeinado natural,Hacendado,Paquete,32 dosis (224 g),"2,45 €",Mercadona
