producto,marca,formato,cantidad,precio,supermercado
Bandas de cera facial  piel sensible,Deliplus,Paquete,16 bandas,"1,10 €",Mercadona
Bandas de cera especial piernas  piel sensible,Deliplus,Paquete,20 bandas,"1,50 €",Mercadona
Crema depilatoria hombre  piel normal,Deliplus,Caja,200 ml,"3,00 €",Mercadona
Crema depilatoria mujer para el cuerpo  piel sensible,Deliplus,Bote,200 ml,"3,00 €",Mercadona
Crema decolorante rostro y cuerpo  piel sensible,Deliplus,Caja,150 ml,"3,70 €",Mercadona
Cera caliente en tarro  piel sensible,Deliplus,Caja,1 tarro (250 g),"3,90 €",Mercadona
Gel para depilar con cuchilla  piel sensible,Deliplus,Bote,200 ml,"2,80 €",Mercadona
Bandas de cera facial Pure  piel sensible,Veet,Paquete,20 bandas,"4,95 €",Mercadona
Cera caliente Profesional en perlas  piel normal,Deliplus,Bote,300 g,"4,50 €",Mercadona
Bandas de cera cuerpo y piernas Pure  piel sensible,Veet,Caja,20 bandas,"5,50 €",Mercadona
Cera roll-on depilación con bandas  piel normal,Deliplus,Caja,100 ml,"4,25 €",Mercadona
Crema depilatoria Pure  piel sensible,Veet,Bote,200 ml,"5,00 €",Mercadona
Crema depilatoria  for men piel sensible,Veet,Bote,200 ml,"5,00 €",Mercadona
Crema depilatoria facial  piel sensible,Deliplus,Caja,20 ml,"2,00 €",Mercadona
Cera caliente en cazuela  piel sensible,Deliplus,Caja,1 tarro (100 g),"2,90 €",Mercadona
Pinza de cejas  oblicua,Deliplus,Paquete,1 ud.,"2,00 €",Mercadona
Pinza de cejas  recta,Deliplus,Paquete,1 ud.,"2,00 €",Mercadona
Maquinillas depilación desechables  Body 2 hojas,Deliplus,Paquete,5 ud.,"1,00 €",Mercadona
Maquinillas depilación desechables  Colors 3 hojas,Gillette Venus,Paquete,4 ud.,"3,45 €",Mercadona
Maquinilla depilación recargable  Comfortglide Breeze 3 hojas,Gillette Venus,Caja,1 ud.,"6,95 €",Mercadona
Recambios maquinilla depilación  Comfortglide Breeze 3 hojas,Gillette Venus,Caja,4 ud.,"11,00 €",Mercadona
Maquinilla depilación recargable  Smooth 3 hojas,Gillette Venus,Caja,1 ud.,"7,50 €",Mercadona
Recambios maquinilla depilación  Smooth 3 hojas,Gillette Venus,Caja,4 ud.,"9,95 €",Mercadona
Maquinilla depilación recargable  Hydro Silk 5 hojas,Wilkinson,Caja,1 ud.,"4,95 €",Mercadona
Recambios maquinilla depilación  Hydro Silk 5 hojas,Wilkinson,Caja,3 ud.,"7,95 €",Mercadona
Maquinilla depilación recargable  Body System 6 hojas,Deliplus,Caja,1 ud.,"5,60 €",Mercadona
Recambios maquinilla depilación  Body System 6 hojas,Deliplus,Caja,3 ud.,"5,30 €",Mercadona
Lote mujer  Hydro Silk,Wilkinson,bote,1 ud.,"11,00 €",Mercadona
