producto,marca,formato,cantidad,precio,supermercado
Desodorante  Aloe hidratante  antitranspirante,Deliplus,roll-on,50 ml,"0,85 €",Mercadona
Desodorante  Dermo extra control  antitranspirante,Sanex,roll-on,50 ml,"2,10 €",Mercadona
Desodorante  Seda suave  antitranspirante,Deliplus,roll-on,50 ml,"0,85 €",Mercadona
Desodorante  Perfume afrutado  antitranspirante,Deliplus,roll-on,50 ml,"0,85 €",Mercadona
Desodorante  Invisible antimanchas  antitranspirante,Deliplus,roll-on,50 ml,"0,85 €",Mercadona
Desodorante  Invisible Black & Whiteantitranspirante, Nivea ,roll-on,50 ml,"2,15 €",Mercadona
Desodorante  Avena delicado  antitranspirante,Deliplus,roll-on,50 ml,"0,85 €",Mercadona
Desodorante  Sensitive,Byly,roll-on,50 ml,"1,70 €",Mercadona
Desodorante  Dermo Sensitive  antitranspirante,Sanex,roll-on,50 ml,"2,10 €",Mercadona
Desodorante  Invisible Black & WhiteMen antitranspirante, Nivea ,roll-on,50 ml,"2,15 €",Mercadona
Desodorante  Dry impactMen antitranspirante, Nivea ,roll-on,50 ml,"2,15 €",Mercadona
Desodorante  original,Tulipán Negro,stick,100 ml,"2,40 €",Mercadona
Desodorante  Active control  men antitranspirante,Sanex,roll-on,50 ml,"2,10 €",Mercadona
Desodorante  Invisible men antimanchas  antitranspirante,Deliplus,roll-on,50 ml,"0,85 €",Mercadona
Desodorante  piel delicada  antitranspirante,Deliplus,crema,50 ml,"1,60 €",Mercadona
Desodorante  original  antitranspirante,Dove,crema,50 ml,"2,30 €",Mercadona
Desodorante  de alumbre mineral,Deonat,piedra,60 g,"2,20 €",Mercadona
Desodorante  sensitive suave  sin olor y aluminio,Byly,Tubo,25 ml,"2,15 €",Mercadona
Desodorante  original  antitranspirante,Dove,roll-on,50 ml,"2,15 €",Mercadona
Desodorante  Zero%,Sanex,roll-on,50 ml,"2,10 €",Mercadona
Desodorante  Artic  antimanchas,Deliplus,stick,75 ml,"1,90 €",Mercadona
Desodorante  Dermo protector,Sanex,stick,65 ml,"3,40 €",Mercadona
Desodorante aloe  antitranspirante,Deliplus,Spray,200 ml,"1,70 €",Mercadona
Desodorante aqua  antimanchas,Deliplus,Spray,200 ml,"1,70 €",Mercadona
Desodorante power  antimanchas,Deliplus,Spray,200 ml,"1,70 €",Mercadona
Desodorante invisible black + white  antimanchas,Rexona,Spray,200 ml,"2,70 €",Mercadona
Desodorante invisible ice fresh  Men antitranspirante y antimanchas,Rexona,Spray,200 ml,"2,70 €",Mercadona
Desodorante original  antitranspirante,Dove,Spray,200 ml,"3,95 €",Mercadona
Desodorante invisible Black & White Nivea,  Nivea,Spray,200 ml,"2,75 €",Mercadona
Desodorante invisible antimanchas  antitranspirante,Deliplus,Spray,200 ml,"1,70 €",Mercadona
Desodorante seda suave  antitranspirante,Deliplus,Spray,200 ml,"1,70 €",Mercadona
Desodorante invisible Black & WhiteMen antitranspirante, Nivea ,Spray,200 ml,"2,75 €",Mercadona
Desodorante invisible men  antitranspirante y antimanchas,Deliplus,Spray,200 ml,"1,70 €",Mercadona
Desodorante perfume afrutado  antitranspirante,Deliplus,Spray,200 ml,"1,70 €",Mercadona
Desodorante Gold Temptation  Essentiel,Axe,Spray,150 ml,"2,30 €",Mercadona
Desodorante Dark Temptation,Axe,Spray,150 ml,"3,15 €",Mercadona
Desodorante cobalt dry  Men antitranspirante,Rexona,Spray,200 ml,"2,70 €",Mercadona
Desodorante dermo extra control  antitranspirante,Sanex,Spray,200 ml,"3,00 €",Mercadona
Desodorante avena delicado  antitranspirante,Deliplus,Spray,200 ml,"1,70 €",Mercadona
Desodorante  anti irritaciones,Lactovit,Spray,200 ml,"2,75 €",Mercadona
Desodorante original,Heno de Pravia,Spray,250 ml,"3,25 €",Mercadona
Desodorante aloe  antitranspirante,Deliplus,Spray,75 ml,"1,50 €",Mercadona
Desodorante pure perfumado 9.60,Deliplus,Spray,150 ml,"2,20 €",Mercadona
Desodorante perfumado 9.60,Deliplus,Spray,150 ml,"2,20 €",Mercadona
Desodorante Zero%,Sanex,Spray,200 ml,"3,00 €",Mercadona
Desodorante limite  antimanchas,Deliplus,Spray,200 ml,"1,70 €",Mercadona
Desodorante para pies en polvo  antitranspirante,Deliplus,Bote,75 g,"2,00 €",Mercadona
Desodorante para pies fresh & dry  antitranspirante,Deliplus,Spray,150 ml,"2,00 €",Mercadona
Toallitas desodorantes con aloe vera,Deliplus,Paquete,20 ud.,"1,50 €",Mercadona
