producto,marca,formato,cantidad,precio,supermercado
Plátano de Canarias IGP,Hacendado,Pieza,154 g aprox.,"0,42 €",Mercadona
Banana,Hacendado,Pieza,184 g aprox.,"0,27 €",Mercadona
Plátano macho,Hacendado,Pieza,300 g aprox.,"0,87 €",Mercadona
Uva blanca sin semillas,Hacendado,Bandeja,500 g aprox.,"2,50 €",Mercadona
Uva roja sin semillas,Hacendado,Bandeja,500 g aprox.,"2,45 €",Mercadona
Manzana Golden,Hacendado,Pieza,190 g aprox.,"0,40 €",Mercadona
Manzanas Golden,Hacendado,Bolsa,"1,5 kg aprox.","2,84 €",Mercadona
Pera Conferencia,Hacendado,Pieza,166 g aprox.,"0,41 €",Mercadona
Peras Conferencia,Hacendado,bandeja,"1,5 kg aprox.","2,69 €",Mercadona
Manzana roja dulce,Hacendado,Pieza,200 g aprox.,"0,55 €",Mercadona
Manzanas rojas dulces,Hacendado,Bolsa,"1,5 kg aprox.","3,59 €",Mercadona
Pera Ercolina,Hacendado,Pieza,95 g aprox.,"0,31 €",Mercadona
Manzana Granny Smith,Hacendado,Pieza,211 g aprox.,"0,46 €",Mercadona
Pera Rocha,Hacendado,Pieza,159 g aprox.,"0,38 €",Mercadona
Manzana roja acidulce,Hacendado,Pieza,220 g aprox.,"0,61 €",Mercadona
Manzanas rojas acidulces,Hacendado,Bolsa,"1,5 kg aprox.","3,59 €",Mercadona
1/4 Sandía baja en semillas,Hacendado,bandeja,"1/4 Pieza 1,53 kg aprox.","2,74 €",Mercadona
Media sandía baja en semillas,Hacendado,bandeja,"1/2 Pieza 3,03 kg aprox.","5,41 €",Mercadona
Sandía baja en semillas,Hacendado,Pieza,"5,97 kg aprox.","9,49 €",Mercadona
Limones,Hacendado,Malla,1 kg,"1,79 €",Mercadona
Limón,Hacendado,Pieza,170 g aprox.,"0,34 €",Mercadona
Mandarina,Hacendado,Pieza,117 g aprox.,"0,23 €",Mercadona
Mandarinas,Hacendado,bandeja,"1,5 kg","3,59 €",Mercadona
Mandarina,Hacendado,Malla,2 kg,"3,58 €",Mercadona
Naranja para mesa,Hacendado,Pieza,285 g aprox.,"0,54 €",Mercadona
Naranjas,Hacendado,Malla,3 kg,"4,47 €",Mercadona
Naranjas,Hacendado,Malla,5 kg,"5,95 €",Mercadona
Pomelo,Hacendado,Pieza,366 g aprox.,"0,73 €",Mercadona
Lima,Hacendado,Pieza,100 g aprox.,"0,40 €",Mercadona
Kiwi verde,Hacendado,Pieza,109 g aprox.,"0,32 €",Mercadona
Kiwis verdes,Hacendado,Bandeja,1 kg aprox.,"2,88 €",Mercadona
Aguacate,Hacendado,Pieza,254 g aprox.,"1,27 €",Mercadona
Aguacates,Hacendado,bandeja,550 g aprox.,"2,58 €",Mercadona
Piña,Hacendado,Pieza,"1,97 kg aprox.","3,77 €",Mercadona
Media piña,Hacendado,bandeja,1/2 Pieza 954 g aprox.,"2,01 €",Mercadona
Guacamole,Hacendado,Tarrina,500 g,"3,79 €",Mercadona
Guacamole,Hacendado,Tarrina,200 g,"1,75 €",Mercadona
Mango,Hacendado,Pieza,497 g aprox.,"1,68 €",Mercadona
Piña natural a rodajas,Hacendado,Bote,500 g aprox.,"2,90 €",Mercadona
Papaya,Hacendado,Pieza,700 g aprox.,"3,84 €",Mercadona
Fresón,Hacendado,Bandeja,500 g aprox.,"2,20 €",Mercadona
Fresón,Hacendado,Bandeja,1 kg aprox.,"3,29 €",Mercadona
Ciruela roja,Hacendado,Pieza,136 g aprox.,"0,50 €",Mercadona
Frambuesa,Hacendado,Bandeja,170 g aprox.,"2,50 €",Mercadona
Níspero,Hacendado,Bandeja,500 g aprox.,"2,50 €",Mercadona
Moras,Hacendado,Bandeja,125 g,"1,99 €",Mercadona
Arándanos,Hacendado,Vaso,225 g,"2,79 €",Mercadona
Arándanos,Hacendado,Tarrina,500 g,"4,99 €",Mercadona
