producto,marca,formato,cantidad,precio,supermercado
"Bocaditos en salsa gato adulto  con pollo, pavo y verduras",Delikuit,Bote,400 g,"0,70 €",Mercadona
"Bocaditos en salsa gato adulto  con salmón, trucha y verduras",Delikuit,Bote,400 g,"0,70 €",Mercadona
Paté gato júnior  con pollo y pavo,Delikuit,Tarrina,100 g,"0,50 €",Mercadona
Paté gato adulto  con trucha y salmón,Delikuit,Tarrina,100 g,"0,50 €",Mercadona
Paté gato adulto  con pollo y pavo,Delikuit,Tarrina,100 g,"0,50 €",Mercadona
Paté gato adulto  con ternera e hígado,Delikuit,Tarrina,100 g,"0,50 €",Mercadona
Paté gato adulto  con pollo y pavo,Delikuit,Bote,400 g,"1,20 €",Mercadona
Mousse con lenguado y salmón gato adulto,Delikuit,Tarrina,4 tarrinas x 85 g,"2,00 €",Mercadona
Mousse con ternera y pollo gato adulto,Delikuit,Tarrina,4 tarrinas x 85 g,"2,00 €",Mercadona
Bocaditos en gelatina gato júnior  con pollo y pavo,Delikuit,Paquete,8 ud. (800 g),"2,50 €",Mercadona
Bocaditos en gelatina gato adulto,Delikuit,Paquete,8 ud. x 100 g,"2,40 €",Mercadona
Bocaditos en gelatina gato adulto,Delikuit,Paquete,8 ud. x 100 g,"2,40 €",Mercadona
Gelatina gato adulto selección de aves,Quartett,Paquete,4 ud. (340 g),"1,80 €",Mercadona
Gelatina gato adulto selección de pescado,Quartett,Paquete,4 ud. (340 g),"1,80 €",Mercadona
Bocaditos en salsa gato adulto  esterilizado,Delikuit,Paquete,8 ud. x 100 g,"2,75 €",Mercadona
"Comida gato júnior  con pollo, frutas y verduras",Compy,Paquete,"1,5 kg","3,30 €",Mercadona
"Comida gato adulto  con pollo, ternera, frutas y verduras",Compy,Paquete,10 kg,"12,95 €",Mercadona
"Comida gato adulto  con pollo, ternera, frutas y verduras",Compy,Paquete,2 kg,"3,05 €",Mercadona
"Comida gato adulto  con salmón, atún, frutas y verduras",Compy,Paquete,10 kg,"12,95 €",Mercadona
"Comida gato adulto  con salmón, atún, frutas y verduras",Compy,Paquete,2 kg,"3,05 €",Mercadona
"Comida gato esterilizado light  con pollo, frutas y verduras",Compy,Paquete,"1,5 kg","3,55 €",Mercadona
"Comida gato júnior Supreme  con pollo, frutas y verduras",Compy,Paquete,800 g,"3,30 €",Mercadona
"Comida gato adulto Supreme  con pollo, frutas y verduras",Compy,Paquete,"1,5 kg","5,30 €",Mercadona
"Comida gato esterilizado light Supreme  con pollo fresco, frutas y verduras",Compy,Paquete,"1,5 kg","5,30 €",Mercadona
"Comida gato adulto Supreme  con salmón, frutas y verduras",Compy,Paquete,"1,5 kg","5,30 €",Mercadona
"Comida gato sénior Supreme  con pollo fresco, frutas y verduras",Compy,Paquete,"1,5 kg","5,30 €",Mercadona
Arena para gato antibacterias,Nuske,Paquete,5 kg,"1,40 €",Mercadona
Arena para gato antibacterias  perfumada,Nuske,Paquete,5 kg,"1,70 €",Mercadona
Arena para gato aglomerante  perfumada,Nuske,Caja,5 kg,"3,75 €",Mercadona
Arena para gato de perlas sílice,Single,Paquete,4 L,"3,55 €",Mercadona
Hierba para gatos,Natura,Caja,120 g,"3,50 €",Mercadona
Malta para gato  con queso,Natura,Tubo,100 g,"4,00 €",Mercadona
Agua de colonia para perros y gatos,Krislin,Spray,250 ml,"3,40 €",Mercadona
Snacks gato rellenos con salmón y malta,Compy,Paquete,70 g,"1,10 €",Mercadona
Snack gato aperitivo líquido,Compy,Caja,8 ud. (120 g),"1,60 €",Mercadona
Snacks gato rellenos con pollo y malta,Compy,Paquete,70 g,"1,10 €",Mercadona
Snack gato barritas  de pollo e hígado,Compy,Paquete,10 ud. x 5 g,"1,05 €",Mercadona
Snack gato barritas  de salmón y trucha,Compy,Paquete,10 ud. x 5 g,"1,05 €",Mercadona
