producto,marca,formato,cantidad,precio,supermercado
Gel de baño frutal  piel normal,Deliplus,Botella,1 L,"1,05 €",Mercadona
Gel de baño oliva  piel seca,Deliplus,Botella,750 ml,"1,40 €",Mercadona
Gel de baño frescor azul  piel normal,Deliplus,Botella,750 ml,"0,75 €",Mercadona
Gel de baño hidratante l Honey,Natura,Botella,900 ml,"2,70 €",Mercadona
Gel-Champú de baño dermoprotector  para cuerpo y cabello,Deliplus,Botella,250 ml,"1,00 €",Mercadona
Gel de baño tiernos recuerdos  piel normal,Deliplus,Botella,750 ml,"1,40 €",Mercadona
Gel de baño avena  piel sensible,Deliplus,Botella,750 ml,"1,40 €",Mercadona
Gel de baño  0% sulfato,Dove,Botella,720 ml,"3,95 €",Mercadona
Envase rellenable  tamaño viaje,Deliplus,Botella,100 ml,"0,90 €",Mercadona
Gel de baño con sales minerales,La Toja,Botella,550 ml,"2,70 €",Mercadona
Gel de baño classic original,Magno,Botella,550 ml,"3,40 €",Mercadona
Gel de baño argán  piel muy seca,Deliplus,Botella,500 ml,"1,40 €",Mercadona
Gel de baño nutritivo,Lactovit,Botella,750 ml,"2,95 €",Mercadona
Gel de baño Hidratante y protector  para todo tipo de piel,Sanex,Botella,850 ml,"3,90 €",Mercadona
Gel de baño 10% urea  piel áspera y deshidratada,Deliplus,Botella,500 ml,"2,00 €",Mercadona
Gel aceite de baño,Deliplus,Botella,500 ml,"3,50 €",Mercadona
Gel de baño exfoliante Té Chai  piel normal,Deliplus,Botella,500 ml,"2,50 €",Mercadona
Gel de baño lavanda y eucalipto  piel normal,Deliplus,Botella,750 ml,"1,50 €",Mercadona
Gel de baño marino y cedro  piel normal,Deliplus,Botella,750 ml,"1,50 €",Mercadona
Gel de baño bergamota y yuzu  piel normal,Deliplus,Botella,750 ml,"1,50 €",Mercadona
Gel de baño vainilla y miel  piel normal,Deliplus,Botella,750 ml,"1,50 €",Mercadona
Gel de baño coco y lichi  piel normal,Deliplus,Botella,750 ml aprox.,"1,50 €",Mercadona
Gel de baño ambar y vetiver  piel normal,Deliplus,Botella,750 ml,"1,50 €",Mercadona
Jabón de manos en pastilla Beauty Cream Bar,Dove,Paquete,4 ud. (360 g),"3,00 €",Mercadona
Jabón de manos en pastilla natural original,Heno de Pravia,Paquete,2 ud (230 g),"2,35 €",Mercadona
Jabón de manos en pastilla glicerina 100% natural,Deliplus,Pastilla,125 g,"1,00 €",Mercadona
Jabón de manos dermoprotector,Deliplus,Bote,500 ml,"0,90 €",Mercadona
Jabón de manos avena  líquido,Deliplus,Bote,500 ml,"1,40 €",Mercadona
Jabón de manos kids  líquido,Deliplus,Bote,500 ml,"1,40 €",Mercadona
Jabón de manos tiernos recuerdos,Deliplus,Bote,500 ml,"1,40 €",Mercadona
Jabón de manos natural de glicerina,Deliplus,Bote,500 ml,"1,50 €",Mercadona
Jabón de manos sandalwood & coconut,Deliplus,Bote,300 ml,"2,20 €",Mercadona
Gel de manos hidroalcohólico 80% alcohol  antiséptico sin aclarado,Deliplus,Bote,75 ml,"1,20 €",Mercadona
Gel hidroalcohólico 80% alcohol  antiséptico sin aclarado,Deliplus,Bote,500 ml,"3,10 €",Mercadona
Recarga jabón de manos dermoprotector,Deliplus,Paquete,1 L,"1,50 €",Mercadona
Jabón de manos neutralizante de olores,Deliplus,Bote,500 ml,"1,80 €",Mercadona
Esponjas de baño con jabón,Deliplus,Paquete,10 ud.,"1,20 €",Mercadona
Esponja de baño flor  exfoliación suave,Deliplus,Paquete,1 ud.,"0,85 €",Mercadona
Esponja de baño doble acción suave masaje,Deliplus,Paquete,2 ud.,"1,30 €",Mercadona
Esponja de baño suave,Deliplus,Paquete,2 ud.,"1,30 €",Mercadona
Esponja de baño exfoliación intensa,Deliplus,Paquete,1 ud.,"1,20 €",Mercadona
Esponja de baño vegetal fibras naturales,Deliplus,Paquete,1 ud.,"1,40 €",Mercadona
Esponja de baño rizo suave,Deliplus,Paquete,2 ud.,"1,30 €",Mercadona
Esponja de baño dermo agua,Deliplus,Paquete,1 ud.,"1,50 €",Mercadona
Guante de Crin exfoliante,Deliplus,Paquete,1 ud.,"2,15 €",Mercadona
Esponja de baño infantil,Disney,Paquete,1 ud.,"1,60 €",Mercadona
Cepillo de baño,Deliplus,Paquete,1 ud.,"4,00 €",Mercadona
Toalla turbante seca pelo microfibra,Deliplus,Paquete,1 ud.,"2,70 €",Mercadona
