producto,marca,formato,cantidad,precio,supermercado
Hielo en cubitos,Marca no encontrada,Bolsa,2 Kg,"0,99 €",Dia
Helado de chocolate con cacahuetes conguitos  de Dia,Temptation,Tarrina,350 g,"3,49 €",Dia
Helado bombón chocolate blanco con palomitas,Temptation,Estuche,3 unidades  de Dia  195 g,"2,39 €",Dia
Helado bombón mini surtido,Temptation,Estuche,8 unidades  de Dia  288 g,"2,39 €",Dia
"Helado de cacahuate, caramelo y brownie",Vegedia,Tarrina,350 g,"3,19 €",Dia
Helado cono de nata y chocolate,Temptation,Caja,4 unidades  de Dia  272 g,"1,79 €",Dia
Helado sándwich de nata,Temptation,Caja,6 unidades  de Dia  300 g,"1,99 €",Dia
Helado vampiro,Temptation,Estuche,6 unidades  de Dia  210 g,"1,99 €",Dia
Helado bombón almendrado  de Dia,Temptation,Caja,360 g,"2,09 €",Dia
Helado cono de fresa o limón,Temptation,Caja,4 unidades  de Dia  272 g,"1,79 €",Dia
Tarta laminada nata y chocolate,Temptation,Caja,525 g,"2,29 €",Dia
Helado bombón crocante,Temptation,Estuche,6 unidades  de Dia  378 g,"2,49 €",Dia
Helado sabor dulce de leche  de Dia,Temptation,Tarrina,525 g,"2,89 €",Dia
Helado cono de nata,Temptation,Caja,4 unidades  de Dia  272 g,"1,79 €",Dia
Helado cookie dough  de Dia,Temptation,Tarrina,350 g,"2,99 €",Dia
Helado de yogur sabor fresa y frambuesa,Temptation,Caja,6 unidades  de Dia  258 g,"2,49 €",Dia
Helado sándwich cookie con vainilla,Temptation,Caja,4 unidades  de Dia  220 g,"2,49 €",Dia
Helado sabor stracciatella  de Dia,Temptation,Tarrina,525 g,"2,89 €",Dia
Helado cono de nata y fresa,Temptation,Estuche,4 unidades  de Dia  272 g,"1,79 €",Dia
Helado choco milky,Temptation,Caja,6 unidades  de Dia  288 g,"1,99 €",Dia
Helado cono de nata y caramelo,Temptation,Caja,4 unidades  de Dia  272 g,"1,79 €",Dia
Helado smoothie de frutas,Temptation,Estuche,6 unidades  de Dia  312 g,"2,39 €",Dia
Helado de chocolate con trozos  de Dia,Temptation,Tarrina,500 g,"2,89 €",Dia
Helado mini bombón almendras,Magnum,Caja,6 unidades   276 g,"4,99 €",Dia
Helado mini bombón mix,Magnum,Caja,6 + 2 uds 356 g,"4,99 €",Dia
Helado bombón almendras,Magnum,Caja,3 + 1 unidades   300 g,"3,99 €",Dia
Helado de nata con gotas de chocolate,Nestlé,Caja,4 unidades  Maxibon  384 g,"5,99 €",Dia
Helado mini de nata con gotas de chocolate,Nestlé,Caja,6 unidades  Maxibon  306 g,"5,99 €",Dia
Tarta helada sabor whisky  de Dia,Temptation,Caja,525 g,"2,69 €",Dia
Helado bombón de caramelo salado,Haagen Dazs,Caja,8 unidades  Bites  96 g,"6,49 €",Dia
Helado bombón triple experience con frambuesa  Rafaello,Ferrero,Caja,138 g,"4,59 €",Dia
Helado mini bombón de limón y sorbete de frambuesa,Magnum,Caja,6 unidades  Euphoria  258 g,"5,49 €",Dia
Helado mini cono mix,Cornetto,Caja,10 unidades   190 g,"4,99 €",Dia
Helado bombón pistacho,Magnum,Caja,3 unidades   231 g,"4,69 €",Dia
Helado bombón after dinner classic,Magnum,Caja,8 unidades   232 g,"4,99 €",Dia
Helado bombón cásico,Magnum,Caja,3 unidades   237 g,"2,99 €",Dia
Helado bombón after dinner frac,Magnum,Caja,8 unidades   232 g,"4,99 €",Dia
Helado bombón de limón con sorbete de frambuesa,Magnum,Caja,3 unidades  Euphoria  210 g,"4,69 €",Dia
