producto,marca,formato,cantidad,precio,supermercado
Dentífrico Triple Acción  menta intensa,Colgate,Tubo,100 ml,"1,95 €",Mercadona
Dentífrico Pro-Expert  sabor menta fresca,Oral-B,Tubo,85 ml,"3,20 €",Mercadona
Dentífrico Total original,Colgate,Tubo,75 ml,"2,45 €",Mercadona
Dentífrico Blanqueador Bicarbonato,Signal,Tubo,100 ml,"1,75 €",Mercadona
Dentífrico Protección Caries,Colgate,Tubo,100 ml,"1,95 €",Mercadona
Dentífrico Bicarbonato blanqueador,Deliplus,Tubo,100 ml,"1,10 €",Mercadona
Dentífrico Repair & Protect,Sensodyne,Tubo,75 ml,"4,70 €",Mercadona
Dentífrico Blanqueante,Sensodyne,Tubo,75 ml,"3,95 €",Mercadona
Dentífrico Max White One,Colgate,Tubo,75 ml,"3,00 €",Mercadona
Dentífrico Max Fresh  sabor menta fresca,Colgate,Tubo,100 ml,"2,20 €",Mercadona
Dentífrico Fresh Gel  menta extra refrescante,Deliplus,Tubo,100 ml,"1,10 €",Mercadona
Dentífrico Herbal,Deliplus,Tubo,100 ml,"1,10 €",Mercadona
Dentífrico Cuidado Encías,Deliplus,Tubo,100 ml,"1,50 €",Mercadona
Dentífrico Dental Pearl  blanqueador,Deliplus,Tubo,100 ml,"1,95 €",Mercadona
Dentífrico 3 action,Deliplus,Tubo,100 ml,"1,10 €",Mercadona
Dentífrico gel White Effect Blanqueador 2 en 1,Deliplus,Bote,100 ml,"1,05 €",Mercadona
Dentífrico gel Clorofila Fresh 2 en 1,Deliplus,Bote,100 ml,"1,05 €",Mercadona
Dentífrico Anticaries,Deliplus,Tubo,100 ml,"1,05 €",Mercadona
Dentífrico infantil + 2 años,Deliplus,Tubo,75 ml,"1,00 €",Mercadona
Dentífrico Sensitive  con hidroxiapatita,Deliplus,Tubo,100 ml,"1,50 €",Mercadona
Dentífrico Clorhexidina gingival,Deliplus,Tubo,100 ml,"1,95 €",Mercadona
Dentífrico infantil +6 años  menta suave,Deliplus,Tubo,75 ml,"1,00 €",Mercadona
Dentífrico infantil +6 años  sabor gominola,Deliplus,Tubo,75 ml,"1,00 €",Mercadona
Dentífrico reparación activa de encías  menta fresca,Parodontax,Tubo,75 ml,"4,95 €",Mercadona
Kit de viaje higiene dental  Anticaries,Deliplus,,1 ud.,"2,20 €",Mercadona
Cepillo dental Medio,Deliplus,Paquete,3 ud.,"1,00 €",Mercadona
Cepillo dental Suave,Deliplus,Paquete,3 ud.,"1,00 €",Mercadona
Cepillo dental Duro,Deliplus,Paquete,3 ud.,"1,00 €",Mercadona
Cepillo dental Medio,Oral-B,Paquete,1 ud.,"2,45 €",Mercadona
Cepillo dental Sensitive  encías y dientes sensibles,Deliplus,Paquete,1 ud.,"1,30 €",Mercadona
Cepillo dental Infantil Mickey,Deliplus,Paquete,1 ud.,"0,90 €",Mercadona
Cepillo dental Medio Ultra avanzado,Deliplus,Paquete,1 ud.,"1,70 €",Mercadona
Recambios cepillo dental Eléctrico,Marca no encontrada,Paquete,2 ud.,"3,85 €",Mercadona
Cepillo dental Especial Ortodoncia,Deliplus,Paquete,1 ud.,"1,80 €",Mercadona
Recambios cepillo dental eléctrico  Pro Precision Clean,Oral-B,Paquete,2 ud.,"9,45 €",Mercadona
Cepillo dental Eléctrico, Sonic,Paquete,1 ud.,"4,60 €",Mercadona
Recambios cepillo dental Eléctrico, Sonic,Paquete,2 ud.,"3,85 €",Mercadona
Cepillo dental Eléctrico  Vitality,Oral-B,Caja,1 ud.,"20,00 €",Mercadona
Kit de viaje higiene dental  Anticaries,Deliplus,,1 ud.,"2,20 €",Mercadona
Enjuague bucal Total Action,Deliplus,Botella,500 ml,"1,35 €",Mercadona
Enjuague bucal Fresh 0% alcohol,Deliplus,Botella,500 ml,"1,35 €",Mercadona
Cepillos interdentales Extrafinos cónicos,Deliplus,Paquete,6 ud.,"1,50 €",Mercadona
Enjuague bucal Explosion Action,Deliplus,Botella,500 ml,"1,50 €",Mercadona
Enjuague bucal Blanqueador Bicarbonato  zero alcohol,Deliplus,Botella,500 ml,"1,50 €",Mercadona
Crema adhesiva para prótesis dentales  sin sabor,Benfix,Tubo,50 g,"3,50 €",Mercadona
Spray bucal refrescante,Deliplus,Paquete,10 ml,"2,00 €",Mercadona
Cepillos interdentales Finos cónicos,Deliplus,Paquete,6 ud.,"1,50 €",Mercadona
Enjuague bucal protección dientes y encías  menta,Listerine,Botella,500 ml,"4,75 €",Mercadona
Hilo dental con cera y sabor menta,Marca no encontrada,Paquete,2 ud.,"1,80 €",Mercadona
Enjuague bucal cuidado total  menta,Listerine,Botella,500 ml,"4,75 €",Mercadona
Enjuague bucal Clorhexidina gingival  zero alcohol,Deliplus,Botella,500 ml,"2,00 €",Mercadona
Enjuague bucal Cuidado Encías  zero alcohol,Deliplus,Botella,500 ml,"2,00 €",Mercadona
Enjuague bucal Kids  zero alcohol,Deliplus,Botella,500 ml,"1,50 €",Mercadona
Cinta dental con cera y sabor menta,Marca no encontrada,Paquete,2 ud.,"2,50 €",Mercadona
Crema fijadora prótesis dentales  fijación fuerte,Polident,Tubo,44 g,"5,45 €",Mercadona
Enjuague bucal Sensitive  zero alcohol,Deliplus,Botella,500 ml,"2,00 €",Mercadona
Tabletas limpiadoras prótesis dentales  y ortodoncias,Benfix,Caja,32 ud.,"2,45 €",Mercadona
Arcos dentales para higiene interdental,Deliplus,Caja,60 ud.,"1,80 €",Mercadona
Cepillos interdentales Micro,Deliplus,Paquete,6 ud.,"1,50 €",Mercadona
