producto,marca,formato,cantidad,precio,supermercado
Compresa sin alas normal  Classic,Deliplus,Paquete,26 ud.,"1,13 €",Mercadona
Compresa con alas noche plegada  Classic,Deliplus,Paquete,10 ud.,"1,32 €",Mercadona
Compresa sin alas de incontinencia  Maxi,Deliplus,Paquete,12 ud.,"3,15 €",Mercadona
Compresa con alas normal  Suave,Deliplus,Paquete,32 ud.,"2,15 €",Mercadona
Compresa con alas noche  Suave,Deliplus,Paquete,10 ud.,"1,15 €",Mercadona
Compresa sin alas de incontinencia  Extra,Deliplus,Paquete,20 ud.,"3,35 €",Mercadona
Compresa sin alas normal plegada  Classic,Deliplus,Paquete,20 ud.,"1,18 €",Mercadona
Compresa con alas super  Suave,Deliplus,Paquete,28 ud.,"2,15 €",Mercadona
Compresa sin alas super plegada  Classic,Deliplus,Paquete,16 ud.,"1,32 €",Mercadona
Compresa con alas normal cotton like fresh,Evax ,Paquete,32 ud.,"4,50 €",Mercadona
Compresa con alas normal  Dry,Deliplus,Paquete,32 ud.,"2,15 €",Mercadona
Compresa con alas super  Dry,Deliplus,Paquete,28 ud.,"2,15 €",Mercadona
Compresa sin alas de incontinencia  Normal,Deliplus,Paquete,24 ud.,"3,35 €",Mercadona
Compresa con alas super cotton like fresh,Evax ,Paquete,24 ud.,"4,20 €",Mercadona
Compresa con alas noche,Ausonia,Paquete,16 ud.,"2,95 €",Mercadona
Compresa sin alas normal  Suave,Deliplus,Paquete,32 ud.,"2,15 €",Mercadona
Compresa con alas normal,Ausonia,Paquete,24 ud.,"2,95 €",Mercadona
Compresa con alas super,Ausonia,Paquete,20 ud.,"2,95 €",Mercadona
Compresa sin alas super  Suave,Deliplus,Paquete,28 ud.,"2,15 €",Mercadona
Compresa sin alas de incontinencia  Mini,Deliplus,Paquete,30 ud.,"3,35 €",Mercadona
Compresa sin alas extraplana noche,Deliplus,Paquete,10 ud.,"1,70 €",Mercadona
Compresa con alas normal  Suave,Deliplus,Paquete,10 ud.,"1,00 €",Mercadona
Compresa con alas normal  Cotton,Deliplus,Paquete,32 ud.,"3,07 €",Mercadona
Compresa con alas super  Cotton,Deliplus,Paquete,28 ud.,"3,07 €",Mercadona
Copa menstrual íntima talla M,Deliplus,Caja,1 ud.,"8,51 €",Mercadona
Copa menstrual íntima talla L,Deliplus,Caja,1 ud.,"8,51 €",Mercadona
Compresa sin alas de incontinencia  Maxi Night,Deliplus,Paquete,10 ud.,"3,15 €",Mercadona
Compresa sin alas normal cotton like,Evax ,Paquete,20 ud.,"2,85 €",Mercadona
Protegeslip normal  Suave,Deliplus,Caja,72 ud.,"1,85 €",Mercadona
Protegeslip y compresa 2 en 1  Suave,Deliplus,Caja,24 ud.,"1,65 €",Mercadona
Protegeslip maxi  Suave,Deliplus,Caja,60 ud.,"2,25 €",Mercadona
Protegeslip normal Evax,Marca no encontrada,Caja,70 ud.,"3,50 €",Mercadona
Protegeslip normal plegado  Suave,Deliplus,Caja,28 ud.,"1,10 €",Mercadona
