producto,marca,formato,cantidad,precio,supermercado
Vaselina hidratante,Deliplus,Tarro,100 g,"2,00 €",Mercadona
Vaselina perfumada para labios  frambuesa,Deliplus,Tarro,15 g,"1,60 €",Mercadona
Bálsamo reparador labios,Deliplus,bote,15 ml,"2,60 €",Mercadona
Contorno de labios Regen Skin,Deliplus,Tarro,15 ml,"4,50 €",Mercadona
Perfilador de labios Long Lasting  01 rosa nude,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de labios Long Lasting  06 fucsia,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de labios Long Lasting  07 rojo,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de labios Long Lasting  08 granate,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de labios Long Lasting  09 transparente,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de labios Long Lasting  10 canela,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de labios Long Lasting  11 nude,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de labios  02 marsala,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de labios  05 fresa,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de labios  06 Canela,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de labios  08 rojo,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de labios  07 cereza,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Pintalabios Color Fix  01,Deliplus,bote,1 ud.,"4,50 €",Mercadona
Pintalabios Color Fix  02,Deliplus,bote,1 ud.,"4,50 €",Mercadona
Pintalabios Color Fix  03,Deliplus,bote,1 ud.,"4,50 €",Mercadona
Pintalabios Color Fix  04,Deliplus,bote,1 ud.,"4,50 €",Mercadona
Pintalabios Color Fix  05,Deliplus,bote,1 ud.,"4,50 €",Mercadona
Pintalabios Color Fix  06,Deliplus,bote,1 ud.,"4,50 €",Mercadona
Pintalabios Color Fix  07 frambuesa,Deliplus,bote,1 ud.,"4,50 €",Mercadona
Pintalabios Color Fix  10 nude,Deliplus,bote,1 ud.,"4,50 €",Mercadona
Pintalabios Color Fix  11 marrón,Deliplus,bote,1 ud.,"4,50 €",Mercadona
Pintalabios Creamy  201 nude,Deliplus,bote,1 ud.,"4,65 €",Mercadona
Pintalabios Creamy  202 rosa cálido,Deliplus,bote,1 ud.,"4,65 €",Mercadona
Pintalabios Creamy  204 rosa pétalo,Deliplus,bote,1 ud.,"4,65 €",Mercadona
Pintalabios Creamy  205 rosa fucsia,Deliplus,bote,1 ud.,"4,65 €",Mercadona
Pintalabios Creamy  207 ciruela,Deliplus,bote,1 ud.,"4,65 €",Mercadona
Pintalabios Creamy  210 rojo,Deliplus,bote,1 ud.,"4,65 €",Mercadona
Pintalabios Creamy  212 marrón crema,Deliplus,bote,1 ud.,"4,65 €",Mercadona
Pintalabios Creamy  213 marsala,Deliplus,bote,1 ud.,"4,65 €",Mercadona
Bálsamo labial Color Balm  05 rojo,Deliplus,bote,1 ud.,"4,50 €",Mercadona
Bálsamo labial Color Balm  06 morado,Deliplus,bote,1 ud.,"4,50 €",Mercadona
Bálsamo labial Color Balm  07 nude pink,Deliplus,bote,1 ud.,"4,50 €",Mercadona
Bálsamo labial Color Balm  08 nude beige,Deliplus,bote,1 ud.,"4,50 €",Mercadona
Bálsamo labial Color Balm  09 rosa medio perlado,Deliplus,bote,1 ud.,"4,50 €",Mercadona
Brillo de labios Volumizer gloss  01 transparente,Deliplus,bote,1 ud.,"4,50 €",Mercadona
Brillo de labios Volumizer gloss  02 nude,Deliplus,bote,1 ud.,"4,50 €",Mercadona
Brillo de labios Volumizer gloss  03 pink nude,Deliplus,bote,1 ud.,"4,50 €",Mercadona
Brillo de labios Volumizer gloss  04 coral,Deliplus,bote,1 ud.,"3,00 €",Mercadona
Brillo de labios Volumizer gloss  05 rosa,Deliplus,bote,1 ud.,"4,50 €",Mercadona
Brillo de labios Volumizer gloss  06 morado,Deliplus,bote,1 ud.,"4,50 €",Mercadona
Brillo de labios Volumizer gloss  07 transparente con destellos,Deliplus,bote,1 ud.,"4,50 €",Mercadona
Brillo de labios hidratante Manga  01 perlado,Deliplus,bote,1 ud.,"5,00 €",Mercadona
Pintalabios mate  101 nude,Deliplus,bote,1 ud.,"4,65 €",Mercadona
