producto,marca,formato,cantidad,precio,supermercado
Lechuga Iceberg,Hacendado,Pieza,1 ud.,"0,99 €",Mercadona
Ensalada mezcla 4 estaciones,Hacendado,Paquete,250 g,"0,76 €",Mercadona
Lechugas corazón romana,Hacendado,Paquete,2 ud.,"1,63 €",Mercadona
Ensalada mezcla brotes tiernos,Hacendado,Paquete,100 g,"1,15 €",Mercadona
Canónigos,Hacendado,Paquete,125 g,"1,14 €",Mercadona
Lechuga iceberg,Hacendado,Paquete,250 g,"0,86 €",Mercadona
Ensalada mezcla gourmet,Hacendado,Paquete,175 g,"1,02 €",Mercadona
Cogollos de lechuga,Hacendado,Paquete,3 ud.,"1,12 €",Mercadona
Lechuga corazón romana,Hacendado,Paquete,1 ud.,"1,15 €",Mercadona
Endibias,Hacendado,Bandeja,500 g,"1,70 €",Mercadona
Ensalada mezcla brotes tiernos maxi,Hacendado,Paquete,175 g,"1,59 €",Mercadona
Ensalada mezcla gourmet maxi,Hacendado,Paquete,300 g,"1,70 €",Mercadona
Ensalada mezcla tierna,Hacendado,Paquete,150 g,"1,20 €",Mercadona
Rúcula,Hacendado,Paquete,50 g,"0,79 €",Mercadona
Cogollos corazón de lechuga,Hacendado,Paquete,6 ud.,"1,98 €",Mercadona
Ensalada mezcla primavera,Hacendado,Paquete,200 g,"0,96 €",Mercadona
Ensalada mezcla dúo canónigos y rúcula,Hacendado,Paquete,100 g,"1,38 €",Mercadona
Ensalada mezcla fresca,Hacendado,Paquete,200 g,"1,11 €",Mercadona
Lechuga hoja roble,Hacendado,Paquete,1 ud.,"1,40 €",Mercadona
Escarola rizada,Hacendado,Paquete,150 g,"1,20 €",Mercadona
Escarola rizada,Hacendado,Paquete,1 ud.,"1,74 €",Mercadona
Espinaca baby,Hacendado,Paquete,100 g,"1,11 €",Mercadona
Lechuga romana cortada,Hacendado,Paquete,200 g,"1,15 €",Mercadona
Ensalada César,Hacendado,Bol,210 g,"2,39 €",Mercadona
Ensalada California,Hacendado,Bol,192 g,"2,29 €",Mercadona
Wraps Texas,Hacendado,Bol,300 g,"2,99 €",Mercadona
Ensalada de la casa,Hacendado,Bol,400 g,"2,10 €",Mercadona
Ensalada mil islas,Hacendado,Bol,330 g,"2,55 €",Mercadona
Ensalada ensatún,Hacendado,Bol,250 g,"2,49 €",Mercadona
Ensalada jamón,Hacendado,Bol,215 g,"2,49 €",Mercadona
Ensalada de pasta,Hacendado,Bol,250 g,"2,49 €",Mercadona
Ensalada queso de cabra,Hacendado,Bol,135 g,"2,79 €",Mercadona
