producto,marca,formato,cantidad,precio,supermercado
Laca de uñas top coat efecto gel  662,Deliplus,bote,1 ud.,"3,15 €",Mercadona
Tratamiento para uñas base 9 en 1  vitaminada y alisadora,Deliplus,bote,1 ud.,"2,95 €",Mercadona
Tratamiento para uñas endurecedor,Deliplus,bote,1 ud.,"3,50 €",Mercadona
Tratamiento para uñas aceite vitamínico,Deliplus,bote,1 ud.,"3,50 €",Mercadona
Tratamiento para uñas gotas secantes,Deliplus,bote,1 ud.,"2,95 €",Mercadona
Tratamiento para uñas gel brillo top coat  secado rápido,Deliplus,bote,1 ud.,"2,95 €",Mercadona
Laca de uñas manicura francesa  01 blanco punta,Deliplus,bote,1 ud.,"2,75 €",Mercadona
Laca de uñas manicura francesa  03 rosa,Deliplus,bote,1 ud.,"2,75 €",Mercadona
Laca de uñas manicura francesa  06 blanco,Deliplus,bote,1 ud.,"2,75 €",Mercadona
Tratamiento para uñas y cutículas Sérum SOS,Deliplus,bote,1 ud.,"3,50 €",Mercadona
Tratamiento para uñas base brillo  67,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Laca de uñas efecto gel  160 nude,Deliplus,bote,1 ud.,"2,65 €",Mercadona
Laca de uñas efecto gel  242 azul tinta,Deliplus,bote,1 ud.,"2,65 €",Mercadona
Laca de uñas efecto gel  244 Malva,Deliplus,bote,1 ud.,"2,65 €",Mercadona
Laca de uñas efecto gel  245 Salmon,Deliplus,bote,1 ud.,"2,65 €",Mercadona
Laca de uñas efecto gel  660 granate,Deliplus,bote,1 ud.,"2,65 €",Mercadona
Laca de uñas efecto gel  661 rojo,Deliplus,bote,1 ud.,"2,65 €",Mercadona
Laca de uñas alto brillo  15 perla rosada,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Laca de uñas alto brillo  18 suave peonia,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Laca de uñas alto brillo  20 rosa magnético,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Laca de uñas alto brillo  22 granate sublime,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Laca de uñas alto brillo  31 negro místico,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Laca de uñas alto brillo  39 dulce fresa,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Laca de uñas alto brillo  61 fucsia,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Laca de uñas alto brillo  74 transparente destellos,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Laca de uñas alto brillo  76 rosa medio,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Laca de uñas alto brillo  77 teja,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Laca de uñas alto brillo  78 rojo,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Laca de uñas alto brillo  82 azul,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Laca de uñas alto brillo  83 verde,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Laca de uñas alto brillo  84 naranja,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Laca de uñas alto brillo  85 rosa perlado,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Laca de uñas alto brillo  86 rosa,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Laca de uñas alto brillo  87 coral,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Tratamiento para uñas Base Manga  190,Deliplus,bote,1 ud.,"2,00 €",Mercadona
