producto,marca,formato,cantidad,precio,supermercado
Café molido natural,Hacendado,Paquete,500 g,"3,65 €",Mercadona
Café molido natural,Hacendado,Paquete,250 g,"1,85 €",Mercadona
Café molido mezcla fuerte,Hacendado,Paquete,500 g,"3,40 €",Mercadona
Café molido mezcla fuerte,Hacendado,Paquete,250 g,"1,75 €",Mercadona
Café molido natural fuerte,Hacendado,Paquete,500 g,"3,25 €",Mercadona
Café molido natural fuerte,Hacendado,Paquete,250 g,"1,65 €",Mercadona
Café molido descafeinado natural,Hacendado,Paquete,500 g,"3,60 €",Mercadona
Café molido descafeinado natural,Hacendado,Paquete,250 g,"1,85 €",Mercadona
Café molido descafeinado mezcla,Hacendado,Paquete,500 g,"3,60 €",Mercadona
Café molido descafeinado mezcla,Hacendado,Paquete,250 g,"1,85 €",Mercadona
Café molido natural  Espresso,Hacendado,Paquete,250 g,"2,35 €",Mercadona
Café molido mezcla  Espresso,Hacendado,Paquete,250 g,"2,35 €",Mercadona
Café molido Colombia,Hacendado,Paquete,250 g,"3,20 €",Mercadona
Café molido descafeinado  Espresso,Hacendado,Paquete,250 g,"2,70 €",Mercadona
Café molido mezcla crème express, Marcilla,Caja,250 g,"4,00 €",Mercadona
Café molido mezcla gran aroma, Marcilla,Caja,250 g,"3,45 €",Mercadona
Café molido mezcla,Saimaza,Paquete,250 g,"2,95 €",Mercadona
Café en grano natural,Hacendado,Paquete,1 kg,"8,25 €",Mercadona
Café en grano mezcla fuerte,Hacendado,Paquete,1 kg,"8,10 €",Mercadona
Café en grano descafeinado natural,Hacendado,Paquete,1 kg,"8,40 €",Mercadona
Café en grano extra fuerte,Hacendado,Paquete,1 kg,"7,50 €",Mercadona
