producto,marca,formato,cantidad,precio,supermercado
Perfilador de ojos Waterproof  01 negro,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de ojos Waterproof  06 marrón,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de ojos  01 negro,Deliplus,bote,1 ud.,"2,15 €",Mercadona
Perfilador de ojos  02 marrón,Deliplus,bote,1 ud.,"2,15 €",Mercadona
Perfilador de ojos  03 verde,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de ojos  04 azul oscuro,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de ojos  06 Beige,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de ojos Eyeliner waterproof  negro,Deliplus,bote,1 ud.,"3,50 €",Mercadona
Delineador de ojos,Deliplus,bote,1 ud.,"3,75 €",Mercadona
Perfilador de ojos Eyeliner  02 negro,Deliplus,bote,1 ud.,"3,50 €",Mercadona
Delineador de ojos  negro,Deliplus,bote,1 ud.,"3,75 €",Mercadona
Kit pestañas postizas con eyeliner negro adhesivo y joyas faciales  Pro,Beautik,bote,1 ud.,"8,00 €",Mercadona
Perfilador de ojos Waterproof  07 verde turquesa,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de ojos Waterproof  09 azul metalizado,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de ojos Waterproof  12 verde oliva,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de ojos Waterproof  13 gris,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de ojos Waterproof  14 azul noche,Deliplus,bote,1 ud.,"2,50 €",Mercadona
Perfilador de ojos Waterproof  101 negro,Deliplus,bote,1 ud.,"3,25 €",Mercadona
Perfilador de ojos Waterproof  102 marrón,Deliplus,bote,1 ud.,"3,25 €",Mercadona
Perfilador de ojos Waterproof  103 verde,Deliplus,bote,1 ud.,"3,25 €",Mercadona
Perfilador de ojos Waterproof  104 azul,Deliplus,bote,1 ud.,"3,25 €",Mercadona
Perfilador de ojos Waterproof  azul,Deliplus,bote,1 ud.,"3,50 €",Mercadona
Máscara de cejas  marrón,Deliplus,bote,1 ud.,"4,00 €",Mercadona
Máscara de pestañas y cejas Transparente,Deliplus,bote,1 ud.,"3,00 €",Mercadona
Perfilador de cejas Long Lasting  01 claro,Deliplus,bote,1 ud.,"2,75 €",Mercadona
Perfilador de cejas  02 medio,Deliplus,bote,1 ud.,"2,75 €",Mercadona
Perfilador de cejas Long Lasting  03 oscuro,Deliplus,bote,1 ud.,"2,75 €",Mercadona
Perfilador de cejas micro  01 claro,Deliplus,bote,1 ud.,"3,50 €",Mercadona
Perfilador de cejas micro  02 oscuro,Deliplus,bote,1 ud.,"3,50 €",Mercadona
Máscara de pestañas Water Resistant  negro,Deliplus,bote,1 ud.,"4,00 €",Mercadona
Rizador de pestañas,Deliplus,Caja,1 ud.,"4,50 €",Mercadona
Máscara de pestañas Maxi Color  02 marrón,Deliplus,bote,1 ud.,"3,65 €",Mercadona
Máscara de pestañas y cejas Transparente,Deliplus,bote,1 ud.,"3,00 €",Mercadona
Máscara de pestañas Volume & Curve XL  negro,Deliplus,bote,1 ud.,"3,65 €",Mercadona
Máscara de pestañas Maxi Volume  negro,Deliplus,bote,1 ud.,"3,50 €",Mercadona
Máscara de pestañas 4D Volume  negro,Deliplus,bote,1 ud.,"3,65 €",Mercadona
Máscara de pestañas Long Xtrem  negro,Deliplus,bote,1 ud.,"3,65 €",Mercadona
Sérum de pestañas SOS cuida y refuerza,Deliplus,bote,1 ud.,"5,00 €",Mercadona
Máscara de pestañas Maxi Curve  negro,Deliplus,bote,1 ud.,"3,50 €",Mercadona
Máscara de pestañas Twist  negro,Deliplus,bote,1 ud.,"4,00 €",Mercadona
Máscara de pestañas Panoramic  negro,Deliplus,bote,1 ud.,"4,00 €",Mercadona
Máscara de pestañas Waterproof  negro,Deliplus,bote,1 ud.,"4,00 €",Mercadona
Máscara de pestañas Maxi Color  azul,Deliplus,bote,1 ud.,"4,00 €",Mercadona
Sombra de ojos Mate  01,Deliplus,bote,1 ud.,"3,50 €",Mercadona
Sombra de ojos Mate  06,Deliplus,bote,1 ud.,"3,50 €",Mercadona
Sombra de ojos Satin  07,Deliplus,bote,1 ud.,"3,50 €",Mercadona
Sombra de ojos Satin  08,Deliplus,bote,1 ud.,"3,50 €",Mercadona
Sombra de ojos Satin  09,Deliplus,bote,1 ud.,"3,50 €",Mercadona
Sombra de ojos Metal  19,Deliplus,bote,1 ud.,"3,50 €",Mercadona
Sombra de ojos Long Lasting  02,Deliplus,bote,1 ud.,"4,25 €",Mercadona
Sombra de ojos Long Lasting  04,Deliplus,bote,1 ud.,"4,25 €",Mercadona
Sombra de ojos Long Lasting  05,Deliplus,bote,1 ud.,"4,25 €",Mercadona
Sombra de ojos Long Lasting  08,Deliplus,bote,1 ud.,"4,25 €",Mercadona
Sombra de ojos Long Lasting  12,Deliplus,bote,1 ud.,"3,00 €",Mercadona
Paleta sombras de ojos Maldivas,Deliplus,bote,1 ud.,"6,50 €",Mercadona
Paleta sombras de ojos Manhattan,Deliplus,bote,1 ud.,"6,50 €",Mercadona
Paleta sombras de ojos Cairo,Deliplus,bote,1 ud.,"6,50 €",Mercadona
Paleta sombras de ojos New York,Deliplus,bote,1 ud.,"6,50 €",Mercadona
