producto,marca,formato,cantidad,precio,supermercado
Café soluble Classic,Hacendado,Bote,200 g,"3,05 €",Mercadona
Café soluble Classic,Hacendado,Bote,100 g,"2,10 €",Mercadona
Café soluble clásico  en sobres,Hacendado,Caja,10 sobres (20 g),"1,00 €",Mercadona
Café soluble natural  classic,Nescafé,Tarro,200 g,"6,65 €",Mercadona
Café soluble natural  classic,Nescafé,Tarro,100 g,"4,30 €",Mercadona
Café soluble descafeinado,Hacendado,Bote,200 g,"3,55 €",Mercadona
Café soluble descafeinado,Hacendado,Bote,100 g,"2,15 €",Mercadona
Café soluble en sobres descafeinado,Hacendado,Caja,10 sobres (20 g),"1,10 €",Mercadona
Café soluble descafeinado  classic,Nescafé,Tarro,200 g,"6,65 €",Mercadona
Café soluble descafeinado  classic,Nescafé,Tarro,100 g,"4,30 €",Mercadona
Café soluble espresso Creme,Hacendado,Bote,80 g,"2,65 €",Mercadona
Café soluble cappuccino,Hacendado,Bote,250 g,"2,70 €",Mercadona
Café soluble cappuccino caramelo,Hacendado,Bote,250 g,"2,95 €",Mercadona
Café soluble cappuccino vienés,Hacendado,Bote,300 g,"2,70 €",Mercadona
Café soluble selección,Hacendado,Bote,100 g,"3,25 €",Mercadona
Café soluble cappuccino descafeinado,Hacendado,Bote,250 g,"3,10 €",Mercadona
Café con leche cappuccino,Hacendado,Vaso,250 ml,"0,75 €",Mercadona
Café con leche light sin lactosa,Hacendado,Vaso,250 ml,"0,90 €",Mercadona
Café con leche espresso,Hacendado,Vaso,250 ml,"0,75 €",Mercadona
Café con leche descafeinado,Hacendado,Vaso,250 ml,"0,80 €",Mercadona
Horchata fresca,Hacendado,Vaso,250 ml,"1,00 €",Mercadona
Crema de leche para café, Campina,Paquete,20 ud. (200 ml),"1,10 €",Mercadona
Cereales solubles con achicoria,Hacendado,Bote,150 g,"2,10 €",Mercadona
Filtros de café para cafeteras tamaño 2 y 4, Bosque Verde,Caja,100 filtros,"1,95 €",Mercadona
