producto,marca,formato,cantidad,precio,supermercado
Espárrago verde fino manojo aprox.,Marca Día,Sin formato,250 g,"1,99 €",Dia
Perejil manojo,Marca Día,Sin formato,50 g,"0,99 €",Dia
Apio,Marca Día,Bolsa,500 g,"0,99 €",Dia
Cilantro,Marca Día,Bandeja,20 g,"1,19 €",Dia
Espárrago verde grueso manojo aprox.,Marca Día,Sin formato,250 g,"2,49 €",Dia
Rabanito,Sun&Vegs,Bolsa,250 g,"0,99 €",Dia
Jengibre bio,Marca Día,Bandeja,200 g,"1,79 €",Dia
Repollo rizado unidad aprox.,Marca Día,Sin formato,1 Kg,"1,49 €",Dia
Hierbabuena,Sun&Vegs,Bolsa,70 g,"1,19 €",Dia
Lombarda,Marca Día,Bolsa,2 Kg ,"2,98 €",Dia
