producto,marca,formato,cantidad,precio,supermercado
Alimento completo para periquitos,Granzoo,Paquete,1 kg,"1,82 €",Mercadona
Barritas de fruta y miel para periquitos,Natura,Caja,3 ud. (90 g),"1,85 €",Mercadona
Alimento completo para canarios y jilgueros,Granzoo,Paquete,1 kg,"1,80 €",Mercadona
Barritas de fruta y miel para canarios,Natura,Caja,3 ud. (90 g),"1,85 €",Mercadona
Alimento completo para loros y cotorras,Granzoo,Paquete,700 g,"2,90 €",Mercadona
Alimento completo para ninfa y agaporni,Granzoo,Paquete,800 g,"1,77 €",Mercadona
Alimento completo conejos enanos,Granzoo,Paquete,800 g,"1,45 €",Mercadona
Alimento completo para roedores,Granzoo,Paquete,700 g,"1,90 €",Mercadona
Barritas de miel para roedores,Natura,Caja,2 ud. (112 g),"1,60 €",Mercadona
Heno para conejos y roedores  con manzanilla,Granzoo,Paquete,1 kg,"3,50 €",Mercadona
Lecho vegetal para pequeñas mascotas,Vitakraft,Saco,8 L,"6,90 €",Mercadona
