producto,marca,formato,cantidad,precio,supermercado
Patatas prefritas,Patatas Unidas Dia,Bolsa,2 Kg,"3,15 €",Dia
Patatas prefritas,Patatas Unidas Dia,Bolsa,1 Kg,"1,79 €",Dia
Patatas finas prefritas,Patatas Unidas Dia,Bolsa,1 Kg,"1,90 €",Dia
Patatas gajo,Patatas Unidas Dia,Bolsa,750 g,"1,90 €",Dia
Patatas fritas tradition,McCain,Bolsa,1 Kg,"3,79 €",Dia
Patatas bravas prefritas,Patatas Unidas Dia,Bolsa,750 g,"1,79 €",Dia
Patatas fritas corte fino Julienne  Airfryer,McCain,Bolsa,600 g,"3,39 €",Dia
Patatas fritas golden long,McCain,Bolsa,1 Kg,"3,79 €",Dia
Patatas fritas con piel  Chef Gourmet,McCain,Bolsa,500 g,"3,39 €",Dia
Patatas gajo barbacoa,McCain,Bolsa,750 g,"3,49 €",Dia
