producto,marca,formato,cantidad,precio,supermercado
Paté perro júnior  con ternera y leche,Delikuit,Tarrina,150 g,"0,85 €",Mercadona
"Paté perro junior  con pollo, pavo y verduras",Delikuit,Tarrina,300 g,"0,95 €",Mercadona
"Paté perro adulto  con ternera, hígado y verduras",Delikuit,Tarrina,300 g,"0,95 €",Mercadona
"Trozos en salsa perro adulto  con ternera, hígado y verduras",Delikuit,Bote,"1,23 kg","1,60 €",Mercadona
Paté perro adulto  con ternera y pollo,Delikuit,Bote,"1,2 kg","2,10 €",Mercadona
Trozos en salsa perro adulto  con salmón y verduras,Delikuit,Bote,"1,23 kg","1,60 €",Mercadona
Salchicha perro adulto  con pollo y arroz,Delikuit,Paquete,1 kg,"1,80 €",Mercadona
Paté perro adulto  con ternera y verduras,Delikuit,Tarrina,150 g,"0,85 €",Mercadona
"Trozos en salsa perro adulto  con ternera, pavo y verduras",Delikuit,Tarrina,300 g,"0,85 €",Mercadona
"Trozos en salsa perro adulto  con ternera, pavo y verduras",Delikuit,Tarrina,150 g,"0,75 €",Mercadona
Paté perro adulto  con salmón y verduras,Delikuit,Tarrina,300 g,"0,95 €",Mercadona
Trozos en salsa perro adulto  con salmón y verduras,Delikuit,Tarrina,300 g,"0,85 €",Mercadona
"Comida perro júnior  con pollo, arroz, frutas y verduras",Compy,Paquete,4 kg,"6,25 €",Mercadona
"Comida perro adulto  con ternera, pollo, verduras y arroz",Compy,Saco,18 kg,"18,15 €",Mercadona
"Comida perro adulto  con pollo, ternera, frutas y verduras",Compy,Saco,18 kg,"18,15 €",Mercadona
"Comida perro adulto  con pollo, ternera, frutas y verduras",Compy,Paquete,4 kg,"6,25 €",Mercadona
"Comida perro adulto  con pollo, ternera, frutas y verduras",Compy,Paquete,3 kg,"5,50 €",Mercadona
Aritos perro adulto y sénior,Compy,Saco,4 kg,"8,30 €",Mercadona
Mini aritos perro adulto y sénior,Compy,Paquete,"1,5 kg","4,15 €",Mercadona
Comida perro adulto  original,Compy,Saco,18 kg,"14,00 €",Mercadona
"Comida perro sénior y adultos esterilizados Supreme  con pollo, frutas y verduras",Compy,Paquete,4 kg,"6,25 €",Mercadona
"Comida perro adulto  con salmón, atún, frutas y verduras",Compy,Paquete,4 kg,"6,25 €",Mercadona
"Comida perro adulto  con salmón, atún, frutas y verduras",Compy,Paquete,3 kg,"5,50 €",Mercadona
Comida perro júnior Supreme  pollo fresco con frutas y verduras,Compy,Paquete,3 kg,"9,50 €",Mercadona
"Comida perro júnior Supreme  con pollo fresco, frutas y verduras",Compy,Paquete,"1,5 kg","5,25 €",Mercadona
"Comida perro sénior y adultos esterilizados Supreme  con pollo, frutas y verduras",Compy,Paquete,3 kg,"9,50 €",Mercadona
Comida perro sénior esterilizados Supreme  pollo fresco con frutas y verduras,Compy,Paquete,"1,5 kg","5,25 €",Mercadona
Comida perro adulto Supreme  salmón fresco con frutas y verduras,Compy,Saco,10 kg,"24,50 €",Mercadona
Comida perro adulto Supreme  salmón fresco con frutas y verduras,Compy,Paquete,3 kg,"9,50 €",Mercadona
Comida perro adulto Supreme  salmón fresco con frutas y verduras,Compy,Paquete,"1,5 kg","5,25 €",Mercadona
Comida perro adulto Supreme  pollo fresco con frutas y verduras,Compy,Saco,10 kg,"24,50 €",Mercadona
Comida perro adulto Supreme  pollo fresco con frutas y verduras,Compy,Paquete,3 kg,"9,50 €",Mercadona
Comida perro adulto Supreme  pollo fresco con frutas y verduras,Compy,Paquete,"1,5 kg","5,25 €",Mercadona
Ministick dental perro adulto,Compy,Paquete,250 g,"2,20 €",Mercadona
Stick dental perro adulto con menta,Compy,Paquete,208 g,"1,75 €",Mercadona
Huesos de cuero con pollo y zanahoria  perro adulto,Compy,Paquete,2 ud. (120 g),"1,75 €",Mercadona
Hueso dental perro adulto sabor menta y perejil,Compy,Paquete,3 ud. (192 g),"1,75 €",Mercadona
Bolsas para residuos caninos  Doggy bags,Kordis,Paquete,45 ud.,"1,30 €",Mercadona
Champú cachorros y perro adulto con aloe vera,Krislin,Botella,310 ml,"2,70 €",Mercadona
Agua de colonia para perros y gatos,Krislin,Spray,250 ml,"3,40 €",Mercadona
Snack palitos perro adulto con pollo y ternera,Compy,Paquete,200 g,"1,05 €",Mercadona
Snack corazones perro adulto,Compy,Paquete,350 g,"1,65 €",Mercadona
Snack barritas perro adulto de ternera y cordero,Compy,Paquete,8 ud. x 11 g,"1,05 €",Mercadona
Snack barritas perro adulto de pollo e hígado,Compy,Paquete,8 ud. x 11 g,"1,05 €",Mercadona
Snack galletas perro adulto con pollo y ternera  razas pequeñas y medianas,Compy,Paquete,350 g,"1,40 €",Mercadona
Snack galletas perro adulto con pollo y ternera  razas medianas y grandes,Compy,Paquete,700 g,"1,95 €",Mercadona
Snack cachorros júnior,Compy,Paquete,125 g,"1,50 €",Mercadona
