producto,marca,formato,cantidad,precio,supermercado
Filete de merluza argentino sin piel,Mari Marinera de Dia,Bolsa,400 g,"3,19 €",Dia
Rabas empanadas,Mari Marinera de Dia,Bolsa,400 g,"2,17 €",Dia
Lomos de salmón,Selección Mundial de Dia,Bolsa,250 g,"4,79 €",Dia
Caprichos del mar,Mari Marinera de Dia,Bolsa,400 g,"1,79 €",Dia
Merluza rebozada al huevo MSC,Mari Marinera de Dia,Caja,340 g,"2,79 €",Dia
Muslitos de mar MSC,Mari Marinera de Dia,Caja,250 g,"1,49 €",Dia
Almeja del pacífico,Mari Marinera de Dia,Bolsa,450 g,"1,69 €",Dia
Preparado para paellas y sopas,Mari Marinera de Dia,Bolsa,685 g,"3,99 €",Dia
Filetes de bacalao MSC,Mari Marinera de Dia,Bandeja,400 g,"4,99 €",Dia
Medallones de merluza del cabo MSC,Mari Marinera de Dia,Bolsa,475 g,"3,79 €",Dia
Gambas peladas medianas,Mari Marinera de Dia,Bolsa,70/90 piezas   350 g,"4,79 €",Dia
Palitos de surimi ultracongelados MSC,Mari Marinera de Dia,Bolsa,450 g,"1,79 €",Dia
Nuggets de merluza,Pescanova,Bolsa,300 g,"2,19 €",Dia
Filetes de atún MSC,Mari Marinera de Dia,Bandeja,250 g,"4,19 €",Dia
Tiras de potón,Mari Marinera de Dia,Bolsa,350 g,"2,99 €",Dia
Filete de merluza del cabo sin piel MSC,Mari Marinera de Dia,Bolsa,600 g,"5,29 €",Dia
Gulas clásicas ultracongeladas MSC,Mari Marinera de Dia,Bandeja,250 g,"1,94 €",Dia
Filete de salmón salvaje MSC,Mari Marinera de Dia,Bolsa,360 g,"6,99 €",Dia
Gambas peladas grandes,Mari Marinera de Dia,Bolsa,35/55 piezas   350 g,"5,69 €",Dia
Filete de merluza empanada,Mari Marinera de Dia,Bolsa,600 g,"4,95 €",Dia
Anguriñas,Pescanova,Bandeja,200 g,"1,89 €",Dia
Filetes de merluza sin piel baby,Pescanova,Bolsa,400 g,"5,19 €",Dia
Corazones de merluza,Pescanova,Caja,500 g,"6,79 €",Dia
Filetes de bacalao,Pescanova,Bandeja,400 g,"6,29 €",Dia
Preparado de paella con caldo,Mari Marinera de Dia,Bandeja,500 g,"3,49 €",Dia
Anillas a la romana,Mari Marinera de Dia,Bolsa,400 g,"3,44 €",Dia
Langostino crudo grande,Mari Marinera de Dia,Caja,32/48 piezas   800 g,"7,99 €",Dia
Langostino cocido grande,Mari Marinera de Dia,Caja,32/48 piezas   800 g,"7,99 €",Dia
Coquina del Mediterráneo,Aligator,Bolsa,250 g,"3,69 €",Dia
Filete de bacalao,Mari Marinera de Dia,Bolsa,    300 g,"4,99 €",Dia
Calamar entero limpio patagónico,Mari Marinera de Dia,Bandeja,400 g,"5,59 €",Dia
Filetes de abadejo MSC,Mari Marinera de Dia,Bolsa,500 g,"4,99 €",Dia
Varitas de merluza MSC,Mari Marinera de Dia,Caja,450 g,"3,49 €",Dia
Filete de dorada,Mari Marinera de Dia,Bolsa,180 g,"3,99 €",Dia
Filete de lubina,Mari Marinera de Dia,Bolsa,180 g,"3,99 €",Dia
Gamba blanca,Marca no encontrada,Caja,500 g,"6,99 €",Dia
"Preparado para fideuá, pastas y arroces",Cocinarte,Bolsa,450 g,"3,29 €",Dia
Langostinos cocidos pelados,Pescanova,Bandeja,180 g,"4,29 €",Dia
Sepia faraónica,Mari Marinera de Dia,Bolsa,400 g,"4,99 €",Dia
Colas de gamba rebozadas,Cocinarte,Bolsa,200 g,"2,59 €",Dia
Supremas de merluza MSC,Nos,Caja,400 g,"3,59 €",Dia
Tortillitas de camarón,Terranova,Bolsa,400 g,"3,69 €",Dia
Varitas de pescado MSC,Findus,Caja,280 g,"2,99 €",Dia
Calamar troceado,Mari Marinera de Dia,Bolsa,450 g,"4,79 €",Dia
Anilla de pota,Mari Marinera de Dia,Bolsa,350 g,"4,89 €",Dia
Porciones de bacalao sin piel MSC,Ar-t morhua,Bolsa,500 g,"7,49 €",Dia
Gambón crudo,Mari Marinera de Dia,Caja,800 g,"9,99 €",Dia
Chipirón enharinado,Mari Marinera de Dia,Bolsa,250 g,"3,49 €",Dia
Gulas con gambas ultracongeladas,Mari Marinera de Dia,Bandeja,250 g,"2,79 €",Dia
Puntilla,Aligator,Bolsa,450 g,"4,39 €",Dia
Carne de mejillón cocido,Mari Marinera de Dia,Bolsa,250 g,"2,18 €",Dia
Bacalao dorado,Marvanejo,Bandeja,240 g,"2,99 €",Dia
Rodajas de emperador,Mari Marinera de Dia,Bolsa,475 g,"5,99 €",Dia
Varitas de merluza,Pescanova,Bolsa,450 g,"3,59 €",Dia
Colas de gambón pelado crudo,Mari Marinera de Dia,Bandeja,200 g,"5,19 €",Dia
