producto,marca,formato,cantidad,precio,supermercado
Bases de pizza finas,Al Punto Dia,Bolsa,3 x   420 g,"1,90 €",Dia
Baguette jamón y queso,Al Punto Dia,Caja,2 x   250 g,"1,89 €",Dia
Pizza,Al Punto Dia,Caja,    400 g,"2,49 €",Dia
Pizza crispy bacon,Al Punto Dia,Caja,450 g,"3,99 €",Dia
Pizza reina,Al Punto Dia,Caja,2 x   700 g,"3,39 €",Dia
Pizza,Al Punto Dia,Caja,    470 g,"3,99 €",Dia
Mini pizzas jamón y queso,Al Punto Dia,Caja,270 g,"2,49 €",Dia
Pizza barbacoa,Al Punto Dia,Caja,350 g,"2,49 €",Dia
Pizza jamón y queso,Al Punto Dia,Caja,350 g,"2,49 €",Dia
Pizza carbonara,Al Punto Dia,Caja,465 g,"3,99 €",Dia
Pizza bacon y atún,Al Punto Dia,Caja,400 g,"2,49 €",Dia
Pizza campestre,Al Punto Dia,Caja,400 g,"2,49 €",Dia
Pizza caprese  Forno di pietra,Buitoni,Caja,350 g,"3,65 €",Dia
Pizza boloñesa,Al Punto Dia,Caja,375 g,"2,49 €",Dia
Pizza jamón y queso  Forno di pietra,Buitoni,Caja,350 g,"3,65 €",Dia
Pizza barbacoa  Forno di pietra,Buitoni,Caja,325 g,"3,65 €",Dia
Mini pizzas de jamón y queso  Piccolinis,Buitoni,Caja,270 g,"4,39 €",Dia
Pizza,Buitoni,Caja,   Forno di pietra  340 g,"3,65 €",Dia
Pizza prosciutto  Ristorante,Dr. Oetker,Caja,340 g,"3,89 €",Dia
Pizza speciale  Ristorante,Dr. Oetker,Caja,330 g,"3,89 €",Dia
Pannini,Dr. Oetker,Caja,    250 g,"3,35 €",Dia
Pannini jamón y queso,Dr. Oetker,Caja,250 g,"3,35 €",Dia
Pizza prosciutto sin gluten,Dr. Oetker,Caja,345 g,"4,59 €",Dia
Pannini barbacoa,Dr. Oetker,Caja,250 g,"3,35 €",Dia
Pizza spinaci  Ristorante,Dr. Oetker,Caja,390 g,"3,89 €",Dia
Pizza,Dr. Oetker,Caja,   Ristorante  340 g,"3,89 €",Dia
Pizza atún  Ristorante,Dr. Oetker,Caja,355 g,"3,89 €",Dia
Pizza,Dr. Oetker,Caja,   Casa di Mama  395 g,"4,59 €",Dia
Pizza prosciutto y funghi  Casa di Mama,Dr. Oetker,Caja,380 g,"4,59 €",Dia
