producto,marca,formato,cantidad,precio,supermercado
Cacao soluble instantáneo,Nesquik,Paquete,1 kg,"4,99 €",Mercadona
Cacao soluble instantáneo,Nesquik,Bote,390 g,"3,29 €",Mercadona
Cacao soluble 0% azúcares añadidos,ColaCao,Bote,325 g,"4,29 €",Mercadona
Cacao soluble  original,ColaCao,Bote,760 g,"6,49 €",Mercadona
Cacao soluble  original,ColaCao,Bote,383 g,"3,79 €",Mercadona
Cacao soluble instantáneo,Hacendado,Paquete,1 kg,"3,90 €",Mercadona
Cacao soluble,Hacendado,Bote,1 kg,"3,65 €",Mercadona
Cacao soluble,Hacendado,Bote,480 g,"2,30 €",Mercadona
Cacao soluble  original,ColaCao,Caja,"2,5 kg","14,99 €",Mercadona
Cacao soluble 0% azúcares añadidos,Hacendado,Bote,450 g,"3,35 €",Mercadona
Cacao soluble instantáneo,Nesquik,Caja,"2,7 kg","13,45 €",Mercadona
Cacao soluble instantáneo,Hacendado,Bote,500 g,"2,50 €",Mercadona
Cacao soluble en sobres,Hacendado,Caja,6 sobres (108 g),"1,30 €",Mercadona
Cacao puro en polvo,La Chocolatera,Bote,265 g,"2,90 €",Mercadona
Chocolate líquido a la taza,Hacendado,Brick,1 L,"2,20 €",Mercadona
Cacao en polvo a la taza,Hacendado,Paquete,400 g,"1,80 €",Mercadona
