producto,marca,formato,cantidad,precio,supermercado
Tomate frito,Vegecampo de Dia,Brik,3 x 390 g,"1,65 €",Dia
Tomate frito,Vegecampo de Dia,Brik,3 x 215 g,"1,25 €",Dia
Tomate triturado,Vegecampo de Dia,Lata,780 g,"1,05 €",Dia
Tomate frito,Vegecampo de Dia,Frasco,550 g,"1,15 €",Dia
Tomate triturado,Vegecampo de Dia,Lata,390 g,"0,73 €",Dia
Tomate frito casero,Vegecampo de Dia,Frasco,350 g,"1,59 €",Dia
Tomate frito casero con aceite de oliva,Hida,Lata,340 g,"1,54 €",Dia
Pisto con aceite de oliva,Vegecampo de Dia,Frasco,350 g,"1,35 €",Dia
Tomate frito,Orlando,Brik,3 x 212 g,"1,99 €",Dia
Tomate frito,Solís,Brik,350 g,"0,99 €",Dia
Tomate troceado,Vegecampo de Dia,Lata,390 g,"0,85 €",Dia
Tomate frito con aceite de oliva,Vegecampo de Dia,Brik,390 g,"0,95 €",Dia
Tomate frito,Orlando,Brik,350 g,"1,00 €",Dia
Tomate frito receta tradicional,Vegecampo de Dia,Frasco,550 g,"2,40 €",Dia
Tomate frito,Solís,Frasco,2 x 460 g,"3,75 €",Dia
Tomate entero pelado,Vegecampo de Dia,Lata,480 g,"1,40 €",Dia
Tomate frito estilo casero,Solís,Frasco,350 g,"2,49 €",Dia
Pisto de tomate frito con verduras,Hida,Lata,340 g,"1,99 €",Dia
Tomate frito,Helios,Frasco,570 g,"1,99 €",Dia
Tomate frito estilo casero,Solís,Lata,3 x 100 g,"2,19 €",Dia
Pisto casero,Gallina Blanca,Frasco,100% natural   350 g,"2,39 €",Dia
Tomate frito bio,Vegecampo de Dia,Frasco,350 g,"1,75 €",Dia
Tomate frito con cebolla caramelizada,Orlando,Frasco,495 g,"1,99 €",Dia
Tomate frito con aceite de oliva,Helios,Frasco,560 g,"2,50 €",Dia
Tomate frito,Solís,Frasco,360 g,"1,59 €",Dia
Tomate frito sin sal,Orlando,Brik,350 g,"1,49 €",Dia
Sofrito casero de tomate y verduras,Gallina Blanca,Frasco,350 g,"2,39 €",Dia
Tomate frito con aceite de oliva,Solís,Frasco,360 g,"1,79 €",Dia
Tomate frito con aceite oliva,Orlando,Brik,350 g,"1,49 €",Dia
