producto,marca,formato,cantidad,precio,supermercado
Tomate en rama granel,Marca Día,Sin formato,500 g .,"1,00 €",Dia
Pimiento verde granel,Marca Día,Sin formato,300 g .,"0,81 €",Dia
Pimiento rojo unidad aprox.,Marca Día,Sin formato,390 g .,"1,05 €",Dia
Pimientos tricolor,Marca Día,Bolsa,500 g,"1,99 €",Dia
Pepino granel,Marca Día,Sin formato,1 Kg .,"1,99 €",Dia
Tomate cherry,Marca Día,Bandeja,400 g,"1,49 €",Dia
Tomate ensalada granel,Marca Día,Sin formato,500 g .,"0,80 €",Dia
Tomate pera granel,Marca Día,Sin formato,500 g .,"1,00 €",Dia
Tomate cherry pera,Marca Día,Bandeja,250 g,"0,99 €",Dia
Tomate canario,Marca Día,Malla,750 g,"1,59 €",Dia
Pimiento tipo padrón,Marca Día,Bolsa,200 g,"1,25 €",Dia
Tomate Adora,Marca Día,Bandeja,300 g,"1,99 €",Dia
Pepino holandés unidad aprox.,Marca Día,Sin formato,325 g,"0,99 €",Dia
Tomate Murice,Marca Día,Bandeja,400 g,"1,99 €",Dia
Tomate bárbaro,Marca Día,Bolsa,500 g .,"1,40 €",Dia
Tomate cherry pera lobello,Marca Día,Bandeja,200 g,"1,99 €",Dia
Tomate bio,Marca Día,Bandeja,500 g,"1,69 €",Dia
Pimiento Sweet Palermo,Marca Día,Bolsa,250 g,"1,59 €",Dia
