producto,marca,formato,cantidad,precio,supermercado
Té verde,Hacendado,Caja,20 bolsitas (30 g),"0,75 €",Mercadona
Té rojo,Hacendado,Caja,20 bolsitas (40 g),"1,15 €",Mercadona
Té Chai,Hacendado,Caja,20 bolsitas (40 g),"1,40 €",Mercadona
Té verde con limón,Hacendado,Caja,20 bolsitas (40 g),"1,20 €",Mercadona
Té negro  tips,PG,Caja,40 bolsitas (116 g),"2,60 €",Mercadona
Té negro con canela,Hacendado,Caja,20 bolsitas (30 g),"1,40 €",Mercadona
Té matcha en polvo,Hacendado,Caja,10 sobres (15 g),"3,20 €",Mercadona
Té verde con hierbabuena,Hacendado,Caja,20 bolsitas (40 g),"1,35 €",Mercadona
Infusión manzanilla,Hacendado,Caja,20 bolsitas (27 g),"0,55 €",Mercadona
Infusión Menta Poleo,Hacendado,Caja,20 bolsitas (30 g),"0,65 €",Mercadona
Infusión Tila,Hacendado,Caja,20 bolsitas (24 g),"0,85 €",Mercadona
Infusión Cola de caballo,Hacendado,Caja,20 bolsitas (30 g),"1,20 €",Mercadona
Infusión Manzanilla con anís,Hacendado,Caja,20 bolsitas (26 g),"0,85 €",Mercadona
Infusión Relax,Hacendado,Caja,20 bolsitas (30 g),"1,05 €",Mercadona
Infusión Laxsen sabor menta,Hacendado,Caja,20 bolsitas (30 g),"1,20 €",Mercadona
Infusión Tomillo,Hacendado,Caja,20 bolsitas (24 g),"1,05 €",Mercadona
Infusión Dormir,Hacendado,Caja,20 bolsitas (30 g),"1,05 €",Mercadona
Infusión Rooibos cítricos,Hacendado,Caja,20 bolsitas (40 g),"1,15 €",Mercadona
Infusión Figura,Hacendado,Caja,20 bolsitas (30 g),"1,20 €",Mercadona
Infusión Digest,Hacendado,Caja,20 bolsitas (40 g),"1,05 €",Mercadona
Infusión Respir,Hacendado,Caja,20 bolsitas (30 g),"1,40 €",Mercadona
Infusión Jengibre,Hacendado,Caja,20 bolsitas (40 g),"1,45 €",Mercadona
Infusión Manzanilla sabor a miel,Hacendado,Caja,20 bolsitas (26 g),"1,15 €",Mercadona
Infusión frutos rojos,Hacendado,Caja,20 bolsitas (40 g),"1,40 €",Mercadona
Infusión Cúrcuma,Hacendado,Caja,20 bolsitas (34 g),"1,40 €",Mercadona
Infusión Quema grasas,Hacendado,Caja,20 bolsitas (30 g),"1,20 €",Mercadona
Infusión Hinojo,Hacendado,Caja,20 bolsitas (40 g),"1,20 €",Mercadona
Infusión manzana y canela,Hacendado,Caja,20 bolsitas (40 g),"1,40 €",Mercadona
Infusión yerba mate,Amanda,Paquete,500 g,"2,85 €",Mercadona
Infusión fría  con sabor a fresa y hierbabuena,Hacendado,Caja,20 bolsitas (40 g),"1,45 €",Mercadona
Infusión fría  con sabor a piña y coco,Hacendado,Caja,20 bolsitas (40 g),"1,45 €",Mercadona
