producto,marca,formato,cantidad,precio,supermercado
Patata,Hacendado,Pieza,241 g aprox.,"0,48 €",Mercadona
Patatas,Hacendado,Malla,3 kg,"4,90 €",Mercadona
Patatas rojas,Hacendado,Malla,2 kg,"3,65 €",Mercadona
Patatas,Hacendado,Malla,5 kg,"6,99 €",Mercadona
Patatas guarnición,Hacendado,Malla,1 kg,"2,45 €",Mercadona
Batata,Hacendado,Pieza,424 g aprox.,"1,21 €",Mercadona
Patatas especial para freir,Hacendado,Malla,2 kg,"3,75 €",Mercadona
Yuca,Hacendado,Pieza,671 g aprox.,"1,80 €",Mercadona
Cebollas tiernas,Hacendado,Manojo,3 ud.,"1,29 €",Mercadona
Cebollas,Hacendado,Malla,2 kg,"3,85 €",Mercadona
Cebollas,Hacendado,Malla,1 kg,"2,39 €",Mercadona
Ajos morados,Hacendado,Malla,250 g,"1,65 €",Mercadona
Cebollas dulces,Hacendado,Malla,1 kg,"2,44 €",Mercadona
Ajo tierno,Hacendado,Manojo,200 g,"2,35 €",Mercadona
Ajos morados,Hacendado,Malla,400 g,"2,10 €",Mercadona
Cebollas moradas,Hacendado,Malla,500 g,"1,45 €",Mercadona
Ajo negro dientes pelados,Hacendado,Tarrina,85 g,"4,45 €",Mercadona
Picada de ajo y Perejil,Hacendado,Bandeja,100 g,"1,45 €",Mercadona
Tomate ensalada,Hacendado,Pieza,273 g aprox.,"0,57 €",Mercadona
Tomate canario,Hacendado,Pieza,174 g aprox.,"0,34 €",Mercadona
Tomate pera,Hacendado,Pieza,125 g aprox.,"0,25 €",Mercadona
Tomates pera,Hacendado,Bandeja,1 kg aprox.,"2,09 €",Mercadona
Tomates cherry pera kumato,Hacendado,Bandeja,300 g,"1,55 €",Mercadona
Tomates cherry,Hacendado,Bandeja,500 g,"1,90 €",Mercadona
Tomates cherry en rama Dulcita,Hacendado,Bandeja,200 g,"2,26 €",Mercadona
Tomates,Hacendado,Malla,2 kg,"3,70 €",Mercadona
Tomate kumato negro,Hacendado,Pieza,103 g aprox.,"0,29 €",Mercadona
Tomate rallado,Hacendado,Tarrina,290 g,"1,39 €",Mercadona
Rama de Tomates,Hacendado,caja,838 g aprox.,"1,84 €",Mercadona
Tomates Anhel,Hacendado,caja,460 g aprox.,"2,76 €",Mercadona
Zanahorias,Hacendado,Paquete,1 kg,"1,09 €",Mercadona
Pepino,Hacendado,Pieza,204 g aprox.,"0,38 €",Mercadona
Pepino holandés,Hacendado,Pieza,425 g aprox.,"0,93 €",Mercadona
Zanahorias,Hacendado,Paquete,500 g,"0,85 €",Mercadona
Pepinos,Hacendado,Malla,"1,25 kg","2,30 €",Mercadona
Palitos de zanahoria,Hacendado,Tarrina,180 g,"1,99 €",Mercadona
Zanahoria rallada base para ensalada,Hacendado,Paquete,150 g,"0,90 €",Mercadona
Zanahorias en manojo,Hacendado,Paquete,800 g,"1,75 €",Mercadona
Pimiento rojo,Hacendado,Pieza,273 g aprox.,"0,73 €",Mercadona
Calabacín verde,Hacendado,Pieza,403 g aprox.,"0,72 €",Mercadona
