producto,marca,formato,cantidad,precio,supermercado
Mezcla de pimientos,Vegecampo de Dia,Bolsa,400 g,"1,15 €",Dia
Arroz tres delicias,Al Punto Dia,Bolsa,850 g,"2,34 €",Dia
Braseado de verduras con pollo asado,Al Punto Dia,Bolsa,400 g,"1,89 €",Dia
Cebolla troceada,Vegecampo de Dia,Bolsa,400 g,"0,98 €",Dia
Brócoli,Vegecampo de Dia,Bolsa,900 g,"1,85 €",Dia
Salteado de setas,Al Punto Dia,Bolsa,450 g,"1,65 €",Dia
Guisantes,Vegecampo de Dia,Bolsa,1 Kg,"1,59 €",Dia
Parrillada de verduras asadas,Al Punto Dia,Bolsa,450 g,"1,69 €",Dia
Espinacas cortadas,Vegecampo de Dia,Bolsa,450 g,"0,89 €",Dia
Judías verdes planas,Vegecampo de Dia,Bolsa,1 Kg,"1,55 €",Dia
"Salteado de gambas, ajetes y espárragos verdes",Al Punto Dia,Bolsa,400 g,"2,79 €",Dia
Salteado de verduras,Al Punto Dia,Bolsa,450 g,"1,14 €",Dia
Ajo troceado,Vegecampo de Dia,Bolsa,150 g,"0,99 €",Dia
Menestra de verduras,Vegecampo de Dia,Bolsa,1 Kg,"1,59 €",Dia
Ensaladilla,Vegecampo de Dia,Bolsa,1 Kg,"0,95 €",Dia
Coliflor,Vegecampo de Dia,Bolsa,1 Kg,"2,05 €",Dia
Judías verdes redondas,Vegecampo de Dia,Bolsa,1 Kg,"1,55 €",Dia
"Brócoli, coliflor y zanahoria",Vegecampo de Dia,Bolsa,1 Kg,"2,09 €",Dia
Alcachofa troceada,Vegecampo de Dia,Bolsa,400 g,"2,55 €",Dia
Arroz negro con calamar y gambas,Al Punto Dia,Bolsa,600 g,"2,24 €",Dia
Paella de marisco,Al Punto Dia,Bolsa,600 g,"2,79 €",Dia
Menestra de la huerta,Findus,Bolsa,650 g,"4,89 €",Dia
Verduras para paella,Vegecampo de Dia,Bolsa,450 g,"1,29 €",Dia
Verduras en tempura,Cocinarte,Bolsa,400 g,"2,69 €",Dia
Risotto con setas,Tutti,Bandeja,300 g,"1,99 €",Dia
Arroz de coliflor,Congelados de Navarra,Bolsa,400 g,"1,45 €",Dia
Relleno para fajitas,Maheso,Bolsa,300 g,"2,49 €",Dia
Preparado para tortilla de patata,Verleal,Bolsa,450 g,"2,69 €",Dia
Pimientos rellenos de bacalao MSC,Al Punto Dia,Bolsa,240 g,"2,45 €",Dia
Espárragos verdes,Verleal,Bolsa,300 g,"3,26 €",Dia
Guisantes superfinos,Vegecampo de Dia,Bolsa,300 g,"1,01 €",Dia
Guisantes superfinos,Findus,Bolsa,550 g,"3,89 €",Dia
Judías verdes planas,Findus,Bolsa,800 g,"3,99 €",Dia
Guisantes finos,Findus,Bolsa,800 g,"3,99 €",Dia
Ensaladilla,Findus,Bolsa,800 g,"3,99 €",Dia
Quinoa con verduras,Al Punto Dia,Bolsa,400 g,"1,99 €",Dia
Alcachofas baby,Vegecampo de Dia,Bolsa,300 g,"2,89 €",Dia
Espinacas cortadas,Findus,Bolsa,400 g,"2,49 €",Dia
Habas baby,Vegecampo de Dia,Bolsa,400 g,"1,49 €",Dia
