producto,marca,formato,cantidad,precio,supermercado
Vinagre de vino blanco,Aliña tu Dia,Botella,1 l,"0,75 €",Dia
Vinagre balsámico de módena,Selección Mundial de Dia,Botella,500 ml,"2,39 €",Dia
Crema de vinagre de módena,Aliña tu Dia,Botella,250 ml,"1,99 €",Dia
Vinagre de manzana,Aliña tu Dia,Botella,1 l,"0,90 €",Dia
Vinagre de jerez reserva dop,Delicias de Dia,Botella,250 ml,"1,99 €",Dia
Aderezo de limón,Aliña tu Dia,Botella,50 cl,"0,99 €",Dia
Crema vinagre de módena sin azúcares añadidos,Vulpi,Botella,400 ml,"1,99 €",Dia
Crema de vinagre de módena con frambuesa,Aliña tu Dia,Botella,250 ml,"2,35 €",Dia
Vinagre balsámico de módena,Borges,Botella,250 ml,"2,19 €",Dia
Vinagre de vino blanco,Ybarra,Botella,1 l,"1,05 €",Dia
Crema de vinagre con Pedro Ximénez,Aliña tu Dia,Botella,250 ml,"2,35 €",Dia
Vinagre de vino blanco,Borges,Botella,1 l,"1,05 €",Dia
Vinagre de manzana,Ybarra,Botella,1 l,"1,95 €",Dia
Vinagre de manzana ecológico,Riojavina,Botella,500 ml,"2,35 €",Dia
Vinagre de vino tinto,Borges,Botella,1 l,"1,05 €",Dia
Crema de vinagre al jerez,Vulpi,Botella,400 ml,"1,99 €",Dia
Vinagre de sidra,Mayador,Botella,75 cl,"2,79 €",Dia
