producto,marca,formato,cantidad,precio,supermercado
"Aceite de oliva 0,4º",Hacendado,Botella,1 L,"8,95 €",Mercadona
Aceite de oliva virgen extra,Hacendado,Garrafa,3 L,"29,55 €",Mercadona
Aceite de oliva virgen extra,Hacendado,Botella,1 L,"9,90 €",Mercadona
Aceite de oliva virgen extra,Hacendado Gran Selección,Botella,750 ml,"8,10 €",Mercadona
Aceite de oliva 1º,Hacendado,Botella,1 L,"8,95 €",Mercadona
Aceite de oliva virgen,Hacendado,Garrafa,3 L,"28,50 €",Mercadona
Aceite de oliva virgen,Hacendado,Botella,1 L,"9,55 €",Mercadona
Aceite de oliva suave,Hacendado,Garrafa,3 L,"26,70 €",Mercadona
Aceite de oliva intenso,Hacendado,Garrafa,3 L,"26,70 €",Mercadona
Aceite de oliva virgen extra,Hacendado,Spray,200 ml,"3,30 €",Mercadona
Aceite de oliva virgen extra Picual,Casa Juncal,Botella,500 ml,"7,85 €",Mercadona
"Aceite de girasol refinado 0,2º",Hacendado,Garrafa,5 L,"6,75 €",Mercadona
"Aceite de girasol refinado 0,2º",Hacendado,Botella,1 L,"1,45 €",Mercadona
Aceite de coco virgen,Hacendado,Bote,450 ml,"4,40 €",Mercadona
Vinagre de vino blanco,Hacendado,Botella,1 L,"0,75 €",Mercadona
Vinagre de manzana,Hacendado,Botella,1 L,"0,90 €",Mercadona
Limón exprimido,Hacendado,Botella,280 ml,"1,00 €",Mercadona
Crema de vinagre balsámico de Módena,Hacendado,Botella,250 g,"1,75 €",Mercadona
Vinagre de Jerez reserva,Hacendado,Botella,250 ml,"2,00 €",Mercadona
Bebida aromatizada a base de vino para cocinar,Abuela Carola,Botella,750 ml,"2,35 €",Mercadona
Reducción de vinagre Pedro Ximénez,Hacendado,Botella,300 g,"2,25 €",Mercadona
Vinagre balsámico de Módena,Hacendado,Botella,500 ml,"2,45 €",Mercadona
Sal fina,Hacendado,Paquete,1 kg,"0,35 €",Mercadona
Sal fina de mesa,Hacendado,Bote,300 g,"0,75 €",Mercadona
Sal yodada fina,Hacendado,Paquete,1 kg,"0,35 €",Mercadona
Sal gruesa,Hacendado,Paquete,1 kg,"0,35 €",Mercadona
Bicarbonato sódico,Hacendado,Paquete,1 kg,"1,50 €",Mercadona
Bicarbonato sódico,Hacendado,Bote,300 g,"1,10 €",Mercadona
Sal marina en escamas,Polasal,Bote,125 g,"2,00 €",Mercadona
Sal gruesa para hornear,Hacendado,Paquete,2 kg,"1,10 €",Mercadona
Sal de ajo,Hacendado,Bote,130 g,"1,80 €",Mercadona
Sal de frutas sabor limón,Hacendado,Bote,250 g,"2,10 €",Mercadona
Sal 60% menos de sodio,Hacendado,Bote,250 g,"2,30 €",Mercadona
Preparado para salmón ahumado,Hacendado,Bote,750 g,"3,30 €",Mercadona
Sal rosa del Himalaya,Hacendado,Bote,250 g,"1,80 €",Mercadona
