producto,marca,formato,cantidad,precio,supermercado
Aceitunas negras sin hueso,Vegecampo,Lata,150 g,"1,10 €",Dia
Aceitunas rellenas de anchoa suave,Vegecampo,Lata,150 g,"1,40 €",Dia
Aceitunas rellenas de anchoa,Vegecampo,Lata,3 x 50 g,"1,60 €",Dia
Pepinillos agridulces,Vegecampo,Frasco,360 g,"1,55 €",Dia
Aceitunas verdes sin hueso,Vegecampo,Frasco,00 g,"2,60 €",Dia
Aceitunas rellenas de anchoa,Vegecampo,Lata,3 x 150 g,"3,15 €",Dia
Pepinillos y cebollitas,Vegecampo,Frasco,380 g,"1,90 €",Dia
Pepinillos pequeños,Vegecampo,Frasco,180 g,"1,20 €",Dia
Pepinillos sabor anchoa,Vegecampo,Frasco,180 g,"1,40 €",Dia
Aceitunas verdes sin hueso,Vegecampo,Bolsa,3 x 75 g,"1,65 €",Dia
Altramuces extra,Vegecampo,Frasco,380 g,"1,55 €",Dia
Banderillas picantes,Vegecampo,Frasco,10 g,"1,55 €",Dia
Aceitunas chupadedos con hueso,Vegecampo,Frasco,10 g,"2,80 €",Dia
Aceitunas rellenas de anchoa suave,Vegecampo,Lata,3 x 50 g,"1,80 €",Dia
Cóctel de encurtidos,Vegecampo,Frasco,00 g,"2,59 €",Dia
Aceitunas rellenas de anchoa,Vegecampo,Lata,150 g,"1,65 €",Dia
Banderillas dulces,Vegecampo,Frasco,10 g,"1,55 €",Dia
Aceitunas verdes con hueso,Vegecampo,Frasco,500 g,"2,60 €",Dia
Guindillas en vinagre,Vegecampo,Frasco,120 g,"1,25 €",Dia
Aceitunas gordal aliñada sin hueso,Vegecampo,Frasco,30 g,"3,19 €",Dia
Aceitunas verdes rellenas de anchoas,La española,Lata,3 x 50 g,"3,85 €",Dia
Pepinillo sabor anchoa,Rioverde,Frasco,180 g,"1,69 €",Dia
Picadillo de variantes,Vegecampo,Frasco,200 g,"1,39 €",Dia
Aceitunas suaves rellenas de anchoa,La española,Lata,130 g,"2,35 €",Dia
Aceitunas rellenas de trufa,La explanada,Lata,150 g,"1,99 €",Dia
Aceitunas hechizos del sur,Sarasa,Lata,160 g,"1,55 €",Dia
Piparras,Rioverde,Frasco,120 g,"2,50 €",Dia
Aceitunas rellenas con pepinillos,La sota,Frasco,180 g,"2,45 €",Dia
Aceitunas rellenas de boquerón marinas,La española,Lata,130 g,"2,75 €",Dia
Aceitunas negras sin hueso,Serpis,Lata,130 g,"1,99 €",Dia
Aceituna manzanilla en rodajas,Jolca,Bolsa,3 x 50 g,"1,99 €",Dia
Aceitunas aliñadas estilo tradicional,Vegecampo,Frasco,250 g,"1,99 €",Dia
Pepinillo laminado,Rioverde,Bote,290 g,"2,39 €",Dia
Aceitunas con hueso aliño del abuelo,Fragata,Frasco,250 g,"2,49 €",Dia
Aceitunas con hueso aliño sevillano,Fragata,Frasco,250 g,"2,49 €",Dia
Aceituna aliñada receta del cortijo,Sarasa,Lata,185 g,"1,99 €",Dia
Aceitunas receta andaluza,Sarasa,Tarrina,200 g,"1,85 €",Dia
Aceitunas negras sin hueso,Jolca,Bolsa,75 g,"1,09 €",Dia
Aceitunas gazpacha,Vegecampo,Frasco,10 g,"2,45 €",Dia
Aceitunas estilo casero,Vegecampo,Frasco,10 g,"2,80 €",Dia
Aceitunas rellenas de limón,Vegecampo,Lata,150 g,"1,49 €",Dia
Aceitunas pelotin,Vegecampo,Frasco,250 g,"1,65 €",Dia
Aceitunas negras de aragón,Vegecampo,Frasco,250 g,"2,35 €",Dia
Aceitunas negras en rodajas,Vegecampo,Lata,3 x 50 g,"2,20 €",Dia
Aceitunas rellenas de jalapeño,Vegecampo,Lata,150 g,"1,65 €",Dia
Aceitunas negras con hueso,Vegecampo,Lata,185 g,"1,25 €",Dia
Aceitunas rellenas de anchoa,Serpis,Lata, x 50 g,"3,39 €",Dia
Cocktail de encurtidos,Rioverde,Frasco,180 g,"1,69 €",Dia
Aceitunas partidas aliñadas,Jolca,Lata,185 g,"1,99 €",Dia
Aceitunas manzanilla sabor anchoa con hueso,Jolca,Lata,185 g,"2,09 €",Dia
Aceitunas negras sin hueso,Serpis,Lata,85 g,"1,55 €",Dia
Aceitunas rellenas de pimiento,Vegecampo,Lata,150 g,"1,19 €",Dia
Aceitunas verdes sin hueso,Jolca,Bolsa,90 g,"0,99 €",Dia
Aceitunas verdes con hueso,Jolca,Bolsa,120 g,"0,99 €",Dia
Alcaparras en vinagre,Vegecampo,Frasco,80 g,"1,30 €",Dia
Aceitunas rellenas de anchoa,Serpis,Lata,   3+1 x 50 g,"3,25 €",Dia
Aceitunas rellenas de anchoa,La española,Lata,150 g,"2,45 €",Dia
Aceitunas rellenas de anchoa,Jolca,Lata,130 g,"1,89 €",Dia
Aceitunas rellenas de anchoa suave,Jolca,Lata,130 g,"1,89 €",Dia
Aceitunas manzanilla rellena de anchoa,Fragata,Lata,150 g,"1,95 €",Dia
Aceitunas verdes con hueso sabor anchoa,Vegecampo,Frasco,500 g,"3,19 €",Dia
Cebollitas en vinagre,Vegecampo,Frasco,180 g,"1,49 €",Dia
Aceitunas rellenas de anchoas,Serpis,Lata,130 g,"1,95 €",Dia
Aceitunas rellenas de anchoa bajo en sal,Serpis,Lata,130 g,"1,99 €",Dia
