producto,marca,formato,cantidad,precio,supermercado
Aceitunas manzanilla rellenas de anchoa,Hacendado,Bote,3 botes x 150 g,"3,00 €",Mercadona
Aceitunas manzanilla rellenas de anchoa,Hacendado,Bote,3 botes x 50 g,"1,60 €",Mercadona
Aceitunas manzanilla rellenas de anchoa,Hacendado,Bote,350 g (150 g escurrido),"1,00 €",Mercadona
Aceitunas manzanilla  sin hueso,Hacendado,Tarro,835 g (400 g escurrido),"2,60 €",Mercadona
Aceitunas rellenas de anchoa  reducido en sal,Hacendado,Bote,350 g (150 g escurrido),"1,40 €",Mercadona
Aceitunas manzanilla rellenas de anchoa  reducidas en sal,Hacendado,Bote,3 botes x 50 g,"1,80 €",Mercadona
Aceitunas chupadedos  partidas aliñadas con hueso,Huerta de Barros,Tarro,980 g (600 g escurrido),"3,30 €",Mercadona
Aceitunas gazpacha  con hueso,Hacendado,Tarro,835 g (500 g escurrido),"2,50 €",Mercadona
Aceitunas rellenas de anchoa,Hacendado,Bote,350 g (150 g escurrido),"1,65 €",Mercadona
Aceitunas rellenas de anchoa,Hacendado,Bote,"1,46 kg (600 g escurrido)","3,95 €",Mercadona
Aceitunas manzanilla  sin hueso,Hacendado,Paquete,3 paquetes x 75 g,"1,65 €",Mercadona
Aceitunas estilo caseras  aliñadas,Hacendado,Tarro,935 g (550 g escurrido),"2,90 €",Mercadona
Aceitunas manzanilla aliñadas  sin hueso,Hacendado,Tarro,420 g (200 g escurrido),"1,85 €",Mercadona
Aceitunas chupadedos  partidas aliñadas con hueso,Huerta de Barros,Tarro,350 g (185 g escurrido),"1,70 €",Mercadona
Aceitunas rellenas de jalapeño,Hacendado,Bote,350 g (150 g escurrido),"1,65 €",Mercadona
Aceitunas rellenas de pimiento asado,Hacendado,Bote,350 g (150 g escurrido),"1,65 €",Mercadona
Aceitunas manzanilla sabor anchoa  con hueso,Hacendado,Tarro,430 g (250 g escurrido),"1,50 €",Mercadona
Aceitunas aliñadas  sin hueso,Hacendado,Tarro,835 g (400 g escurrido),"3,25 €",Mercadona
Aceitunas aloreña al natural  partida con hueso,Dcoop,Bote,"1,23 kg (700 g escurrido)","3,95 €",Mercadona
Aceitunas verdes rellenas de boquerón  en vinagre,Hacendado,Bote,350 g (150 g escurrido),"1,75 €",Mercadona
Aceitunas manzanilla sabor anchoa  con hueso,Hacendado,Tarro,935 g (530 g escurrido),"2,80 €",Mercadona
Aceitunas negras  sin hueso,Hacendado,Bote,350 g (150 g escurrido),"1,10 €",Mercadona
Aceitunas negras naturales Cuquillo  con hueso,Hacendado,Tarro,170 g (160 g escurrido),"1,80 €",Mercadona
Aceitunas negras  a rodajas,Hacendado,Bote,3 botes x 50 g,"2,15 €",Mercadona
Aceitunas negras  sin hueso,Hacendado,Bote,3 botes x 50 g,"2,00 €",Mercadona
Banderillas dulces  en vinagre,Hacendado,Tarro,345 g (160 g escurrido),"1,60 €",Mercadona
Mix de encurtidos,Hacendado,Tarro,670 g (370 g escurrido),"2,60 €",Mercadona
Altramuces,Hacendado,Tarro,690 g (440 g escurrido),"1,75 €",Mercadona
Alcaparras  en vinagre,Hacendado,Tarro,135 g (80 g escurrido),"1,30 €",Mercadona
Pepinillos agridulces,Convite,Tarro,350 g (190 g escurrido),"1,30 €",Mercadona
Picadillo de variantes,Hacendado,Tarro,420 g (250 g escurrido),"2,00 €",Mercadona
Pepinillos laminados agridulces,Hacendado,Tarro,530 g (290 g escurrido),"1,80 €",Mercadona
Cebollitas,Hacendado,Tarro,350 g (190 g escurrido),"1,60 €",Mercadona
Guindillas picantes,Hacendado,Tarro,285 g (125 g escurrido),"1,35 €",Mercadona
Ajos aliñados,Hacendado,Tarro,345 g (235 g escurrido),"2,60 €",Mercadona
Alcaparrones  en vinagre,Hacendado,Tarro,360 g (180 g escurrido),"2,50 €",Mercadona
Berenjenas de Almagro  aliño suave,Antonio,Bote,800 g (350 g escurrido),"2,89 €",Mercadona
Jalapeños picantes  en vinagre,Hacendado,Tarro,135 g (60 g escurrido),"1,65 €",Mercadona
Mix de pepinillos y cebollitas,Hacendado,Tarro,670 g (370 g escurrido),"1,90 €",Mercadona
Pepinillos agridulces,Hacendado,Tarro,670 g (360 g escurrido),"1,40 €",Mercadona
Pepinillos en vinagre,Olispania,Tarro,300 g (150 g escurrido),"1,30 €",Mercadona
