producto,marca,formato,cantidad,precio,supermercado
Agua mineral grande,Font Natura,Garrafa,8 L,"0,89 €",Mercadona
Agua mineral grande,Font Natura,Garrafa,6 L,"0,78 €",Mercadona
Agua mineral grande,Font Natura,Botella,"6 botellas x 1,5 L","1,50 €",Mercadona
Agua mineral grande,Font Natura,Botella,"1,5 L","0,25 €",Mercadona
Agua mineral mediana,Font Natura,Botella,6 botellas x 1 L,"2,40 €",Mercadona
Agua mineral mediana,Font Natura,Botella,1 L,"0,40 €",Mercadona
Agua mineral grande,Fuente Dehesa,Garrafa,6 L,"1,26 €",Mercadona
Agua mineral grande,Fuente Dehesa,Botella,"6 botellas x 1,5 L","2,34 €",Mercadona
Agua mineral grande,Fuente Dehesa,Botella,"1,5 L","0,39 €",Mercadona
Agua mineral mediana,Fuente Dehesa,Botella,6 botellas x 1 L,"3,00 €",Mercadona
Agua mineral mediana,Fuente Dehesa,Botella,1 L,"0,50 €",Mercadona
Agua mineral pequeña,Fuente Dehesa,Botella,6 botellas x 500 ml,"1,62 €",Mercadona
Agua mineral pequeña,Fuente Dehesa,Botella,500 ml,"0,27 €",Mercadona
Agua mineral pequeña  tapón infantil,Fuente Dehesa,Botella,6 botellas x 330 ml,"2,28 €",Mercadona
Agua mineral pequeña  tapón infantil,Fuente Dehesa,Botella,330 ml,"0,38 €",Mercadona
Agua mineral grande,Nestlé Aquarel,Botella,"6 botellas x 1,5 L","3,54 €",Mercadona
Agua mineral grande,Nestlé Aquarel,Botella,"1,5 L","0,59 €",Mercadona
Agua mineral grande,Font Vella,Botella,"6 botellas x 1,5 L","4,20 €",Mercadona
Agua mineral grande,Font Vella,Botella,"1,5 L","0,73 €",Mercadona
Agua mineral grande,Solán de Cabras,Botella,"6 botellas x 1,5 L","5,34 €",Mercadona
Agua mineral grande,Solán de Cabras,Botella,"1,5 L","0,89 €",Mercadona
Agua mineral grande,Lanjarón,Garrafa,"6,25 L","2,29 €",Mercadona
Agua mineral grande,Lanjarón,Botella,"6 botellas x 1,5 L","4,20 €",Mercadona
Agua mineral grande,Lanjarón,Botella,"1,5 L","0,73 €",Mercadona
Agua mineral grande,Liviana,Botella,6 botellas x 2 L,"4,80 €",Mercadona
Agua mineral grande,Liviana,Botella,2 L,"0,80 €",Mercadona
Agua mineral grande,Neval,Botella,"6 botellas x 1,5 L","1,50 €",Mercadona
Agua mineral grande,Neval,Botella,"1,5 L","0,25 €",Mercadona
Agua mineral pequeña  tapón infantil,Neval,Botella,6 botellas x 330 ml,"1,44 €",Mercadona
Agua mineral pequeña  tapón infantil,Neval,Botella,330 ml,"0,24 €",Mercadona
Agua de coco  100% natural,Chaokoh,Brick,1 L,"2,60 €",Mercadona
Agua mineral pequeña,Font Natura,Botella,6 botellas x 500 ml,"1,32 €",Mercadona
Agua mineral pequeña,Font Natura,Botella,500 ml,"0,22 €",Mercadona
Agua mineral con gas grande,Vichy Catalan,Botella,1 L,"1,49 €",Mercadona
Agua mineral con gas pequeña,Vichy Catalan,Botella,6 botellas x 300 ml,"5,89 €",Mercadona
Agua de soda con sifón,La Casa,Botella,"1,5 L","1,60 €",Mercadona
Agua mineral con gas grande,Fonter,Botella,6 botellas x 1 L,"6,84 €",Mercadona
Agua mineral con gas grande,Fonter,Botella,1 L,"1,14 €",Mercadona
Agua mineral con gas grande,Aguadoy,Botella,"6 botellas x 1,5 L","2,46 €",Mercadona
Agua mineral con gas grande,Aguadoy,Botella,"1,5 L","0,41 €",Mercadona
Agua mineral con gas pequeña,Aguadoy,Botella,6 botellas x 500 ml,"1,62 €",Mercadona
Agua mineral con gas pequeña,Aguadoy,Botella,500 ml,"0,27 €",Mercadona
Gaseosa  grande,Hacendado,Botella,"1,5 L","0,50 €",Mercadona
Gaseosa  pequeña,Hacendado,Botella,6 botellas x 500 ml,"1,92 €",Mercadona
Gaseosa  pequeña,Hacendado,Botella,500 ml,"0,32 €",Mercadona
Gaseosa  grande,La Casera,Botella,"2 botellas x 1,5 L","2,36 €",Mercadona
Gaseosa  grande,La Casera,Botella,"1,5 L","1,20 €",Mercadona
