producto,marca,formato,cantidad,precio,supermercado
Arroz redondo,Hacendado,Paquete,1 kg,"1,27 €",Mercadona
Arroz largo,Hacendado,Paquete,1 kg,"1,35 €",Mercadona
Arroz cocido basmati,Sabroz,Vasito,2 vasitos x 125 g,"1,20 €",Mercadona
Arroz cocido integral,Sabroz,Vasito,2 vasitos x 125 g,"1,15 €",Mercadona
Quinoa cocida blanca y roja,Sabroz,Vasito,2 vasitos x 125 g,"1,50 €",Mercadona
Arroz cocido redondo,Sabroz,Vasito,2 vasitos x 125 g,"1,15 €",Mercadona
Arroz redondo J Sendra,Hacendado,Paquete,1 kg,"1,54 €",Mercadona
Arroz basmati aromático,Hacendado,Paquete,1 kg,"2,44 €",Mercadona
Cous cous mediano,Bia,Caja,1 kg,"1,85 €",Mercadona
Arroz vaporizado,Hacendado,Paquete,1 kg,"1,54 €",Mercadona
Quinoa,Hacendado,Paquete,500 g,"2,65 €",Mercadona
Noodles de arroz,Acecook,Paquete,200 g,"1,50 €",Mercadona
Arroz redondo,SOS,Paquete,1 kg,"1,80 €",Mercadona
Arroz vaporizado,Brillante,Caja,1 kg,"1,90 €",Mercadona
Arroz integral largo,Hacendado,Paquete,1 kg,"1,60 €",Mercadona
Arroz redondo,Absorb,Paquete,1 kg,"2,35 €",Mercadona
