producto,marca,formato,cantidad,precio,supermercado
Atún claro en aceite de oliva,Mari Marinera,Lata,6 x 60 g,"5,45 €",Dia
Atún claro al natural,Mari Marinera,Lata,6 x 60 g,"4,75 €",Dia
Atún en aceite de girasol,Mari Marinera,Lata,6 x 52 g,"3,95 €",Dia
Atún en aceite de oliva,Calvo,Lata,3 x 52 g,"3,95 €",Dia
Atún claro al natural,Calvo,Lata,3 x 52 g,"3,50 €",Dia
Atún en aceite de girasol,Isabel,Lata,650 g,"9,49 €",Dia
Atún en aceite de girasol,Mari Marinera,Lata,650 g,"6,99 €",Dia
Atún claro en aceite de girasol,Mari Marinera,Lata,6 x 70 g,"4,35 €",Dia
Atún claro en escabeche,Mari Marinera,Lata,6 x 60 g,"4,75 €",Dia
Filetes de caballa del sur en aceite de girasol,Mari Marinera,Lata,85 g,"1,39 €",Dia
Atún en aceite de oliva,Mari Marinera,Lata,3 x 52 g,"2,45 €",Dia
Filetes de caballa del sur en aceite de oliva,Mari Marinera,Lata,85 g,"1,55 €",Dia
Trozos de atún en aceite de girasol,Ribeira,Lata,3 x 52 g,"1,79 €",Dia
Atún en aceite de girasol,Mari Marinera,Lata,3 x 52 g,"2,15 €",Dia
Atún claro al natural,Mari Marinera,Lata,3 x 60 g,"2,69 €",Dia
Atún claro en aceite de oliva,Calvo,Pack,2 x 52 g,"2,00 €",Dia
Filetes de atún claro en aceite de oliva,Mari Marinera,Frasco,140 g,"3,95 €",Dia
Atún en aceite de oliva,Ribeira,Lata,650 g,"8,80 €",Dia
Bonito del norte en aceite de oliva,Mari Marinera,Lata,73 g,"1,99 €",Dia
Filetes de caballa del sur en aceite de girasol,Ubago,Lata,65 g,"1,55 €",Dia
Filetes de caballa en aceite de girasol,Ribeira,Lata,60 g,"1,00 €",Dia
Bonito del norte en aceite de oliva MSC,Mari Marinera,Frasco,260 g,"7,45 €",Dia
Atún en aceite de girasol,Isabel,Lata,6 x 52 g,"5,89 €",Dia
Atún claro en aceite de oliva,Calvo,Lata,3 x 52 g,"4,29 €",Dia
Atún con tomate,Isabel,Lata,3 x 52 g,"3,05 €",Dia
Ventresca de atún claro en aceite de oliva,Mari Marinera,Lata,78 g,"3,55 €",Dia
Atún claro en aceite de oliva bajo en sal,Calvo,Lata,3 x 52 g,"4,25 €",Dia
Atún claro en aceite de girasol,Calvo,Lata,3 x 52 g,"3,50 €",Dia
Bonito del Norte en aceite de girasol alto oleico,Realmar,Frasco,228 g,"5,95 €",Dia
Atún claro en aceite de girasol,Albo,Lata,67 g,"1,95 €",Dia
Atún en aceite de girasol,Isabel,Lata,260 g,"5,59 €",Dia
Atún vegano,Gourmet Cazorla,Lata,2 x 80 g,"3,59 €",Dia
Trozos de bonito del Norte MSC,Mari Marinera,Lata,3 x 52 g,"2,95 €",Dia
Atún claro en aceite de girasol,Albo,Lata,3 x 48 g,"3,49 €",Dia
Atún natural,Consorcio,Lata,105 g,"4,65 €",Dia
Atún en aceite de oliva,Consorcio,Lata,100 g,"4,65 €",Dia
Bonito del norte en aceite de oliva,Consorcio,Lata,73 g,"2,95 €",Dia
Atún claro en aceite de oliva eco MSC,Rianxeira,Lata,3 x 52 g,"3,75 €",Dia
Atún claro en aceite de oliva MSC,Frinsa,Lata,82 g,"2,59 €",Dia
Bonito en aceite de oliva MSC,Frinsa,Lata,73 g,"3,29 €",Dia
Atún claro al natural,Calvo,Lata,6 x 56 g,"6,69 €",Dia
Atún claro en aceite de oliva,Calvo,Lata,6 x 52 g,"7,59 €",Dia
Filetes de caballa en aceite de oliva,Tejero,Lata,80 g,"2,29 €",Dia
Atún claro en aceite de girasol,Mari Marinera,Lata,3 x 56 g,"2,55 €",Dia
Atún claro en aceite de oliva bajo en sal,Mari Marinera,Lata,3 x 60 g,"3,10 €",Dia
Atún claro en aceite de oliva,Mari Marinera,Lata,3 x 60 g,"3,15 €",Dia
Atún claro en aceite de oliva virgen extra,Mari Marinera,Lata,3 x 52 g,"3,19 €",Dia
Bonito en escabeche,Mari Marinera,Lata,73 g,"1,79 €",Dia
Bonito del norte en aceite de oliva MSC,Campos,Lata,60 g,"1,90 €",Dia
Filetes de caballa en aceite de oliva bajo en sal,Calvo,Lata,82 g,"2,39 €",Dia
Filetes de caballa en aceite de oliva virgen al grill,Isabel,Lata,120 g,"3,35 €",Dia
Atún claro en aceite de oliva,Cuca,Lata,3 x 48 g,"4,39 €",Dia
Atún claro en aceite de oliva ligero,Calvo,Lata,3 x 56 g,"4,29 €",Dia
Atún en aceite de oliva,Mari Marinera,Lata,78 g,"1,59 €",Dia
Atún claro en aceite de oliva,Albo,Lata,67 g,"2,39 €",Dia
Bonito del norte en aceite de oliva,Albo,Lata,67 g,"2,89 €",Dia
Atún claro en aceite de girasol,Campos,Lata,104 g,"2,20 €",Dia
Atún de almadraba en aceite de oliva,Tejero,Lata,3 x 52 g,"2,99 €",Dia
Atún claro en aceite de oliva,Albo,Pack,3 x 48 g,"4,85 €",Dia
Atún en tomate,Mari Marinera,Lata,3 x 52 g,"2,25 €",Dia
Atún en aceite girasol,Isabel,Lata,3 x 52 g,"3,19 €",Dia
