producto,marca,formato,cantidad,precio,supermercado
Azúcar blanco,Hacendado,Paquete,1 kg,"1,45 €",Mercadona
Azúcar blanco en sobres,Hacendado,Caja,50 sticks (350 g),"1,55 €",Mercadona
Azúcar moreno de caña,Hacendado,Paquete,1 kg,"1,95 €",Mercadona
Azúcar moreno de caña en sobres,Hacendado,Caja,50 sobres (350 g),"1,60 €",Mercadona
Panela azúcar moreno de caña integral,Hacendado,Paquete,500 g,"1,95 €",Mercadona
Azúcar glas,Hacendado,Bote,500 g,"2,60 €",Mercadona
Edulcorante líquido sacarina,Hacendado,Bote,150 ml,"0,85 €",Mercadona
Edulcorante en pastillas sacarina,Hacendado,Bote,850 pastillas (52 g),"1,15 €",Mercadona
Edulcorante en sobres sacarina,Hacendado,Caja,60 sobres (60 g),"1,15 €",Mercadona
Sirope de agave,Hacendado,Bote,350 g,"2,60 €",Mercadona
Edulcorante líquido stevia,Hacendado,Bote,150 ml,"2,05 €",Mercadona
Edulcorante granulado stevia,Hacendado,Bote,200 g,"3,10 €",Mercadona
Edulcorante en pastillas stevia,Hacendado,Bote,175 pastillas (9 g),"1,85 €",Mercadona
Edulcorante en sobres stevia,Hacendado,Caja,54 sobres (54 g),"2,00 €",Mercadona
Edulcorante Eritritol y Sucralosa,Hacendado,Bote,200 g,"3,20 €",Mercadona
