producto,marca,formato,cantidad,precio,supermercado
Batido de cacao,Dia,Brik,  6 x 200 ml,"1,39 €",Dia
Batido al cacao,Dia,Botella,1 l,"1,19 €",Dia
Batido de chocolate  Láctea,Dia,Brik,6 x 200 ml,"1,40 €",Dia
Horchata,Dia,Botella,1 l,"1,20 €",Dia
Batido de fresa  lactea,Dia,Brik,6 x 200 ml,"1,59 €",Dia
Batido de vainilla  lactea,Dia,Brik,6 x 200 ml,"1,59 €",Dia
Batido de chocolate,Puleva,Brik,6 x 200 ml,"2,75 €",Dia
Batido de chocolate,Cacaolat,Botella,1 l,"2,40 €",Dia
Horchata,Chufi,Botella,1 l,"1,89 €",Dia
Horchata,Dia,Brik,3 x 200 ml,"1,39 €",Dia
Chocolate a la taza,Ram,Brik,1 l,"2,60 €",Dia
Bebida de chufa sin azúcares añadidos,Dia,Brik,1 l,"1,55 €",Dia
Batido de chocolate,Cacaolat,Botella,1 L  1 l,"2,50 €",Dia
Batido de chocolate sin lactosa,Puleva,Brik,6 x 200 ml,"2,99 €",Dia
Horchata premium,Or xata,Brik,1 l,"1,79 €",Dia
Batido de chocolate,Cacaolat,Botella,4 x 200 ml,"2,66 €",Dia
Batido de chocolate,Puleva,Botella,1 l,"2,05 €",Dia
Batido de chocolate enriquecido con proteínas,Valio,Botella,260 g,"2,25 €",Dia
Batido de cacao energy Colacao,ColaCao,Botella,4 x 188 ml,"2,67 €",Dia
Batido de chocolate shake,ColaCao,Vaso,200 ml,"1,56 €",Dia
Leche merengada canela y limón,Dia,Botella,1 l,"1,65 €",Dia
