producto,marca,formato,cantidad,precio,supermercado
Papilla crema de bechamel con lenguado  +8 meses,Hero baby,Tarrito,235 g,"1,70 €",Mercadona
Papilla verduritas con merluza  +6 meses,Hero baby,Tarrito,235 g,"1,70 €",Mercadona
Papilla verduritas con pollo y ternera  +6 meses,Hero baby,Tarrito,235 g,"1,70 €",Mercadona
Papilla arroz con pollo  +6 meses,Hero baby,Tarrito,235 g,"1,70 €",Mercadona
Papilla verduritas con pollo  buenas noches +6 meses,Hero baby,Tarrito,2 tarritos x 190 g,"3,00 €",Mercadona
Papilla verduritas con delicias de pavo  natur +6 meses,Hero baby,Tarrito,235 g,"1,70 €",Mercadona
Papilla zanahorias baby con ternera  +6 meses,Hero baby,Tarrito,235 g,"1,70 €",Mercadona
Papilla zanahorias con arroz en caldito de pollo  +6 meses,Hero baby,Tarrito,235 g,"1,70 €",Mercadona
Papilla lentejas con verduritas  recetas caseras +8 meses,Hero baby,Tarrito,2 tarritos x 190 g,"3,00 €",Mercadona
Papilla guisantes con jamón  +6 meses,Hacendado,Tarrito,235 g,"1,40 €",Mercadona
Papilla fresa y plátano +8 meses,Hacendado,Tarrito,1 ud. (120 g),"0,90 €",Mercadona
Papilla fruta variada +6 meses,Hacendado,Tarrito,1 ud. (120 g),"0,90 €",Mercadona
Papilla plátano y manzana +6 meses,Hacendado,Tarrito,1 ud. (120 g),"0,90 €",Mercadona
Papilla fruta variada +4 meses,Hacendado,Tarrito,4 tarritos x 130 g,"2,75 €",Mercadona
Papilla cuatro frutas con avena +8 meses,Hacendado,Tarrito,4 tarritos x 130 g,"2,75 €",Mercadona
"Papilla plátano, mandarina y pera +4 meses",Hacendado,Tarrito,4 tarritos x 130 g,"2,75 €",Mercadona
Papilla pera y manzana +4 meses,Hacendado,Tarrito,4 tarritos x 130 g,"2,75 €",Mercadona
"Papilla plátano, fresa, arándanos y avena +8 meses",Hacendado,Tarrito,1 ud. (120 g),"0,90 €",Mercadona
Papilla tres frutas con yogur +8 meses,Hacendado,Tarrito,4 tarritos x 130 g,"2,75 €",Mercadona
Postre lácteo infantil de fresa y plátano  +8 meses,Hacendado,Tarrito,1 ud. (100 g),"0,85 €",Mercadona
Postre lácteo infantil de pera  +8 meses,Hacendado,Tarrito,1 ud. (100 g),"0,85 €",Mercadona
Postre lácteo infantil de fresa  +8 meses,Yogolino,Tarrito,4 ud. x 100 g,"2,95 €",Mercadona
Yogur líquido infantil con cereales y miel  +8 meses,Go-Lácteo,Caja,4 ud. (360 g),"3,05 €",Mercadona
Postre lácteo infantil de plátano  +6 meses,Yogolino,Tarrito,4 ud. x 100 g,"2,95 €",Mercadona
Postre lácteo infantil de natillas  +6 meses,Yogolino,Tarrito,4 ud. x 100 g,"3,35 €",Mercadona
Postre lácteo infantil de galleta  +8 meses,Hacendado,Tarrito,1 ud. (100 g),"0,85 €",Mercadona
Preparado lácteo crecimiento Peques 3,Puleva,Brick,6 bricks x 1 L,"10,50 €",Mercadona
Preparado lácteo crecimiento Peques 3,Puleva,Brick,1 L,"1,75 €",Mercadona
Preparado lácteo con cereales crecimiento Peques 3,Puleva,Brick,6 bricks x 1 L,"10,50 €",Mercadona
Preparado lácteo con cereales crecimiento Peques 3,Puleva,Brick,1 L,"1,75 €",Mercadona
Preparado lácteo crecimiento +1 año,Hacendado,Brick,6 bricks x 1 L,"7,50 €",Mercadona
Preparado lácteo crecimiento +1 año,Hacendado,Brick,1 L,"1,25 €",Mercadona
Preparado lácteo crecimiento +1 año,Hacendado,Brick,6 mini bricks x 200 ml,"1,95 €",Mercadona
Preparado lácteo cereales al cacao Peques 3,Puleva,Brick,3 mini bricks x 200 ml,"1,75 €",Mercadona
Preparado lácteo con cacao y cereales crecimiento  +1 año,Hacendado,Brick,6 mini bricks x 200 ml,"2,20 €",Mercadona
Preparado lácteo con cereales crecimiento  +1 año,Hacendado,Brick,6 bricks x 1 L,"9,00 €",Mercadona
Preparado lácteo con cereales crecimiento  +1 año,Hacendado,Brick,1 L,"1,50 €",Mercadona
Leche para lactantes en polvo 1 Nativa,Nestlé,Bote,800 g,"11,90 €",Mercadona
Leche de continuación en polvo 2 Nativa,Nestlé,Bote,800 g,"11,90 €",Mercadona
Leche para lactantes en polvo 1 Nidina,Nestlé,Bote,800 g,"14,95 €",Mercadona
Leche de continuación en polvo 2 Nidina,Nestlé,Bote,800 g,"17,95 €",Mercadona
Leche crecimiento en polvo 3 Nidina,Nestlé,Bote,800 g,"17,95 €",Mercadona
Papilla 8 cereales  +6 meses,Nestlé,Caja,725 g,"5,45 €",Mercadona
Papilla 8 cereales con galleta María  +6 meses,Nestlé,Caja,725 g,"5,45 €",Mercadona
Papilla 8 cereales con miel  +6 meses,Nestlé,Caja,725 g,"5,45 €",Mercadona
Papilla 8 cereales con miel  +6 meses,Hero baby,Caja,410 g,"3,90 €",Mercadona
Papilla 8 cereales  +6 meses,Hero baby,Caja,410 g,"3,90 €",Mercadona
Papilla sin gluten crema de arroz  +4 meses,Hero baby,Caja,220 g,"2,95 €",Mercadona
Papilla 8 cereales con galleta  +6 meses,Hero baby,Caja,340 g,"3,60 €",Mercadona
