producto,marca,formato,cantidad,precio,supermercado
Bebida de avena con calcio,Vegedia,Brik,1 l,"0,99 €",Dia
Bebida de almendras sin azúcar,Alpro,Brik,1 l,"1,99 €",Dia
Bebida de avena,Vegedia,Brik,1 l,"0,99 €",Dia
Bebida de avena sin azúcar,Alpro,Brik,1 l,"1,99 €",Dia
Bebida de almendras,Vegedia,Brik,  1 l,"1,35 €",Dia
Bebida de avena,Vegedia,Brik,  1 l,"0,89 €",Dia
Bebida de soja con calcio,Vegedia,Brik,1 l,"0,89 €",Dia
Bebida de soja,Vegedia,Brik,  1 l,"0,89 €",Dia
Bebida de soja  Vital,Dia,Brik,1 l,"0,70 €",Dia
Bebida de arroz,Vegedia,Brik,1 l,"0,99 €",Dia
Bebida de almendras,Alpro,Brik,1 l,"1,99 €",Dia
Bebida de avena sin azúcar,Alpro,Brik,1 l,"1,99 €",Dia
Bebida de avena,Yosoy,Brik,1 l,"1,59 €",Dia
Bebida de almendras sin azúcar,Alpro,Brik,1 l,"1,99 €",Dia
Bebida de soja  Vivesoy,Pascual,Brik,1 l,"1,89 €",Dia
Bebida de avena  Vivesoy,Pascual,Brik,1 l,"1,89 €",Dia
Bebida de avena,Alpro,Brik,1 l,"1,99 €",Dia
Bebida de soja ligera,Alpro,Brik,1 l,"1,99 €",Dia
Bebida de soja ligera sin azúcar  Vivesoy,Pascual,Brik,1 l,"1,99 €",Dia
