producto,marca,formato,cantidad,precio,supermercado
Cacao soluble,Temptation,Bote,900 g,"3,29 €",Dia
Cacao soluble instantáneo,Nesquik,Bote,390 g,"3,29 €",Dia
Cacao soluble,ColaCao,Bote,383 g,"3,79 €",Dia
Cacao soluble,Temptation,Bote,500 g,"2,30 €",Dia
Cacao soluble instantáneo,Temptation,Bote,800 g,"3,85 €",Dia
Cacao soluble,ColaCao,Caja,2.5 Kg,"15,99 €",Dia
Cacao instantáneo,Nesquik,Bolsa,1.2 Kg,"7,29 €",Dia
Cacao soluble,Temptation,Bote,  325 g,"2,42 €",Dia
Cacao en polvo,Dia,Bolsa,400 g,"1,80 €",Dia
Cacao puro,Valor,Bote,  250 g,"4,29 €",Dia
Cacao soluble,ColaCao,Bote,1.2 Kg,"9,49 €",Dia
Cacao soluble,ColaCao,Bote,  325 g,"4,29 €",Dia
Cacao soluble,Temptation,Bolsa,1.5 Kg,"5,99 €",Dia
Cacao soluble,ColaCao,Bote,760 g,"6,49 €",Dia
Cacao puro en polvo,Valor,Bote,250 g,"4,29 €",Dia
Cacao soluble instantáneo,Nesquik,Lata,700 g,"5,59 €",Dia
Cacao instantáneo,Nesquik,Estuche,2 Kg,"9,99 €",Dia
Cacao soluble original,ColaCao,Caja,4.45 Kg,"24,99 €",Dia
Cacao soluble Patrulla Canina Bombón Sport,Lacasa,Bolsa,1 Kg,"5,99 €",Dia
Cacao soluble instantáneo turbo,ColaCao,Bote,750 g,"6,49 €",Dia
Cacao soluble instantáneo,Nesquik,Bote,  320 g,"4,29 €",Dia
Cacao soluble intenso,Nesquik,Bote,  300 g,"4,25 €",Dia
Cacao soluble instantáneo extra choc,Nesquik,Bote,390 g,"3,79 €",Dia
Cacao soluble instantáneo noche,Nesquik,Bote,400 g,"4,29 €",Dia
