producto,marca,formato,cantidad,precio,supermercado
Café molido mezcla,Cafetería,Bolsa,2 x 250 g,"3,50 €",Dia
Café molido natural,Cafetería,Bolsa,2 x 250 g,"3,70 €",Dia
Café soluble natural,Nescafé,Frasco,200 g,"6,65 €",Dia
Café en cápsulas espresso intenso  Dolce Gusto,Nescafé,Caja,16 unidades,"4,25 €",Dia
Café con leche en cápsulas  Dolce Gusto,Nescafé,Caja,16 unidades,"4,25 €",Dia
Café en cápsulas espresso intenso,Arom'arte,Caja,20 unidades,"3,79 €",Dia
Café soluble clásico,Cafetería,Frasco,200 g,"3,05 €",Dia
Café en cápsulas espresso Colombia,L'Or,Caja,20 unidades,"8,95 €",Dia
Café molido natural,Bonka,Paquete,250 g,"3,19 €",Dia
Café en cápsulas espresso fuerte,Saimaza,Caja,20 unidades,"4,99 €",Dia
Café soluble descafeinado,Cafetería,Frasco,200 g,"3,55 €",Dia
Café molido mezcla,Saimaza,Bolsa,250 g,"2,95 €",Dia
Café con leche en cápsulas,Cafetería,Caja,16 unidades,"3,49 €",Dia
Café molido mezcla descafeinado,Cafetería,Paquete,250 g,"1,85 €",Dia
Café molido natural descafeinado,Cafetería,Paquete,250 g,"1,85 €",Dia
Café molido mezcla gran aroma,Marcilla,Bolsa,250 g,"3,45 €",Dia
Café molido mezcla intensa,La estrella,Bolsa,250 g,"2,75 €",Dia
Café en cápsulas espresso extra intenso,Arom'arte,Caja,20 unidades,"3,79 €",Dia
Café en cápsulas intenso,Cafetería,Caja,16 unidades,"3,49 €",Dia
Café molido natural,Saimaza,Bolsa,250 g,"2,95 €",Dia
Café en cápsulas espresso descafeinado,Arom'arte,Caja,20 unidades,"3,79 €",Dia
Café en cápsulas espresso fortissimo,Arom'arte,Caja,20 unidades,"3,79 €",Dia
Café soluble cappuccino,Nescafé,Bote,250 g,"4,49 €",Dia
Café molido natural Colombia,Arom'arte,Bolsa,250 g,"3,95 €",Dia
Café soluble liofilizado aroma,Cafetería,Frasco,100 g,"2,99 €",Dia
Café soluble natural,Nescafé,Bolsa,75 g,"2,75 €",Dia
Café molido mezcla créme express,Marcilla,Bolsa,250 g,"3,99 €",Dia
Café molido natural créme express,Marcilla,Bolsa,250 g,"3,99 €",Dia
Café soluble descafeinado,Nescafé,Bolsa,75 g,"2,75 €",Dia
Café en cápsulas South Asia  Farmers Origins,Nescafé,Caja,10 unidades,"3,69 €",Dia
Café en cápsulas Andes  Farmers Origins,Nescafé,Caja,10 unidades,"3,69 €",Dia
Café en cápsulas espresso intenso descafeinado  Dolce Gusto,Nescafé,Caja,30 unidades,"7,75 €",Dia
Café en cápsulas espresso sontuoso,L'Or,Caja,20 unidades,"7,89 €",Dia
Café molido mezcla,Saimaza,Bolsa,500 g,"5,75 €",Dia
Café molido ecológico suave,Mascaf,Bolsa,250 g,"2,95 €",Dia
Café en grano especial,Mascaf,Bolsa,1 Kg,"7,99 €",Dia
Café en cápsulas espresso arábica,Segafredo,Caja,10 unidades,"3,69 €",Dia
Café en cápsulas espresso clásico,Segafredo,Caja,10 unidades,"3,69 €",Dia
Café en cápsulas Brasil  Farmers Origins,Nescafé,Caja,10 unidades,"3,69 €",Dia
Café molido natural Colombia,Marcilla,Bolsa,200 g,"4,49 €",Dia
Café en grano natural,Marcilla,Bolsa,500 g,"7,99 €",Dia
Café en cápsulas Colombia descafeinado  Farmers Origins,Nescafé,Caja,10 unidades,"3,69 €",Dia
Café en cápsulas Africas  Farmers Origins,Nescafé,Caja,10 unidades,"3,69 €",Dia
Café en cápsulas India  Farmers Origins,Nescafé,Caja,10 unidades,"3,95 €",Dia
Café en cápsulas espresso Colombia,Arom'arte,Caja,10 unidades,"2,09 €",Dia
Café en cápsulas espresso Brasil,Arom'arte,Caja,10 unidades,"2,09 €",Dia
Café en cápsulas espresso ristretto,Arom'arte,Caja,20 unidades,"3,79 €",Dia
Café en cápsulas espresso ristretto descafeinado,L'Or,Caja,20 unidades,"7,89 €",Dia
Café en cápsulas espresso roast,Starbucks,Caja,10 unidades,"4,25 €",Dia
Café en cápsulas espresso ristretto,Marcilla,Caja,20 unidades,"5,99 €",Dia
Café en cápsulas espresso intenso,Marcilla,Caja,20 unidades,"5,99 €",Dia
Café en cápsulas espresso descafeinado,Marcilla,Caja,20 unidades,"5,99 €",Dia
Café con leche en cápsulas  Dolce Gusto,Nescafé,Caja,30 unidades,"7,75 €",Dia
Café molido natural,Marcilla,Bolsa,500 g,"6,39 €",Dia
Café en cápsulas espresso ristretto,L'Or,Caja,20 unidades,"7,89 €",Dia
Café en cápsulas espresso descafeinado,Saimaza,Caja,20 unidades,"4,99 €",Dia
Café con leche en cápsulas intenso  Dolce Gusto,Nescafé,Caja,16 unidades,"4,89 €",Dia
Café en cápsulas espresso ristretto,L'Or,Caja,10 unidades,"3,99 €",Dia
Café en cápsulas espresso Colombia,L'Or,Caja,10 unidades,"4,49 €",Dia
Café en cápsulas espresso onyx,L'Or,Caja,10 unidades,"4,09 €",Dia
Café en cápsulas espresso ristretto descafeinado,L'Or,Caja,10 unidades,"3,99 €",Dia
Café en cápsulas espresso sontuoso,L'Or,Caja,10 unidades,"3,99 €",Dia
Café soluble descafeinado,Nescafé,Frasco,200 g,"6,65 €",Dia
Café soluble descafeinado,Cafetería,Frasco,100 g,"2,15 €",Dia
Café con leche en cápsulas,Marcilla,Caja,16 unidades,"5,99 €",Dia
Café en cápsulas espresso,Marcilla,Caja,16 unidades,"5,29 €",Dia
Café en cápsulas lungo,L'Or,Caja,16 unidades,"6,59 €",Dia
Café molido mezcla intensa,La estrella,Bolsa,2 x 250 g,"4,95 €",Dia
Café molido natural,Toscaf,Bolsa,250 g,"2,65 €",Dia
Café molido natural intenso,Toscaf,Bolsa,250 g,"2,65 €",Dia
Café en cápsulas lungo,Cafetería,Caja,16 unidades,"3,49 €",Dia
Café con leche en cápsulas descafeinado  Dolce Gusto,Nescafé,Caja,16 unidades,"4,89 €",Dia
Café molido mezcla gran aroma,Marcilla,Bolsa,500 g,"6,39 €",Dia
Café en cápsulas ristretto  Dolce Gusto,Nescafé,Caja,16 unidades,"4,89 €",Dia
Café molido natural descafeinado,Saimaza,Paquete,250 g,"3,39 €",Dia
Café molido natural descafeinado gran aroma,Marcilla,Caja,200 g,"3,99 €",Dia
Café molido mezcla descafeinado,Marcilla,Caja,200 g,"3,99 €",Dia
Cereales solubles ecológicos,Eko,Bote,150 g,"3,59 €",Dia
Café soluble crema,Cafetería,Frasco,100 g,"2,89 €",Dia
Café cortado en cápsulas,Cafetería,Caja,16 unidades,"3,49 €",Dia
Café en cápsulas descafeinado,Cafetería,Caja,16 unidades,"3,49 €",Dia
Café en cápsulas grande intenso  Dolce Gusto,Nescafé,Caja,16 unidades,"4,89 €",Dia
Café molido mezcla descafeinado,La estrella,Paquete,250 g,"3,59 €",Dia
Café molido natural crema e gusto,Lavazza,Bolsa,250 g,"3,45 €",Dia
Café soluble natural,Nescafé,Frasco,100 g,"4,30 €",Dia
Café soluble descafeinado,Nescafé,Caja,20 g,"1,20 €",Dia
Café soluble descafeinado,Nescafé,Frasco,100 g,"4,30 €",Dia
Café en cápsulas ristretto bonka  Dolce Gusto,Nescafé,Caja,16 unidades,"4,89 €",Dia
Café en cápsulas fuerte gran aroma,Marcilla,Caja,28 unidades,"4,85 €",Dia
Café molido natural,Lavazza,Bolsa,250 g,"4,25 €",Dia
Café cappuccino,Cafetería,Caja,125 g,"1,90 €",Dia
Café molido natural gran aroma,Marcilla,Bolsa,250 g,"3,45 €",Dia
Café soluble,Nescafé,Bolsa,  180 g,"2,99 €",Dia
Café en cápsulas cortado  Dolce Gusto,Nescafé,Caja,16 unidades,"4,25 €",Dia
Café en grano natural,Cafetería,Bolsa,500 g,"4,79 €",Dia
Café en grano natural,Toscaf,Bolsa,500 g,"5,65 €",Dia
Café molido descafeinado,Bonka,Paquete,250 g,"4,29 €",Dia
Café molido mezcla,Bonka,Paquete,250 g,"3,39 €",Dia
Cereales solubles,Cafetería,Bote,200 g,"2,75 €",Dia
Café en cápsulas espresso intenso descafeinado  Dolce Gusto,Nescafé,Caja,16 unidades,"4,25 €",Dia
