producto,marca,formato,cantidad,precio,supermercado
Chicles menta fuerte gragea,Hacendado,Paquete,32 chicles (45 g),"1,00 €",Mercadona
Chicles menta fuerte gragea,Hacendado,Bote,70 chicles (100 g),"1,95 €",Mercadona
Chicles hierbabuena gragea,Hacendado,Paquete,32 chicles (45 g),"1,00 €",Mercadona
Chicles hierbabuena gragea,Hacendado,Bote,70 chicles (100 g),"1,95 €",Mercadona
Chicles hierbabuena lámina,Hacendado,Paquete,12 chicles (31 g),"1,00 €",Mercadona
Chicles menta suave gragea,Hacendado,Paquete,32 chicles (45 g),"1,00 €",Mercadona
Chicles fresa gragea,Hacendado,Paquete,32 chicles (45 g),"1,00 €",Mercadona
Chicles fresa gragea,Hacendado,Bote,70 chicles (100 g),"1,95 €",Mercadona
Chicles original sabor frutas gragea,Hacendado,Paquete,32 chicles (45 g),"1,00 €",Mercadona
Chicles sandía lámina,Hacendado,Paquete,12 chicles (31 g),"1,00 €",Mercadona
Chicles XXL gragea,Hacendado,Paquete,25 chicles (100 g),"1,80 €",Mercadona
Chicles jengibre gragea,Hacendado,Paquete,32 chicles (45 g),"1,25 €",Mercadona
Chicles Melones ácidos,Hacendado,Paquete,100 g,"1,15 €",Mercadona
Caramelos nata  0% azúcares,Hacendado,Paquete,90 g,"1,15 €",Mercadona
Caramelos café  0% azúcares,Hacendado,Paquete,90 g,"1,15 €",Mercadona
Caramelos sabor eucalipto y mentol  0% azúcares,Hacendado,Paquete,90 g,"1,05 €",Mercadona
Caramelos eucaliptus mentol Respiral,Halls,Paquete,150 g,"1,95 €",Mercadona
Caramelos cítricos mix,Halls,Paquete,4 paquetes x 32 g,"2,60 €",Mercadona
Caramelos limón mentol Respiral,Halls,Paquete,150 g,"1,95 €",Mercadona
Caramelos original,Halls,Paquete,4 paquetes x 32 g,"2,60 €",Mercadona
Caramelos blandos Fruits,Hacendado,Paquete,300 g,"1,50 €",Mercadona
Caramelos miel sabor limón,Pifarré,Paquete,125 g,"1,15 €",Mercadona
Caramelos con palo 4 sabores,Chupa Chups,Paquete,12 ud. (144 g),"1,95 €",Mercadona
Caramelos regaliz mentol Respiral,Halls,Paquete,150 g,"1,95 €",Mercadona
Caramelos jengibre y própolis  0% azúcares,Hacendado,Paquete,90 g,"1,35 €",Mercadona
Caramelos Mix Fruits  0% azúcares,Hacendado,Paquete,100 g,"1,20 €",Mercadona
Caramelos con palo Cherry Stick  con chicle sabor cereza,Hacendado,Paquete,7 ud. (105 g),"1,30 €",Mercadona
Caramelos sabor eucalipto y mentol  extra forte,Hacendado,Paquete,150 g,"1,25 €",Mercadona
Caramelos blandos rellenos Fruits,Hacendado,Paquete,300 g,"2,30 €",Mercadona
