producto,marca,formato,cantidad,precio,supermercado
Chocolate negro 85% cacao,Hacendado,Tableta,100 g,"1,25 €",Mercadona
Chocolate negro fundir,Hacendado,Tableta,200 g,"1,45 €",Mercadona
Porciones de Chocolate negro 72% cacao extrafino,Hacendado,Paquete,200 g,"2,35 €",Mercadona
Chocolate 70% negro  0% azúcares añadidos,Valor,Tableta,100 g,"2,00 €",Mercadona
Chocolate negro 72% de cacao  con pepitas de cacao caramelizadas,Hacendado,Tableta,100 g,"1,45 €",Mercadona
Chocolate negro 72% de cacao,Hacendado,Tableta,100 g,"1,05 €",Mercadona
Chocolate negro 55% cacao  con almendras,Hacendado,Tableta,200 g,"1,60 €",Mercadona
Chocolate puro,Valor,Tableta,300 g,"3,80 €",Mercadona
Chocolate puro  con almendras enteras,Valor,Tableta,250 g,"3,45 €",Mercadona
Chocolate negro relleno de mousse,Hacendado,Tableta,140 g,"1,85 €",Mercadona
Chocolate puro  con almendras enteras,Valor,Tableta,150 g,"3,25 €",Mercadona
Chocolatinas de chocolate negro  49% rellenas de crema sabor a menta,Royal Mints,Caja,200 g,"1,60 €",Mercadona
Gotas de chocolate negro para fundir,Hacendado,Paquete,250 g,"2,00 €",Mercadona
Chocolate negro 72% de cacao  con almendras enteras,Hacendado,Tableta,200 g,"2,15 €",Mercadona
Porciones de Chocolate negro 85% cacao extrafino,Hacendado,Paquete,200 g,"2,65 €",Mercadona
Chocolate negro 72% cacao  con trozos de naranja,Hacendado,Tableta,100 g,"1,40 €",Mercadona
Chocolate negro 85% cacao extrafino y edulcorante  0% azúcares añadidos,Hacendado,Tableta,100 g,"1,50 €",Mercadona
Chocolate negro 70% cacao fundir  0% azúcares añadidos,Hacendado,Tableta,200 g,"2,40 €",Mercadona
99% cacao negro,Hacendado,Tableta,100 g,"1,80 €",Mercadona
Chocolate negro 55% cacao,Hacendado,Tableta,150 g,"1,05 €",Mercadona
Chocolate con leche classic,Hacendado,Tableta,150 g,"1,05 €",Mercadona
Chocolate con leche extrafino,Nestlé,Tableta,125 g,"1,40 €",Mercadona
Chocolate con leche,Oreo Milka,Tableta,100 g,"1,55 €",Mercadona
Chocolate con leche,Milka,Tableta,150 g,"1,55 €",Mercadona
Chocolate extrafino con leche  almendras enteras,Hacendado,Tableta,200 g,"1,45 €",Mercadona
Chocolate con leche  almendras enteras,Valor,Tableta,250 g,"3,45 €",Mercadona
Chocolate con leche  avellanas troceadas,Hacendado,Tableta,150 g,"1,15 €",Mercadona
Chocolate extrafino con leche  0% azúcares añadidos,Hacendado,Tableta,125 g,"1,25 €",Mercadona
Chocolate con leche caramelo,Milka,Tableta,100 g,"1,55 €",Mercadona
Chocolate con leche  almendras enteras,Valor,Tableta,150 g,"3,25 €",Mercadona
Chocolate con leche  galleta,Milka,Tableta,300 g,"3,50 €",Mercadona
Chocolate con leche  almendras troceadas,Hacendado,Tableta,150 g,"1,15 €",Mercadona
Chocolate con leche Fussion  relleno crema de fresa,Hacendado,Tableta,110 g,"1,05 €",Mercadona
Fideos de chocolate,Hacendado,Paquete,100 g,"1,45 €",Mercadona
Chocolate con leche fundir,Hacendado,Tableta,200 g,"1,60 €",Mercadona
"Chocolate con leche Fussion  relleno cremoso, avellanas y barquillo crujiente",Hacendado,Tableta,100 g,"1,05 €",Mercadona
Chocolate con leche Fussion  relleno de galleta caramelizada,Hacendado,Tableta,110 g,"1,05 €",Mercadona
Chocolate extrafino con leche Fussion  con galletas animadas,Hacendado,Tarrina,125 g,"1,15 €",Mercadona
Chocolate blanco,Hacendado,Tableta,100 g,"0,75 €",Mercadona
Chocolate blanco fundir,Hacendado,Tableta,200 g,"1,60 €",Mercadona
Chocolate blanco Fussion  galletas al cacao,Hacendado,Tableta,100 g,"1,00 €",Mercadona
Chocolate blanco Fussion  relleno con cremoso de coco y almendras troceadas,Hacendado,Tableta,100 g,"1,05 €",Mercadona
Barritas de barquillo  bañadas de chocolate con leche,Huesitos,Paquete,10 ud. (200 g),"2,45 €",Mercadona
Barritas de chocolate con leche  rellenas de leche,Hacendado,Paquete,16 ud. (200 g),"1,95 €",Mercadona
Barritas de barquillo  bañadas de chocolate con leche,Kit-Kat,Paquete,5 ud. (208 g),"3,00 €",Mercadona
Barritas de barquillo,Tokke original,Paquete,3 ud. (141 g),"1,30 €",Mercadona
Disquitos  de chocolate con leche coloreados,Pintarolas,Paquete,200 g,"1,50 €",Mercadona
Cacahuetes  chocolate negro,Hacendado,Paquete,250 g,"2,00 €",Mercadona
Cacahuetes  chocolate con leche,Hacendado,Paquete,250 g,"2,00 €",Mercadona
Barritas de galleta y caramelo  bañadas de chocolate con leche,Hacendado,Paquete,5 ud. (200 g),"1,50 €",Mercadona
Cacahuetes Chocoiris  bañados de chocolate con leche coloreados,Hacendado,Paquete,180 g,"1,75 €",Mercadona
Huevos de chocolate  dibujo,Hacendado,,3 ud. x 20 g,"1,65 €",Mercadona
