producto,marca,formato,cantidad,precio,supermercado
Maíz dulce,Vegecampo,Lata,3 x 140 g,"1,79 €",Dia
Judías verdes cortadas categoría extra,Vegecampo,Frasco,360 g,"1,35 €",Dia
Alubias blancas extra,Vegecampo,Frasco,400 g,"0,75 €",Dia
Champiñones laminados,Vegecampo,Lata,185 g,"1,00 €",Dia
Espárragos blancos medianos extra,Vegecampo,Frasco,205 g,"2,00 €",Dia
Pimientos del piquillo en tiras con ajo,Vegecampo,Frasco,225 g,"1,15 €",Dia
Champiñón laminado,Vegecampo,Lata,3 x 105 g,"2,35 €",Dia
Judías verdes redondas,Vegecampo,Frasco,360 g,"1,35 €",Dia
Espárragos blancos muy gruesos,Vegecampo,Frasco,6/9 piezas   325 g,"3,00 €",Dia
Corazones de alcachofa,Vegecampo,Lata,240 g,"1,85 €",Dia
Maíz dulce,Bonduelle,Lata,3 x 140 g,"2,62 €",Dia
Guisantes extra finos,Bonduelle,Frasco,465 g,"3,99 €",Dia
Macedonia de verdura,Vegecampo,Frasco,325 g,"0,95 €",Dia
Guisantes muy finos,Vegecampo,Lata,3 x 140 g,"2,39 €",Dia
Guisantes muy finos,Vegecampo,Lata,250 g,"0,89 €",Dia
Pimientos del piquillo enteros al natural,Vegecampo,Frasco,260 g,"1,45 €",Dia
Zanahoria en tiras,Vegecampo,Frasco,180 g,"0,95 €",Dia
Corazones de alcachofas,Vegecampo,Frasco,115 g,"1,69 €",Dia
Remolacha en rodajas,Vegecampo,Frasco,180 g,"0,99 €",Dia
Ensalada china,Vegecampo,Frasco,180 g,"1,19 €",Dia
Pimientos asados en tiras,Joyas del valle,Lata,3 x 60 g,"1,95 €",Dia
Espárragos blancos cortos y delgados,Vegecampo,Frasco,110 g,"1,55 €",Dia
Acelgas,Vegecampo,Frasco,425 g,"1,75 €",Dia
Yemas de espárragos gruesos,Carretilla,Lata,135 g,"3,89 €",Dia
Guisantes muy finos,Bonduelle,Lata,3 x 140 g,"2,69 €",Dia
Coliflor natural,Ybarra,Frasco,400 g,"1,95 €",Dia
Espárragos blancos extra calibre grueso,Carretilla,Frasco,8/12 piezas   205 g,"3,49 €",Dia
Judión cocido,Legumbres La Asturiana,Frasco,400 g,"2,55 €",Dia
Cardo,Vegecampo,Frasco,400 g,"1,70 €",Dia
Guisantes con zanahorias,Vegecampo,Lata,3 x 130 g,"2,49 €",Dia
Brotes de soja,Bonduelle,Lata,3 x 90 g,"3,39 €",Dia
Maíz dulce sin azúcar añadido,Bonduelle,Lata,150 g,"1,39 €",Dia
Berenjena seca en aceite,Emperatriz,Frasco,80 g,"2,15 €",Dia
Mixto de verduras en aceite,Emperatriz,Frasco,90 g,"2,15 €",Dia
Berenjena de Almagro aliñada,Calzado,Frasco,200 g,"2,49 €",Dia
Espárragos verdes medios,Celorrio,Frasco,9/16 piezas   180 g,"2,65 €",Dia
Corazones de berenjena,Antonio,Frasco,300 g,"2,95 €",Dia
Brotes de soja verde,Diamir,Frasco,180 g,"1,39 €",Dia
Remolacha en tiras,Rioverde,Frasco,180 g,"1,09 €",Dia
Corazones de alcachofas,Carcar,Frasco,6/10   250 g,"3,95 €",Dia
Edamame,Gvtarra,Frasco,185 g,"2,69 €",Dia
Menestra de verduras,Dantza,Frasco,210 g,"2,49 €",Dia
Ensalada de pimientos del piquillo asados con atún,Alsur,Bandeja,275 g,"2,59 €",Dia
Alcachofas en aceite y especias en cuartos,Alsur,Bandeja,190 g,"2,45 €",Dia
"Ensalada con verduras asadas, aceitunas negras y especias",Medisalad,Lata,250 g,"2,39 €",Dia
"Ensalada tomate asado, pimiento verde y aceituna kalamata",Medisalad,Lata,250 g,"2,39 €",Dia
Berenjenas a la mediterránea,Bonduelle,Lata,375 g,"3,99 €",Dia
"Ratatouille con berenjena, calabacín y pimiento",Bonduelle,Lata,375 g,"3,99 €",Dia
Berenjena de almagro aliñada,Antonio,Lata,350 g,"2,89 €",Dia
Minialubias combinados,Luengo,Frasco,570 g,"1,45 €",Dia
Espárragos blancos,Destapa la Huerta,Frasco,6/9 piezas   325 g,"4,35 €",Dia
Surtido de setas,Destapa la Huerta,Frasco,156 g,"1,69 €",Dia
Espárragos blancos,Destapa la Huerta,Frasco,6/9 piezas   205 g,"2,99 €",Dia
Corazones de alcachofas aliñadas,Exito,Frasco,170 g,"1,99 €",Dia
Yemas de espárrago medianas,Destapa la Huerta,Frasco,110 g,"2,29 €",Dia
Habitas baby en aceite de oliva,Leyenda,Frasco,140 g,"3,29 €",Dia
Pepperoncini rellenos de queso,Vegecampo,Frasco,170 g,"3,99 €",Dia
Pimientos del piquillo rojos y verdes en tiras,Destapa la Huerta,Frasco,275 g,"1,80 €",Dia
Pimientos del piquillo asado a la parrilla,Destapa la Huerta,Frasco,295 g,"2,40 €",Dia
Pimiento de piquillo ecológico,Dantza,Frasco,195 g,"4,50 €",Dia
Pimientos del piquillo rojos y verdes,Bujanda,Frasco,220 g,"1,99 €",Dia
Maíz dulce,Bonduelle,Lata,3 x 70 g,"2,59 €",Dia
Guisantes tiernos y muy finos,Bonduelle,Lata,250 g,"1,64 €",Dia
Judías verdes extra finas,Bonduelle,Frasco,280 g,"3,99 €",Dia
Pimientos del piquillo enteros,Carretilla,Frasco,260 g,"2,95 €",Dia
Pimientos rojos,Diamir,Lata,3 x 60 g,"2,15 €",Dia
Zanahorias ralladas en tiras,Bonduelle,Frasco,580 g,"2,75 €",Dia
Yemas de espárragos baby,Casagrande,Frasco,110 g,"1,39 €",Dia
Cebolla frita,Hida,Lata,2 x 155 g,"2,49 €",Dia
Judías verdes cortadas en tiras,Gvtarra,frasco,350 g,"3,09 €",Dia
Cardo troceado,Gvtarra,Frasco,400 g,"3,45 €",Dia
Pimientos del piquillo enteros,Vegecampo,Lata,150 g,"1,49 €",Dia
Maíz ligero,Gigante Verde,Lata,2 x 140 g,"2,89 €",Dia
Judías verdes troceadas,Bonduelle,Frasco,360 g,"3,35 €",Dia
Remolacha en rodajas,Bonduelle,Frasco,305 g,"2,75 €",Dia
Espinacas,Ybarra,Frasco,425 g,"1,75 €",Dia
Champiñón mini,Bonduelle,Frasco,170 g,"2,59 €",Dia
Maíz bio,Bonduelle,Lata,2 x 140 g,"3,25 €",Dia
Yemas de espárragos muy gruesos,Vegecampo,Frasco,110 g,"1,99 €",Dia
Judión cocido extra,Vegecampo,Frasco,400 g,"1,65 €",Dia
Champiñones enteros,Vegecampo,Lata,185 g,"1,45 €",Dia
Maíz clásico,Gigante Verde,Lata,2 x 140 g,"2,79 €",Dia
Espárragos blancos extra,Ian,Lata,150 g,"2,99 €",Dia
Maíz dulce,Vegecampo,Lata,285 g,"1,15 €",Dia
Espárragos verdes delgados,Vegecampo,Frasco,100 g,"1,55 €",Dia
Espárragos blancos extra muy gruesos,Carretilla,Frasco,6/12 piezas   325 g,"4,79 €",Dia
