producto,marca,formato,cantidad,precio,supermercado
Caldo de pollo casero,Al Punto,Brik,1 l,"0,75 €",Dia
"Crema de zanahoria, calabaza y guisantes",Knorr,Brik,500 ml,"2,29 €",Dia
Caldo de cocido,Al Punto,Brik,1 l,"0,90 €",Dia
Crema de verduras de la huerta,Knorr,Sobre,500 ml,"2,29 €",Dia
Caldo casero de pollo,Gallina Blanca,Brik,  1 l,"2,20 €",Dia
Caldo casero de cocido,Gallina Blanca,Brik,  1 l,"2,20 €",Dia
Crema de calabaza,Al Punto,Brik,500 ml,"1,00 €",Dia
Crema de verduras,Al Punto,Brik,500 ml,"1,00 €",Dia
Crema de calabacín con queso,Al Punto,Brik,500 ml,"1,00 €",Dia
Caldo de pescado,Al Punto,Brik,1 l,"1,10 €",Dia
Caldo de pollo,Gallina Blanca,Brik,  2 x 1 l,"4,29 €",Dia
Caldo de verduras,Al Punto,Brik,1 l,"1,00 €",Dia
Caldo para paella,Al Punto,Brik,1 l,"2,10 €",Dia
Caldo casero de pollo y,Gallina Blanca,Brik,  1 l,"1,00 €",Dia
Caldo para paella de marisco,Gallina Blanca,Brik,1 l,"3,49 €",Dia
Caldo de cocido,Gallina Blanca,Brik,  2 x 1 l,"4,29 €",Dia
Caldo de carne,Cremlux,Brik,1 l,"1,00 €",Dia
Crema de verduras,Suquipa,Bote,500 g,"1,99 €",Dia
"Crema de zanahoria, calabaza y guisantes",Knorr,Brik,500 ml,"2,29 €",Dia
Crema de calabaza,Suquipa,Bote,500 g,"1,99 €",Dia
Caldo natural de cocido,Gallo,Brik,1 l,"1,99 €",Dia
Fumet de pescado,Gallina Blanca,Brik,1 l,"3,49 €",Dia
Caldo natural de pollo,Aneto,Brik,1 l,"3,95 €",Dia
Caldo ramen de pollo,Itsu,Brik,500 ml,"2,95 €",Dia
Caldo gourmet de pollo con jamón,Gallina Blanca,Brik,1 l,"2,99 €",Dia
Caldo gourmet de pollo,Gallina Blanca,Brik,1 l,"2,99 €",Dia
Caldo natural de verduras,Gallo,Brik,1 l,"1,99 €",Dia
Caldo natural de pollo con jamón ibérico,Gallo,Brik,1 l,"1,99 €",Dia
Caldo natural de pollo,Gallo,Brik,1 l,"1,99 €",Dia
Caldo natural de cocido madrileño,Aneto,Brik,1 l,"4,50 €",Dia
Crema de puerro y patata,Knorr,Sobre,500 ml,"2,29 €",Dia
Crema de verduras de la huerta,Knorr,Sobre,500 ml,"2,29 €",Dia
Caldo casero de puchero,Gallina Blanca,Brik,1 l,"2,20 €",Dia
Crema casera de pollo con verduras,Gallina Blanca,Brik,500 ml,"1,99 €",Dia
Caldo natural de verduras,Aneto,Brik,1 l,"3,95 €",Dia
Caldo casero de verduras,Gallina Blanca,Brik,1 l,"2,20 €",Dia
Caldo natural de puchero,Aneto,Brik,1 l,"4,50 €",Dia
Caldo de carne,Gallina Blanca,Brik,  1 l,"2,20 €",Dia
Caldo de pollo bajo en sal,Gallina Blanca,Brik,  1 l,"2,20 €",Dia
Caldo de pescado,Gallina Blanca,Brik,  1 l,"2,20 €",Dia
Caldo de pollo bajo en sal,Aneto,Brik,1 l,"3,95 €",Dia
