producto,marca,formato,cantidad,precio,supermercado
Orégano,Hacendado,Bote,25 g,"0,95 €",Mercadona
Perejil,Hacendado,Bote,18 g,"0,90 €",Mercadona
Hoja de laurel,Hacendado,Paquete,12 g,"0,80 €",Mercadona
Hierbas provenzales,Hacendado,Bote,25 g,"1,20 €",Mercadona
Albahaca,Hacendado,Bote,20 g,"1,25 €",Mercadona
Romero,Hacendado,Bote,40 g,"1,35 €",Mercadona
Tomillo,Hacendado,Bote,24 g,"1,05 €",Mercadona
Eneldo,Hacendado,Bote,18 g,"1,85 €",Mercadona
Cilantro,Hacendado,Bote,12 g,"1,85 €",Mercadona
Ajo y Perejil,Hacendado,Bote,74 g,"1,35 €",Mercadona
Colorante alimentario,Hacendado,Bote,85 g,"0,90 €",Mercadona
Pimentón dulce de la Vera,Hacendado,Bote,75 g,"1,75 €",Mercadona
Azafrán molido,Hacendado,Paquete,"4 sobres (0,4 g)","1,75 €",Mercadona
Azafrán hebra,Hacendado,Paquete,"3 usos (0,38 g)","1,70 €",Mercadona
Pimentón picante,Hacendado,Bote,60 g,"1,35 €",Mercadona
Pimentón dulce,Hacendado,Bote,75 g,"1,30 €",Mercadona
Pimienta negra molida,Hacendado,Bote,70 g,"1,05 €",Mercadona
Molinillo pimienta negra,Hacendado,Bote,65 g,"1,65 €",Mercadona
Pimienta negra en grano,Hacendado,Bote,70 g,"1,45 €",Mercadona
Molinillo mix pimientas,Hacendado,Bote,50 g,"1,85 €",Mercadona
Pimienta blanca molida,Hacendado,Bote,70 g,"2,15 €",Mercadona
Ajo granulado,Hacendado,Bote,115 g,"1,10 €",Mercadona
Cebolla frita crujiente,Hacendado,Bote,150 g,"1,15 €",Mercadona
Canela molida,Hacendado,Bote,52 g,"0,95 €",Mercadona
Canela en rama,Hacendado,Bote,19 g,"1,45 €",Mercadona
Comino molido,Hacendado,Bote,58 g,"1,20 €",Mercadona
Comino en grano,Hacendado,Bote,56 g,"1,95 €",Mercadona
Curry,Hacendado,Bote,57 g,"1,15 €",Mercadona
Nuez moscada molida,Hacendado,Bote,58 g,"1,65 €",Mercadona
Cebolla en polvo,Hacendado,Bote,60 g,"0,96 €",Mercadona
Cayena guindillas,Hacendado,Bote,27 g,"1,30 €",Mercadona
Cayena molida,Hacendado,Bote,55 g,"1,59 €",Mercadona
Cúrcuma,Hacendado,Bote,60 g,"1,25 €",Mercadona
Jengibre molido,Hacendado,Bote,49 g,"1,65 €",Mercadona
Sal de ajo,Hacendado,Bote,130 g,"1,80 €",Mercadona
Clavo en grano,Hacendado,Bote,42 g,"1,75 €",Mercadona
Piñones,Hacendado,Bote,70 g,"2,84 €",Mercadona
Sazonador para fajitas  sabor tex-mex,Hacendado,Sobre,17 g,"0,85 €",Mercadona
Sazonador ajo y limón  para carne y pescado,Hacendado,Sobre,30 g,"1,05 €",Mercadona
Sazonador hierbas provenzales  para pollo y costillas,Hacendado,Sobre,24 g,"1,00 €",Mercadona
Sazonador sabor barbacoa  para carne,Hacendado,Sobre,57 g,"1,35 €",Mercadona
Preparado para paella con azafrán,Hacendado,Bote,76 g,"1,85 €",Mercadona
Sazonador para paella con azafrán,Hacendado,Caja,5 sobres (20 g),"1,45 €",Mercadona
Sazonador para burritos,Hacendado,Sobre,40 g,"1,30 €",Mercadona
Sazonador pollo y carne,Hacendado,Bote,76 g,"1,50 €",Mercadona
Sazonador pasta,Hacendado,Bote,45 g,"1,60 €",Mercadona
"Sazonador sabor queso y bacon  para patatas, snacks, carnes y salsas",Hacendado, Sobres,"2 sobres x 4,5 g","0,85 €",Mercadona
