producto,marca,formato,cantidad,precio,supermercado
Nueces sin cáscara al natural,Naturmundo,Bolsa,200 g,"2,00 €",Dia
Anacardo al natural,Naturmundo,Bolsa,200 g,"2,30 €",Dia
Pistachos tostados sin sal,Naturmundo,Bolsa,250 g,"3,35 €",Dia
Pistachos tostados con sal,Naturmundo,Bolsa,250 g,"3,35 €",Dia
Almendras al natural con piel,Naturmundo,Bolsa,200 g,"2,05 €",Dia
Avellanas tostadas,Naturmundo,Bolsa,200 g,"3,10 €",Dia
Palomitas con sal,Snack Maniac,Caja,270 g,"1,10 €",Dia
Mix de frutos secos clásico,Naturmundo,Bolsa,200 g,"2,75 €",Dia
Pipas gigantes aguasal,Snack Maniac,Bolsa,200 g,"1,20 €",Dia
Cacahuete frito salado,Naturmundo,Bolsa,250 g,"1,05 €",Dia
Cacahuetes fritos con miel,Snack Maniac,Bolsa,200 g,"1,65 €",Dia
Anacardos fritos,Naturmundo,Bolsa,200 g,"2,40 €",Dia
Pipas gigantes con sal,Snack Maniac,Bolsa,200 g,"1,20 €",Dia
Mix frutos secos,Frit ravich,Bolsa,300 g,"2,95 €",Dia
Mix de frutos secos naturales,Naturmundo,Bolsa,200 g,"2,40 €",Dia
Almendras fritas saladas,Naturmundo,Bolsa,200 g,"2,55 €",Dia
Cocktail frutos secos,Snack Maniac,Bolsa,500 g,"2,67 €",Dia
Almendras al natural sin piel,Naturmundo,Bolsa,125 g,"1,47 €",Dia
Cacahuetes tostados sin sal añadida,Naturmundo,Bolsa,200 g,"1,25 €",Dia
Palomitas sabor mantequilla,Snack Maniac,Caja,270 g,"1,35 €",Dia
Pipas G con sal,Grefusa,Bolsa,165 g,"1,75 €",Dia
Nuez pelada,Borges,Bolsa,130 g,"2,84 €",Dia
Palomitas al punto de sal microondas,Popitas,Caja,300 g,"2,39 €",Dia
Pipas G tijuana,Grefusa,Bolsa,165 g,"1,75 €",Dia
Maíz para palomitas,Snack Maniac,Bolsa,500 g,"1,53 €",Dia
Pipas tostadas,Manzanares,Bolsa,110 g,"1,15 €",Dia
Pipas tostadas con leña,Manzanares,Bolsa,360 g,"2,85 €",Dia
"Surtido de albaricoque, almendras y pipas",Medina,Bolsa,140 g,"1,95 €",Dia
Pipas supremas,Facundo,Bolsa,120 g,"2,35 €",Dia
Nueces peladas,Gancedo,Bolsa,400 g,"3,99 €",Dia
Mix de frutos secos enjoy,Naturmundo,Bolsa,40 g,"0,85 €",Dia
Mix de frutos secos harmony,Naturmundo,Bolsa,40 g,"0,85 €",Dia
Mix de frutos secos relax,Naturmundo,Bolsa,40 g,"0,85 €",Dia
Mix semillas,Naturmundo,Bolsa,200 g,"1,39 €",Dia
Mix de frutas deshidratadas,Naturmundo,Bolsa,200 g,"1,60 €",Dia
Mix de frutos secos enjoy,Naturmundo,Bolsa,200 g,"2,89 €",Dia
Mix de frutos secos harmony,Naturmundo,Bolsa,200 g,"2,95 €",Dia
Mix de frutos secos relax,Naturmundo,Bolsa,200 g,"2,89 €",Dia
Nuez pecana dia naturmundo,Naturmundo,Bolsa,150 g,"2,67 €",Dia
Avellanas al natural,Naturmundo,Bolsa,150 g,"2,03 €",Dia
Maíz frito sabor barbacoa,Snack Maniac,Bolsa,170 g,"0,97 €",Dia
Pan de higo con almendras,Naturmundo,Bolsa,200 g,"1,69 €",Dia
Pan de dátil con nueces,Naturmundo,Bolsa,200 g,"1,69 €",Dia
Frutos secos y pasas,Snack Maniac,Bolsa,250 g,"1,65 €",Dia
Frutos secos tex-mex,Snack Maniac,Bolsa,200 g,"1,32 €",Dia
Frutos secos clasic,Snack Maniac,Bolsa,250 g,"1,85 €",Dia
Pipas gigantes sin sal,Snack Maniac,Bolsa,125 g,"0,94 €",Dia
Maíz frito barbacoa,MisterCorn,Bolsa,160 g,"1,95 €",Dia
Cócktail frutos de secos mix,MisterCorn,Bolsa,160 g,"1,95 €",Dia
Almendras tostadas con piel sin sal,Naturmundo,Bolsa,200 g,"2,80 €",Dia
Nuez de macadamia tostada con sal,Naturmundo,Bolsa,100 g,"2,65 €",Dia
Cocktail con miel y mostaza,Frit ravich,Bolsa,300 g,"2,95 €",Dia
Pipas  Piponazo,Grefusa,Bolsa,195 g,"2,65 €",Dia
Pipas peladas,Naturmundo,Bolsa,200 g,"1,10 €",Dia
Nueces con cáscara al natural,Naturmundo,Bolsa,500 g,"2,71 €",Dia
Pipas  Piponazo,Grefusa,Bolsa,119 g,"1,85 €",Dia
Almendras fritas saladas,Borges,Bolsa,160 g,"2,95 €",Dia
Pipas sabor tex mex,Snack Maniac,Bolsa,200 g,"1,25 €",Dia
Cacahuetes con cáscara salados,Naturmundo,Bolsa,400 g,"1,55 €",Dia
Cocktail picante,Frit ravich,Bolsa,300 g,"2,95 €",Dia
Almendras con piel tostadas,Naturmundo,Bolsa,200 g,"2,80 €",Dia
Palomitas dulces,Snack Maniac,Caja,270 g,"1,70 €",Dia
Piñones al natural,Naturmundo,Bolsa,70 g,"3,29 €",Dia
Cacahuete con cáscara sin sal,Naturmundo,Bolsa,400 g,"1,55 €",Dia
Cacahuete frito con miel y sal,Eagle,Bolsa,90 g,"1,99 €",Dia
